category,strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,review_total,parent_1,parent_2,parent_3,parent_4,parent_5,parent_6,parent_7
hybrid,boggle gum, happy, euphoric, uplifted, creative, energetic , stress, depression, pain, insomnia, lack of appetite , dry mouth, dry eyes, dizzy, paranoid, anxious ,1. sweet,2. citrus,3. earthy,24.0,northern lights 5,bog bubble,n,n,n,n,n
indica,bona dea, relaxed, energetic, euphoric, focused, sleepy , insomnia, lack of appetite, pain ,,, dizzy, dry eyes, dry mouth ,,,1. earthy,2. skunk,3. spicy/herbal,2.0,n,n,n,n,n,n,n
hybrid,bonkers, euphoric, happy, relaxed ,,,,,,,,,,,,,1. berry,,,1.0,lemon tree,cookies and cream,n,n,n,n,n
hybrid,booger, happy, uplifted, energetic, creative, relaxed , depression, stress, pain, fatigue, inflammation , dry mouth, paranoid, anxious, headache, dry eyes ,1. sweet,2. berry,3. pungent,47.0,strawberry cough,bubba kush,n,n,n,n,n
hybrid,boombaye, aroused, creative, energetic, focused, happy ,,,,,, dizzy, dry eyes, dry mouth ,,,1. tea,2. woody,,2.0,mickey kush,n,n,n,n,n,n
hybrid,bootlegger, happy, relaxed, euphoric, uplifted, aroused , stress, depression, fatigue, headaches, nausea , dry mouth, paranoid, dry eyes, dizzy ,,1. earthy,2. pungent,3. berry,5.0,ak-47,gupta kush,n,n,n,n,n
hybrid,bootylicious, happy, talkative, uplifted ,,,,,,,,,,,,,1. earthy,2. sweet,,7.0,cookies and cream,constantine,n,n,n,n,n
hybrid,bordello, creative, aroused, relaxed, euphoric, sleepy , stress, pain, depression, inflammation, insomnia , dry mouth, paranoid, dry eyes, anxious, dizzy ,1. cheese,2. earthy,3. sweet,84.0,n,n,n,n,n,n,n
hybrid,boss hogg, happy, relaxed, euphoric, giggly, hungry , stress, depression, pain, inflammation, insomnia , dry mouth, dry eyes, paranoid, anxious, headache ,1. earthy,2. pine,3. citrus,65.0,chemdawg 4,n,n,n,n,n,n
hybrid,boss og, relaxed, happy, uplifted, creative, euphoric , depression, stress, pain, headaches, fatigue , dry mouth, anxious, headache, dry eyes, dizzy ,1. diesel,2. earthy,3. pine,55.0,og kush,n,n,n,n,n,n
hybrid,brain candy, creative, energetic ,,,, depression ,,,,,,,,,,1. sweet,,,2.0,white widow,northern lights,n,n,n,n,n
indica,brains damage, sleepy, happy, relaxed, tingly, euphoric , stress, insomnia, lack of appetite, depression, nausea , dry mouth, dizzy, anxious, headache, dry eyes ,1. earthy,2. woody,3. sweet,21.0,mexican,mango,hawaiian,n,n,n,n
sativa,brainstorm haze, creative, euphoric, happy, uplifted, focused , stress, pain, depression, nausea, fatigue , dry mouth, dry eyes, dizzy, headache, paranoid ,1. spicy/herbal,2. sweet,3. earthy,44.0,thai haze,sensi star,warlock,ak-47,n,n,n
hybrid,brainwreck, uplifted, happy, creative, euphoric, focused , stress, depression, lack of appetite, fatigue, pain , dry mouth ,,,,,1. citrus,2. earthy,3. sweet,15.0,trainwreck,willys wonder,jack herer,n,n,n,n
indica,brand x, euphoric, talkative, giggly, sleepy, happy , pain, insomnia, stress, depression, lack of appetite , dry eyes, dry mouth, paranoid ,,,1. pine,2. earthy,3. tar,63.0,n,n,n,n,n,n,n
indica,brandywine, relaxed, uplifted, hungry, creative, euphoric , stress, pain, lack of appetite, depression, insomnia , headache, dry eyes, dry mouth, anxious, dizzy ,1. earthy,2. flowery,3. berry,26.0,pink champagne,n,n,n,n,n,n
sativa,brazil amazonia, focused, uplifted, relaxed, energetic, euphoric , depression, stress, eye pressure, headaches, inflammation , dry mouth ,,,,,1. spicy/herbal,2. berry,3. citrus,7.0,n,n,n,n,n,n,n
hybrid,brian berry cough, euphoric, happy, uplifted, focused, relaxed , depression, muscle spasms, fatigue, stress, nausea , anxious, dry mouth, paranoid, dry eyes, dizzy ,1. strawberry,2. berry,3. sweet,35.0,strawberry cough,space queen,n,n,n,n,n
indica,bright fire, hungry, relaxed, uplifted, euphoric, creative , stress, depression, pain, nausea, muscle spasms , dry mouth, dizzy, dry eyes ,,,1. pungent,2. earthy,3. chestnut,,fire og,n,n,n,n,n,n
hybrid,bright moments, uplifted, energetic, euphoric, focused, tingly , insomnia, muscle spasms, pain, stress ,, dry mouth, anxious, headache ,,,1. flowery,2. woody,3. earthy,5.0,grape stomper,n,n,n,n,n,n
hybrid,broke diesel, uplifted, happy, relaxed, euphoric, creative , nausea, stress, insomnia, pain ,, dry eyes, headache ,,,,,,,,n,n,n,n,n,n,n
indica,bronze whaler, hungry, relaxed ,,,, stress ,,,,, dry mouth ,,,,,,,,,n,n,n,n,n,n,n
hybrid,brooklyn mango, aroused, happy, talkative, giggly, euphoric , depression, lack of appetite, pain, stress, fatigue , dry mouth, anxious, dizzy, dry eyes ,,1. mango,2. tropical,3. citrus,,ed rosenthal super bud,nyc diesel,n,n,n,n,n
hybrid,bruce banner, relaxed, euphoric, happy, uplifted, energetic , stress, depression, pain, headaches, fatigue , dry mouth, dry eyes, anxious, paranoid, dizzy ,1. earthy,2. sweet,3. diesel,1061.0,og kush,strawberry diesel,n,n,n,n,n
hybrid,bruce banner 3, happy, relaxed, euphoric, creative, uplifted , stress, depression, pain, fatigue, cramps , dry mouth, dry eyes, anxious, dizzy, paranoid ,1. sweet,2. diesel,3. earthy,306.0,og kush,strawberry diesel,n,n,n,n,n
hybrid,bsc, relaxed, giggly, euphoric, happy, hungry , depression, stress, lack of appetite, insomnia, eye pressure , dry mouth, dry eyes, anxious, dizzy, headache ,1. sweet,2. vanilla,3. earthy,49.0,n,n,n,n,n,n,n
indica,bubba berry, relaxed, sleepy, euphoric, hungry, happy , stress, insomnia, lack of appetite, nausea, fatigue , dry mouth, dry eyes ,,,,1. pine,2. earthy,3. berry,11.0,pre-98 bubba kush,dj short blueberry,n,n,n,n,n
indica,bubba doja, euphoric, relaxed, hungry, sleepy, happy , inflammation, pain, stress, depression, headaches , dizzy, dry eyes, dry mouth ,,,1. earthy,2. spicy/herbal,,6.0,pre-98 bubba kush,double purple doja,n,n,n,n,n
