category,strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,review_total,parent_1,parent_2,parent_3,parent_4,parent_5,parent_6,parent_7
hybrid,blue frost, relaxed, euphoric, tingly, happy, uplifted , depression, pain, stress, lack of appetite, fatigue , dry mouth, dry eyes, paranoid, anxious, headache ,1. blueberry,2. earthy,3. berry,123.0,jack frost,blue monster,n,n,n,n,n
hybrid,blue galaxy, happy, relaxed, giggly, hungry, euphoric , depression, headaches, pain, stress ,, dry mouth, dry eyes ,,,,1. berry,2. sweet,3. tropical,10.0,afghani,hashplant haze,n,n,n,n,n
indica,blue god, relaxed, sleepy, euphoric, happy, tingly , stress, pain, insomnia, inflammation, depression , dry mouth, dry eyes, paranoid, dizzy, headache ,1. earthy,2. woody,3. spicy/herbal,147.0,blueberry,god bud,n,n,n,n,n
hybrid,blue goo, happy, euphoric, uplifted, relaxed, creative , stress, depression, fatigue, headaches, pain , headache, dry mouth, dry eyes, dizzy, paranoid ,1. blueberry,2. earthy,3. flowery,113.0,blue dream,afgoo,n,n,n,n,n
hybrid,blue hash, uplifted, relaxed, happy, euphoric, sleepy , stress, insomnia, pain, depression, fatigue , dry mouth, dry eyes, paranoid, dizzy, headache ,1. blueberry,2. citrus,3. sweet,50.0,blueberry,hash plant,n,n,n,n,n
hybrid,blue hawaiian, energetic, euphoric, focused, creative, happy , stress, depression, pain, lack of appetite, headaches , dizzy, dry mouth, dry eyes, paranoid, headache ,1. berry,2. tropical,3. blueberry,175.0,blueberry,hawaiian sativa,n,n,n,n,n
hybrid,blue haze, happy, uplifted, relaxed, focused, creative , headaches, pain, stress, inflammation, depression , dry eyes, dry mouth, headache, paranoid, dizzy ,1. blueberry,2. berry,3. butter,257.0,blueberry,haze,n,n,n,n,n
hybrid,blue heron, relaxed, happy, euphoric, uplifted, talkative , stress, pain, depression, fatigue, headaches , dry mouth, headache, dry eyes ,,,1. citrus,2. berry,3. blueberry,13.0,blue magoo,huckleberry,n,n,n,n,n
hybrid,blue iguana, relaxed, euphoric, happy, uplifted, giggly , stress, depression, nausea, headaches, insomnia , anxious, dry eyes, dry mouth, paranoid ,,1. blueberry,2. spicy/herbal,3. earthy,9.0,double dutch,n,n,n,n,n,n
hybrid,blue ivy, euphoric, happy, uplifted, talkative, hungry , stress, depression, insomnia, pain, headaches , dry eyes, dry mouth, dizzy, paranoid, anxious ,1. blueberry,2. flowery,3. sweet,,n,n,n,n,n,n,n
sativa,blue j, happy, relaxed, tingly, uplifted, euphoric , eye pressure, fatigue, headaches, inflammation, insomnia , anxious, dizzy ,,,,1. citrus,2. lime,3. blueberry,3.0,jillybean,n,n,n,n,n,n
hybrid,blue jay way, relaxed, focused, sleepy, uplifted, euphoric , stress, headaches, cramps, insomnia, pain , dry mouth, dry eyes ,,,,1. sweet,2. blueberry,3. citrus,7.0,og kush,n,n,n,n,n,n
hybrid,blue kiss, relaxed, euphoric, focused, creative, hungry , headaches, lack of appetite, nausea, stress ,, dry eyes, dry mouth, dizzy ,,,1. berry,2. blueberry,3. flowery,,dj short blueberry,n,n,n,n,n,n
indica,blue knight, euphoric, sleepy, relaxed, tingly, happy , stress, pain, depression, insomnia, headaches , dry mouth, dry eyes, headache, dizzy, paranoid ,1. blueberry,2. berry,3. earthy,97.0,blueberry,kryptonite,n,n,n,n,n
indica,blue kripple, sleepy, euphoric, tingly, happy, relaxed , eye pressure, headaches, insomnia, pain, lack of appetite , dizzy, dry mouth, dry eyes, paranoid, headache ,1. berry,2. grape,3. earthy,,blue rhino,big bud,medicine man,n,n,n,n
hybrid,blue kush, relaxed, happy, euphoric, uplifted, energetic , pain, stress, depression, insomnia, lack of appetite , dry mouth, dry eyes, anxious, dizzy, paranoid ,1. blueberry,2. pine,3. citrus,99.0,blueberry,og kush,n,n,n,n,n
indica,blue lights, relaxed, sleepy, euphoric, happy, uplifted , pain, insomnia, stress, nausea, cramps , dry mouth, dizzy, paranoid, anxious, dry eyes ,1. sweet,2. flowery,3. blueberry,65.0,blueberry,northern lights,n,n,n,n,n
sativa,blue magic, happy, hungry, energetic, focused, creative , depression, stress, lack of appetite, pain, fatigue , dry mouth, paranoid, dizzy, dry eyes ,,1. citrus,2. lemon,3. blueberry,40.0,blue dream,n,n,n,n,n,n
hybrid,blue magoo, relaxed, happy, uplifted, euphoric, energetic , stress, pain, depression, fatigue, inflammation , dry mouth, dizzy, dry eyes, anxious, headache ,1. blueberry,2. sweet,3. flowery,369.0,n,n,n,n,n,n,n
indica,blue monster, happy, hungry, relaxed, giggly, tingly , insomnia, depression, pain, stress, inflammation , dry mouth, dry eyes, headache ,,,1. blueberry,2. berry,3. diesel,24.0,g13,blueberry,northern lights 5,mexican,n,n,n
hybrid,blue moon rocks, happy, relaxed, giggly, talkative, creative , depression, stress, insomnia, muscle spasms, spasticity , dry mouth, dry eyes, dizzy, paranoid, anxious ,1. berry,2. blueberry,3. earthy,106.0,bog bubble,n,n,n,n,n,n
indica,blue moonshine, relaxed, sleepy, focused, euphoric, happy , stress, insomnia, pain, depression, nausea , dry mouth, dry eyes, dizzy, headache, anxious ,1. blueberry,2. earthy,3. berry,91.0,thai,afghani,n,n,n,n,n
sativa,blue mountain fire, euphoric, uplifted, tingly, happy, relaxed , depression, stress, eye pressure, fatigue, pain , dry eyes, dizzy, dry mouth, headache, paranoid ,1. earthy,2. flowery,3. tar,10.0,jamaican,n,n,n,n,n,n
indica,blue mystic, relaxed, euphoric, uplifted, happy, aroused , depression, stress, lack of appetite, insomnia, inflammation , dry mouth, dizzy, paranoid, headache, anxious ,1. blueberry,2. flowery,3. berry,149.0,blueberry,northern lights,n,n,n,n,n
hybrid,blue nightmare, happy, relaxed, giggly, hungry, euphoric , depression, pain, nausea, insomnia, headaches , dry mouth, dizzy, paranoid, anxious, dry eyes ,1. blueberry,2. berry,3. spicy/herbal,47.0,blue dream,tahoe og kush,n,n,n,n,n
hybrid,blue nina, euphoric, talkative, happy, uplifted, tingly , depression, fatigue, stress, inflammation, insomnia , dry mouth, anxious, dry eyes, dizzy, paranoid ,1. flowery,2. berry,3. lavender,11.0,blue dream,n,n,n,n,n,n
hybrid,blue og, relaxed, happy, uplifted, focused, euphoric , stress, nausea, lack of appetite, depression, pain , dry eyes, dry mouth, dizzy, headache, anxious ,1. berry,2. blueberry,3. earthy,150.0,blueberry,blue moonshine,og kush,n,n,n,n
hybrid,blue og sherbert, creative, energetic, talkative, uplifted, aroused , depression, fatigue, headaches, nausea, stress , dry eyes, dry mouth, headache, paranoid ,,1. berry,2. earthy,3. spicy/herbal,2.0,fire og,blue sherbert,n,n,n,n,n
indica,blue ox, sleepy, relaxed, happy, hungry, creative , depression, stress, lack of appetite, fatigue, pain , dry mouth, dizzy, dry eyes ,,,1. berry,2. blueberry,3. cheese,,blueberry,the ox,n,n,n,n,n
hybrid,blue persuasion, relaxed, hungry, euphoric, happy, tingly ,,,,,,,,,,,1. blueberry,2. sweet,3. berry,,blueberry,northern lights,white widow,n,n,n,n
indica,blue power, relaxed, euphoric, sleepy, creative, happy , stress, pain, depression, lack of appetite, insomnia , dry mouth, headache, dry eyes, paranoid ,,1. blueberry,2. lemon,3. berry,56.0,master kush,the white,blue moonshine,n,n,n,n
hybrid,blue raspberry snow cone, creative, happy, tingly, aroused, talkative , headaches, lack of appetite, stress, depression, fatigue , dry eyes, dry mouth ,,,,1. blueberry,2. flowery,3. sweet,7.0,blue diesel,n,n,n,n,n,n
hybrid,blue rhino, euphoric, happy, energetic, relaxed, uplifted , headaches, stress, depression, insomnia, fatigue , dry eyes, headache, paranoid, dry mouth, dizzy ,1. blueberry,2. flowery,3. berry,124.0,blueberry,white rhino,n,n,n,n,n
sativa,blue satellite, happy, uplifted, euphoric, creative, talkative , stress, depression, pain, nausea, fatigue , dry mouth, dry eyes, paranoid, dizzy, headache ,1. sweet,2. blueberry,3. berry,52.0,shishkaberry,n,n,n,n,n,n
hybrid,blue sherbert, euphoric, happy, relaxed, uplifted, creative , depression, stress, insomnia, lack of appetite, fatigue , dry eyes, dry mouth, headache, paranoid ,,1. blueberry,2. citrus,3. sweet,14.0,blue cookies,sherbert,n,n,n,n,n
hybrid,blue sky, happy, euphoric, relaxed, creative, uplifted , insomnia, seizures, depression, headaches, nausea , dry mouth, dizzy, anxious, headache, paranoid ,1. earthy,2. sweet,3. blueberry,38.0,lsd,rocky mountain blueberry,n,n,n,n,n
indica,blue steel, relaxed, euphoric, happy, uplifted, sleepy , pain, stress, nausea, depression, lack of appetite , dizzy, dry mouth, dry eyes ,,,1. blueberry,2. earthy,3. berry,22.0,blueberry og,starfighter,n,n,n,n,n
hybrid,blue thai, relaxed, happy, uplifted, energetic, euphoric , fatigue, stress, depression, insomnia, pain , dry mouth ,,,,,1. earthy,2. woody,3. citrus,13.0,blueberry,n,n,n,n,n,n
hybrid,blue trainwreck, euphoric, relaxed, aroused, hungry, energetic , stress, pain, headaches, nausea, spasticity , dry mouth, dry eyes, dizzy, anxious, paranoid ,1. blueberry,2. sweet,3. spicy/herbal,68,trainwreck,blueberry,n,n,n,n,n
hybrid,blue treat, relaxed, uplifted, happy, focused, hungry , stress, depression, headaches, insomnia, pain , dry eyes ,,,,,1. blueberry,2. earthy,3. berry,8.0,blueberry,dutch treat,n,n,n,n,n
hybrid,blue velvet, creative, uplifted, energetic, focused, happy , fatigue, lack of appetite, depression, muscle spasms, pain , dry mouth, dry eyes, headache, anxious, dizzy ,1. sweet,2. berry,3. earthy,25.0,purple thai,afghani,n,n,n,n,n
hybrid,blue venom, relaxed, happy, euphoric, creative, uplifted , stress, depression, pain, insomnia, nausea , anxious, dry mouth, dizzy, dry eyes, paranoid ,1. blueberry,2. earthy,3. spicy/herbal,75.0,blueberry,white widow,n,n,n,n,n
hybrid,blue widow, relaxed, happy, uplifted, focused, hungry , pain, depression, stress, insomnia, lack of appetite , dry eyes, dry mouth, dizzy, anxious, paranoid ,1. sweet,2. blueberry,3. woody,386.0,blueberry,white widow,n,n,n,n,n
sativa,blue wolf, euphoric, talkative, focused, uplifted, creative , depression, pain, lack of appetite, nausea, stress , dry eyes, dry mouth, paranoid, anxious ,,1. sweet,2. pine,3. woody,9.0,n,n,n,n,n,n,n
hybrid,blue wonder, happy, uplifted, euphoric, focused, relaxed , depression, spasticity ,,,,,,,,,1. blueberry,,,2.0,blueberry,super silver haze,n,n,n,n,n
hybrid,blue wreck, sleepy, happy, euphoric, hungry, giggly , stress, pain, headaches, depression, muscle spasms , dizzy, dry mouth, dry eyes, anxious, paranoid ,1. blueberry,2. earthy,3. skunk,36.0,blueberry,trainwreck,n,n,n,n,n
indica,blue zkittlez, relaxed, sleepy, happy, hungry, uplifted , stress, pain, depression, inflammation, insomnia , dry mouth, dry eyes, headache, dizzy, anxious ,1. sweet,2. berry,3. citrus,67.0,blue diamond,zkittlez,n,n,n,n,n
indica,blue zombie, relaxed, happy, hungry, euphoric, sleepy , pain, insomnia, stress, depression, muscle spasms , dry mouth, dry eyes, anxious, paranoid, dizzy ,1. berry,2. skunk,3. sweet,17.0,n,n,n,n,n,n,n
indica,blueberry, relaxed, happy, euphoric, sleepy, uplifted , stress, pain, depression, insomnia, lack of appetite , dry mouth, dry eyes, dizzy, paranoid, headache ,1. blueberry,2. berry,3. sweet,2074.0,afghani,thai,purple thai,n,n,n,n
hybrid,blueberry ak, relaxed, happy, euphoric, hungry, energetic , stress, insomnia, fatigue, lack of appetite, nausea , dizzy, dry mouth, dry eyes, headache ,,1. blueberry,2. skunk,3. sweet,27.0,blueberry,ak-47,n,n,n,n,n
sativa,blueberry blast, talkative, focused, hungry, happy, energetic , depression, pain, stress, nausea, fatigue , anxious, dry mouth, paranoid, dizzy, dry eyes ,1. blueberry,2. berry,3. citrus,26.0,blue dream,n,n,n,n,n,n
hybrid,blueberry bomb, relaxed, euphoric, happy, tingly, uplifted , inflammation, pain, stress, depression, muscle spasms , dry eyes, anxious, headache, dry mouth ,,1. blueberry,2. earthy,3. sweet,10.0,blueberry,afghani,n,n,n,n,n
hybrid,blueberry bomb, relaxed, euphoric, happy, tingly, uplifted , inflammation, pain, stress, depression, muscle spasms , dry eyes, anxious, headache, dry mouth ,,1. blueberry,2. earthy,3. sweet,,blueberry,afghani,n,n,n,n,n
hybrid,blueberry diesel, happy, relaxed, euphoric, hungry, giggly , insomnia, depression, stress, lack of appetite, pain , dry mouth, dry eyes, paranoid, dizzy, headache ,1. blueberry,2. diesel,3. sweet,318.0,blueberry,sour diesel,n,n,n,n,n
sativa,blueberry dream, relaxed, focused, creative, euphoric, tingly , pain, stress, inflammation, fatigue, headaches , dry mouth, dizzy, dry eyes ,,,1. blueberry,2. berry,3. sweet,48.0,n,n,n,n,n,n,n
hybrid,blueberry essence, relaxed, happy, uplifted, euphoric, sleepy , pain, stress, headaches, insomnia, muscle spasms , dry mouth, dry eyes ,,,,1. blueberry,2. earthy,3. flowery,21.0,n,n,n,n,n,n,n
hybrid,blueberry hashplant, creative, focused, happy, uplifted, energetic ,,,,,, dry mouth ,,,,,1. blueberry,2. pungent,3. berry,2.0,blue dream,hash plant,n,n,n,n,n
hybrid,blueberry haze, euphoric, giggly, happy, relaxed, energetic , depression, pain, stress, insomnia, nausea , dry mouth, dry eyes, paranoid, anxious, dizzy ,1. blueberry,2. sweet,3. berry,304.0,blueberry,haze,n,n,n,n,n
hybrid,blueberry headband, relaxed, happy, euphoric, uplifted, energetic , stress, pain, depression, lack of appetite, headaches , dry mouth, dry eyes, dizzy, anxious, headache ,1. blueberry,2. sweet,3. berry,394.0,blueberry,emerald og,pre-98 bubba kush,n,n,n,n
hybrid,blueberry jack, relaxed, hungry, uplifted, euphoric, tingly , stress, depression, pain, nausea, lack of appetite , dry eyes, dry mouth, paranoid, anxious, headache ,1. blueberry,2. pine,3. berry,62.0,jack herer,dj short blueberry,n,n,n,n,n
indica,blueberry kush, relaxed, sleepy, happy, euphoric, uplifted , stress, pain, insomnia, depression, lack of appetite , dry mouth, dry eyes, anxious, paranoid, dizzy ,1. blueberry,2. berry,3. earthy,969.0,blueberry,og kush,n,n,n,n,n
hybrid,blueberry lambsbread, relaxed, happy, uplifted, euphoric, creative , depression, stress, lack of appetite, nausea, pain , dry mouth, dizzy ,,,,1. blueberry,2. sweet,3. earthy,16.0,blueberry,lambs bread,n,n,n,n,n
hybrid,blueberry muffin, relaxed, happy, euphoric, uplifted, sleepy , stress, depression, pain, insomnia, muscle spasms , dry mouth, dry eyes, dizzy, headache, anxious ,1. blueberry,2. berry,3. sweet,116,blueberry,purple panty dropper,n,n,n,n,n
hybrid,blueberry og, relaxed, uplifted, happy, euphoric, focused , stress, inflammation, pain, depression, headaches , dry mouth, anxious, dry eyes, dizzy, paranoid ,1. blueberry,2. earthy,3. berry,52.0,dj short blueberry,og kush,n,n,n,n,n
hybrid,blueberry pancakes, relaxed, happy, uplifted, euphoric, focused , stress, pain, depression, headaches, lack of appetite , dry mouth, dry eyes ,,,,1. sweet,2. blueberry,3. berry,42.0,dj short blueberry,n,n,n,n,n,n
hybrid,blueberry pie, relaxed, happy, uplifted, euphoric, sleepy , pain, stress, insomnia, eye pressure, depression , dry mouth, dry eyes, paranoid, dizzy, anxious ,1. blueberry,2. berry,3. earthy,69.0,girl scout cookies,blue dream,n,n,n,n,n
hybrid,blueberry silvertip, happy, relaxed, uplifted, focused, tingly , stress, pain, depression, insomnia, lack of appetite , dry mouth, anxious, dry eyes, headache, paranoid ,1. blueberry,2. sage,3. chestnut,59.0,blueberry,montana silvertip,n,n,n,n,n
indica,blueberry skunk, relaxed, sleepy, euphoric, happy, hungry , stress, pain, depression, nausea, muscle spasms , dry eyes, dry mouth, dizzy, anxious, paranoid ,1. blueberry,2. skunk,3. earthy,113.0,blueberry,skunk no 1,n,n,n,n,n
indica,blueberry space cake, relaxed, euphoric, happy, sleepy, giggly , stress, pain, headaches, depression, insomnia , dry mouth, dry eyes, anxious, paranoid, headache ,1. blueberry,2. flowery,3. berry,46.0,outer space,alien dutchess,n,n,n,n,n
indica,blueberry triple og, relaxed, happy, uplifted, creative, euphoric , depression, stress, cramps ,,, dry mouth ,,,,,1. skunk,2. blueberry,3. pungent,4.0,blueberry,n,n,n,n,n,n
indica,blueberry waltz, uplifted, relaxed, euphoric, talkative, happy , depression, stress ,,,,,,,,,1. blueberry,2. rose,3. sweet,7.0,blue afghani,n,n,n,n,n,n
hybrid,blueberry yum yum, euphoric, uplifted, focused, creative, happy , stress, depression, pain, insomnia, headaches , dry mouth, dizzy, paranoid, anxious, dry eyes ,1. blueberry,2. sweet,3. mint,115.0,blueberry,durban poison,n,n,n,n,n
hybrid,blues, relaxed, happy, talkative, creative, uplifted , muscle spasms, stress, pain, depression, inflammation , dry mouth, dry eyes, dizzy, paranoid, headache ,1. berry,2. pungent,3. skunk,35.0,skunk no 1,n,n,n,n,n,n
hybrid,blukashima, creative ,,,,, depression, fatigue, inflammation, muscle spasms, pain ,,,,,,,,,,chernobyl,blue dream,n,n,n,n,n
hybrid,bluniverse, relaxed, euphoric, happy, creative, giggly , stress, depression, headaches, pain, nausea , dry mouth, dry eyes ,,,,1. sweet,2. citrus,3. blueberry,19.0,blue magoo,ms universe,n,n,n,n,n
hybrid,blurple, relaxed, euphoric, happy, uplifted, creative , stress, depression, headaches, nausea, inflammation , dry mouth, dry eyes, anxious, headache, dizzy ,1. sweet,2. berry,3. flowery,37.0,blue dream,mendocino purps,n,n,n,n,n
hybrid,blush, creative, happy, relaxed, talkative, focused , depression, eye pressure, fatigue, lack of appetite, muscle spasms , anxious, dry eyes, dry mouth, paranoid ,,1. earthy,2. pepper,3. honey,,n,n,n,n,n,n,n
sativa,bob saget, euphoric, uplifted, happy, focused, creative , stress, pain, depression, fatigue, lack of appetite , dizzy, headache, dry mouth ,,,1. pine,2. earthy,3. pungent,16.0,sage,n,n,n,n,n,n
hybrid,bodega bubblegum, creative, euphoric, giggly, happy, hungry , cramps, depression, eye pressure, headaches, inflammation , dry eyes, dry mouth ,,,,1. sweet,,,2.0,stardawg,n,n,n,n,n,n
indica,bog blue kush, euphoric, uplifted ,,,,,,,,,,,,,,1. rose,2. sage,3. tar,1.0,blue moon rocks,sour bubble,n,n,n,n,n
hybrid,bog bubble, relaxed, hungry, sleepy, tingly, happy , stress, insomnia, pain, depression, cramps , dry eyes, dry mouth ,,,,1. flowery,2. berry,3. blueberry,,bubble gum,n,n,n,n,n,n
indica,bog sour grape, energetic, euphoric, giggly, happy ,, depression, stress ,,,,,,,,,1. berry,2. grape,3. sage,1.0,sour bubble,n,n,n,n,n,n
hybrid,bogart, happy, uplifted, talkative, euphoric, giggly , fatigue, stress, depression, nausea, pain , dry eyes ,,,,,1. citrus,2. sweet,3. tropical,,hindu kush,chemdawg,lemon thai,n,n,n,n
