,strain,review_total
392,blue bastard,30.0
393,blue bayou,6.0
394,blue blood,22.0
395,blue boy,53.0
396,blue buddha,8.0
397,blue champange,64.0
398,blue cheese,2492.0
399,blue cinex,12.0
400,blue bastard,30.0
401,blue bayou,6.0
402,blue blood,22.0
403,blue boy,53.0
404,blue buddha,8.0
405,blue champange,64.0
406,blue cheese,2492.0
407,blue cinex,12.0
408,blue cookies,458.0
409,blue crack,148.0
410,blue diamond,130.0
411,blue diesel,561.0
412,blue dot,47.0
413,blue dragon,240.0
414,blue dream,12706.0
415,blue dream cbd,7.0
416,blue dynamite,52.0
417,blue fire,4.0
418,blue frost,123.0
419,blue galaxy,10.0
420,blue god,147.0
421,blue goo,113.0
422,blue hash,50.0
423,blue hawaiian,175.0
424,blue haze,257.0
425,blue heron,13.0
426,blue iguana,9.0
427,blue ivy,
428,blue j,3.0
429,blue jay way,7.0
430,blue kiss,
431,blue knight,97.0
432,blue kripple,
433,blue kush,99.0
434,blue lights,65.0
435,blue magic,40.0
436,blue magoo,369.0
437,blue monster,24.0
438,blue moon rocks,106.0
439,blue moonshine,91.0
440,blue mountain fire,10.0
441,blue mystic,149.0
442,blue nightmare,47.0
443,blue nina,11.0
444,blue og,150.0
445,blue og sherbert,2.0
446,blue ox,
447,blue persuasion,
448,blue power,56.0
449,blue raspberry snow cone,7.0
450,blue rhino,124.0
451,blue satellite,52.0
452,blue sherbert,14.0
453,blue sky,38.0
454,blue steel,22.0
455,blue tara,
456,blue power,56.0
457,blue raspberry snow cone,7.0
458,blue rhino,124.0
459,blue satellite,52.0
460,blue sherbert,14.0
461,blue sky,38.0
462,blue steel,22.0
463,blue tara,
464,blue thai,13.0
465,blue train,68.0
466,blue trane,
467,blue treat,8.0
468,blue velvet,25.0
469,blue venom,75.0
470,blue widow,386.0
471,blue wolf,9.0
472,blue wonder,2.0
473,blue wreck,36.0
474,blue zkittlez,67.0
475,blue zombie,17.0
476,blueberry,2074.0
477,blueberry ak,27.0
478,blueberry blast,26.0
479,blueberry bomb,10.0
480,blueberry bomb,
481,blueberry bomb,
482,blueberry diesel,318.0
483,blueberry dream,48.0
484,blueberry essence,21.0
