,strain,effect_1,effect_2,effect_3,effect_4,effect_5
1602,king kush, relaxed, sleepy, euphoric, happy, uplifted 
1603,kiss, hungry, sleepy, euphoric, focused, creative 
1604,kiwiskunk, euphoric, talkative, happy, hungry, relaxed 
1605,kobain kush, relaxed, hungry, creative, happy, euphoric 
1606,koloa sunrise, relaxed, sleepy ,,,
1607,koloa sunrise 47e37470d89f4b7890fa89ea59393eb6, hungry, relaxed, talkative ,,
1608,kona gold, uplifted, happy, euphoric, energetic, giggly 
1609,kong, sleepy, relaxed, happy, giggly, uplifted 
1610,kool aid smile, relaxed, happy, uplifted, tingly, aroused 
1611,koolato, happy, relaxed, tingly, euphoric, focused 
1612,kosher kush, relaxed, happy, sleepy, euphoric, hungry 
1613,kosher tangie, uplifted, euphoric, happy, relaxed, focused 
1614,krakatoa, energetic, euphoric, happy, hungry, sleepy 
1615,kraken, relaxed, sleepy, happy, hungry, euphoric 
1616,krishna kush, relaxed, sleepy, giggly, tingly, euphoric 
1617,kritikal k, sleepy, relaxed, happy, aroused, hungry 
1618,kryptonite, relaxed, hungry, uplifted, happy, sleepy 
1619,kuato, euphoric, talkative, aroused, creative, energetic 
1620,kubbie kush, relaxed, sleepy, happy, tingly, euphoric 
1621,kuchi, happy, aroused, relaxed, focused, euphoric 
1622,kurple fantasy, relaxed, happy, euphoric, uplifted, sleepy 
1623,kush cleaner, relaxed, euphoric, happy, creative, energetic 
1624,kush hemp, focused, creative, energetic, euphoric, happy 
1625,kush rise, relaxed, energetic, uplifted, creative, euphoric 
1626,kush n cheese, uplifted, focused, happy, talkative, relaxed 
1627,kushadelic, relaxed, euphoric, uplifted, aroused, sleepy 
1628,kushage, uplifted, euphoric, relaxed, creative, aroused 
1629,kushashima, relaxed, creative, energetic, euphoric, focused 
1630,kushberry, relaxed, giggly, happy, euphoric, talkative 
1631,leagle eagle, creative, uplifted, energetic, talkative, euphoric 
1632,la sunshine, energetic, happy, uplifted, creative, giggly 
1633,lak federal reserve, sleepy, happy, euphoric, uplifted, relaxed 
1634,la cake, euphoric, uplifted, talkative, relaxed, sleepy 
1635,la chocolat, relaxed, happy, euphoric, uplifted, focused 
1636,la confidential, relaxed, happy, euphoric, sleepy, hungry 
1637,la jack, euphoric, relaxed, hungry, happy, creative 
1638,la kookies, relaxed, euphoric, giggly, happy, uplifted 
1639,la kush, relaxed, sleepy, happy, euphoric, giggly 
1640,la og, tingly, euphoric, aroused, relaxed, happy 
1641,la ultra, happy, euphoric, relaxed, tingly, sleepy 
1642,la woman, relaxed, uplifted, happy, focused, euphoric 
1643,lapd, uplifted, energetic, euphoric, creative, happy 
1644,lsd, happy, euphoric, relaxed, uplifted, creative 
1645,lvpk, happy, relaxed, euphoric, uplifted, creative 
1646,la blanca, relaxed, creative, focused, talkative, giggly 
1647,la blanca gold, relaxed, euphoric, sleepy, energetic, focused 
1648,la nina, creative, energetic, uplifted, euphoric, talkative 
1649,la reina de africa, giggly, happy, relaxed, sleepy, aroused 
1650,lady liberty, hungry, relaxed, sleepy ,,
1651,ladyburn 1974, relaxed, creative, hungry, giggly, sleepy 
1652,lsd, happy, euphoric, relaxed, uplifted, creative 
1653,lvpk, happy, relaxed, euphoric, uplifted, creative 
1654,la blanca, relaxed, creative, focused, talkative, giggly 
1655,la blanca gold, relaxed, euphoric, sleepy, energetic, focused 
1656,la nina, creative, energetic, uplifted, euphoric, talkative 
1657,la reina de africa, giggly, happy, relaxed, sleepy, aroused 
1658,lady liberty, hungry, relaxed, sleepy ,,
1659,ladyburn 1974, relaxed, creative, hungry, giggly, sleepy 
1660,lake of fire, relaxed, happy, uplifted, euphoric, creative 
1661,lamb s bread, happy, uplifted, euphoric, energetic, relaxed 
1662,lambo og, euphoric, happy, hungry, relaxed, uplifted 
1663,lamborghini, uplifted, happy, euphoric, giggly, talkative 
1664,lambs in space, euphoric, aroused, giggly, uplifted, energetic 
1665,larry bird kush, relaxed, sleepy, uplifted, creative, euphoric 
1666,larry og, relaxed, happy, euphoric, uplifted, focused 
1667,las vegas purple kush bx, happy, euphoric, creative, relaxed, sleepy 
1668,lashkar gah, relaxed, euphoric, sleepy, happy, focused 
1669,laughing buddha, euphoric, happy, giggly, uplifted, creative 
1670,laughing gas, happy, aroused, relaxed, hungry, talkative 
1671,lavender, relaxed, sleepy, happy, euphoric, uplifted 
1672,lavender haze, creative, energetic, hungry, euphoric, happy 
1673,lavender jones, relaxed, euphoric, happy, uplifted, hungry 
1674,le silver royale, uplifted, happy, relaxed, euphoric, energetic 
1675,leda uno, creative, euphoric, energetic, giggly, happy 
1676,lee roy, relaxed, happy, euphoric, uplifted, hungry 
1677,legalized og, relaxed, happy, uplifted, sleepy, talkative 
1678,legend og, relaxed, sleepy, happy, euphoric, giggly 
1679,legend of nigeria, focused, happy, uplifted, energetic, relaxed 
1680,legendary lemon, aroused, euphoric, relaxed, creative, happy 
1681,lem chem, uplifted, energetic, tingly, talkative, creative 
1682,lemon alien dawg, relaxed, happy, euphoric, uplifted, focused 
1683,lemon banana sherbet, happy, uplifted, focused, relaxed, euphoric 
1684,lemon bananas, relaxed, creative, uplifted, happy, energetic 
1685,lemon bubble, uplifted, happy, energetic, euphoric, talkative 
1686,lemon cake, happy, uplifted, relaxed, euphoric, hungry 
1687,lemon cookies, uplifted, euphoric, happy, creative, relaxed 
1688,lemon crme, creative, happy, energetic, focused, talkative 
1689,lemon daddy, happy, focused, euphoric, giggly, tingly 
1690,lemon diesel, relaxed, happy, energetic, uplifted, euphoric 
1691,lemon drop, relaxed, euphoric, happy, focused, uplifted 
1692,lemon fire, relaxed, energetic, giggly, sleepy, euphoric 
1693,lemon g, uplifted, happy, relaxed, euphoric, energetic 
1694,lemon garlic og, relaxed, focused, uplifted, creative, euphoric 
1695,lemon haze, happy, euphoric, uplifted, energetic, relaxed 
1696,lemon ice, focused, uplifted, creative, relaxed, energetic 
1697,lemon jack, energetic, happy, uplifted, focused, relaxed 
1698,lemon jeffery, energetic, euphoric, uplifted, focused, happy 
1699,lemon kush, happy, relaxed, euphoric, uplifted, hungry 
1700,lemon kush headband, euphoric, happy, relaxed, sleepy, uplifted 
1701,lemon larry lavender, energetic, uplifted, focused, creative, aroused 
1702,lemon marmalade, euphoric, uplifted, relaxed, happy, creative 
1703,lemon meringue, happy, uplifted, energetic, creative, euphoric 
1704,lemon og haze, relaxed, euphoric, uplifted, focused, happy 
1705,lemon jack, energetic, happy, uplifted, focused, relaxed 
1706,lemon jeffery, energetic, euphoric, uplifted, focused, happy 
1707,lemon kush, happy, relaxed, euphoric, uplifted, hungry 
1708,lemon kush headband, euphoric, happy, relaxed, sleepy, uplifted 
1709,lemon larry lavender, energetic, uplifted, focused, creative, aroused 
1710,lemon marmalade, euphoric, uplifted, relaxed, happy, creative 
1711,lemon meringue, happy, uplifted, energetic, creative, euphoric 
1712,lemon og haze, relaxed, euphoric, uplifted, focused, happy 
1713,lemon og, relaxed, euphoric, happy, uplifted, hungry 
1714,lemon pie, euphoric, energetic, creative, uplifted, happy 
1715,lemon sativa, happy, focused, creative, uplifted, energetic 
1716,lemon skunk, happy, euphoric, uplifted, relaxed, energetic 
1717,lemon sorbet 3, euphoric, relaxed, happy, tingly, uplifted 
1718,lemon tangie, hungry, tingly ,,,
1719,lemon thai, energetic, happy, focused, uplifted, creative 
1720,lemon thai kush, relaxed, focused, hungry, sleepy, happy 
1721,lemon tree, relaxed, happy, euphoric, uplifted, energetic 
1722,lemon walker og, happy, uplifted, energetic, relaxed, euphoric 
1723,lemon wreck, euphoric, relaxed, focused, uplifted, creative 
1724,lemon zest, uplifted, focused, relaxed, energetic, happy 
1725,lemonberry, relaxed, happy, uplifted, euphoric, giggly 
1726,lemonchello 28, euphoric, happy, sleepy, relaxed, giggly 
1727,lemonder, euphoric, relaxed, happy, uplifted, creative 
1728,lemonhead og, relaxed, happy, euphoric, uplifted, talkative 
1729,lennon, happy, euphoric, energetic, aroused, focused 
1730,leonidas, focused, aroused, creative, energetic, euphoric 
1731,lethal purple, creative, euphoric, happy, hungry, talkative 
1732,lifesaver, relaxed, happy, hungry, sleepy, giggly 
1733,lifestar, aroused, hungry, sleepy ,,
1734,lifter, relaxed, uplifted, euphoric, happy, creative 
1735,light of jah, relaxed, energetic, uplifted, focused, happy 
1736,lil sebastian, hungry, sleepy, euphoric, relaxed, aroused 
1737,lime green skunk, uplifted, tingly, happy, euphoric, energetic 
1738,key lime haze, happy, euphoric, uplifted, creative, tingly 
1739,lime purple mist, happy, relaxed, sleepy, tingly, euphoric 
1740,lime skunk, uplifted, happy, energetic, focused, euphoric 
1741,lime sorbet, relaxed, happy, euphoric, sleepy, hungry 
1742,lime tart, relaxed, euphoric, happy, aroused, giggly 
1743,limon, happy, energetic, creative, uplifted, focused 
1744,lions gate, happy, energetic, uplifted, creative, giggly 
1745,liquid butter, relaxed, happy, euphoric, uplifted, hungry 
1746,little devil, uplifted, relaxed, happy, euphoric, aroused 
1747,little dragon, relaxed, tingly, sleepy, euphoric, happy 
1748,locktite, relaxed, euphoric, sleepy, happy, uplifted 
1749,locomotion, relaxed, sleepy, euphoric, uplifted, creative 
1750,lodi dodi, happy, uplifted, relaxed, euphoric, energetic 
1751,logic diesel, energetic, talkative, uplifted, euphoric, focused 
1752,longbottom leaf, euphoric, happy, energetic, giggly, talkative 
1753,loopy fruit, euphoric, giggly, happy, relaxed, sleepy 
1754,lost coast hash plant, euphoric, relaxed, happy ,,
1755,locktite, relaxed, euphoric, sleepy, happy, uplifted 
1756,locomotion, relaxed, sleepy, euphoric, uplifted, creative 
1757,lodi dodi, happy, uplifted, relaxed, euphoric, energetic 
1758,logic diesel, energetic, talkative, uplifted, euphoric, focused 
1759,longbottom leaf, euphoric, happy, energetic, giggly, talkative 
1760,loopy fruit, euphoric, giggly, happy, relaxed, sleepy 
1761,lost coast hash plant, euphoric, relaxed, happy ,,
1762,lost coast og, uplifted, relaxed, happy, euphoric, talkative 
1763,lost sierra night nurse, creative, energetic, focused, happy, relaxed 
1764,loud dream, focused, euphoric, happy, relaxed, creative 
1765,loud lemonade, tingly, uplifted, relaxed, euphoric, focused 
1766,loud scout, happy, uplifted, euphoric, focused, talkative 
1767,love boat, euphoric, focused, happy, relaxed, uplifted 
1768,love potion, aroused, happy, uplifted, creative, relaxed 
1769,love potion 9, relaxed, sleepy, hungry, aroused, tingly 
1770,love triangle, euphoric, giggly, tingly, aroused, creative 
1771,lowryder, focused, happy, uplifted, aroused, relaxed 
1772,loyality, relaxed, focused, tingly, euphoric, creative 
1773,luca brasi x sour diesel, focused, happy, relaxed, uplifted, energetic 
1774,lucid bolt, giggly, hungry, relaxed, focused, uplifted 
1775,lucid dream, uplifted, happy, creative, energetic, euphoric 
1776,lucifer og, euphoric, hungry, tingly, giggly, happy 
1777,lucky charms, happy, relaxed, creative, uplifted, euphoric 
1778,lucy, relaxed, focused, creative, happy, uplifted 
1779,m 39, relaxed, hungry, euphoric, uplifted, focused 
1780,mac, relaxed, happy, euphoric, uplifted, creative 
1781,mc1, hungry, happy, relaxed, euphoric, aroused 
1782,milf, uplifted, relaxed, creative, happy, euphoric 
1783,mk ultra, relaxed, happy, sleepy, euphoric, hungry 
1784,mad dawg, euphoric, happy, relaxed, uplifted, talkative 
1785,mad scientist, happy, euphoric, uplifted, energetic, giggly 
1786,madagascar, sleepy, happy, euphoric, relaxed, creative 
1787,madcow, relaxed, sleepy, energetic, uplifted, creative 
1788,madman og, euphoric, uplifted, focused, creative, relaxed 
1789,madzilla, euphoric, relaxed, happy, aroused, hungry 
1790,mag 91, sleepy, tingly, creative, energetic, focused 
1791,mag landrace, relaxed, sleepy, happy, euphoric, hungry 
1792,magellan, energetic, creative, focused, euphoric, happy 
1793,magic beans og, happy, euphoric, relaxed, tingly, sleepy 
1794,magic jordan, relaxed, sleepy, happy, hungry, euphoric 
1795,magic melon, aroused, creative, euphoric, giggly, happy 
1796,magnificent mile, uplifted, relaxed, focused, talkative, aroused 
1797,magnum, happy, relaxed, hungry, sleepy, energetic 
1798,magnum opus, creative, euphoric, happy, hungry, relaxed 
1799,magnum pi, uplifted, focused, energetic, euphoric, happy 
1800,mai tai cookies, uplifted, focused, giggly, happy, creative 
1801,majestic 12, relaxed, euphoric, tingly, creative, focused 
1802,mako haze, euphoric, happy, uplifted, energetic, creative 
1803,malakoff, focused, creative, energetic, happy, talkative 
1804,malawi, uplifted, euphoric, energetic, happy, tingly 
1805,malawi gold, uplifted, euphoric, creative, happy, energetic 
1806,magnum opus, creative, euphoric, happy, hungry, relaxed 
1807,magnum pi, uplifted, focused, energetic, euphoric, happy 
1808,mai tai cookies, uplifted, focused, giggly, happy, creative 
1809,majestic 12, relaxed, euphoric, tingly, creative, focused 
1810,mako haze, euphoric, happy, uplifted, energetic, creative 
1811,malakoff, focused, creative, energetic, happy, talkative 
1812,malawi, uplifted, euphoric, energetic, happy, tingly 
1813,malawi gold, uplifted, euphoric, creative, happy, energetic 
1814,mammoth, happy, relaxed, focused, uplifted, euphoric 
1815,mandala 1, euphoric, creative, energetic, uplifted, happy 
1816,mandarin cookies, happy, relaxed, uplifted, euphoric, creative 
1817,mandarin dreams, relaxed, happy, euphoric, focused, sleepy 
1818,mandarin sunset, relaxed, sleepy, happy, uplifted, euphoric 
1819,mandarin zkittlez, focused, relaxed, sleepy, creative, euphoric 
1820,mango, relaxed, happy, euphoric, hungry, sleepy 
1821,mango dream, euphoric, focused, hungry, happy, uplifted 
1822,mango habanero, focused, creative, energetic, euphoric, happy 
1823,mango kush, happy, relaxed, euphoric, uplifted, giggly 
1824,mango sapphire, happy, relaxed, uplifted, giggly, focused 
1825,mango sherbert, uplifted, euphoric, relaxed, happy, creative 
1826,mango tango, happy, euphoric, relaxed, uplifted, creative 
1827,mangolicious, relaxed, focused, euphoric, tingly, uplifted 
1828,manitoba poison, happy, relaxed, focused, creative, giggly 
1829,maple leaf indica, happy, giggly, hungry, euphoric, sleepy 
1830,maramota 10, energetic, giggly, relaxed, talkative ,
1831,marcosus marshmellow, euphoric, relaxed, sleepy, giggly, hungry 
1832,margaret cho g, euphoric, focused, relaxed, creative, happy 
1833,marionberry kush, relaxed, euphoric, happy, uplifted, sleepy 
1834,marionberry pie, happy, euphoric, hungry, relaxed ,
1835,marleys collie, relaxed, happy, focused, creative, hungry 
1836,marmalade, happy, relaxed, uplifted, tingly, giggly 
1837,mars og, sleepy, relaxed, happy, hungry, uplifted 
1838,martian candy, euphoric, relaxed, happy, uplifted, sleepy 
1839,martian mean green, happy, relaxed, talkative, energetic, hungry 
1840,martian muffins, relaxed, sleepy, euphoric, happy, talkative 
1841,master bubba, euphoric, aroused, giggly, happy, focused 
1842,master jedi, happy, hungry, relaxed, euphoric, uplifted 
1843,master kush, relaxed, happy, sleepy, euphoric, uplifted 
1844,master og, sleepy, relaxed, hungry, happy, uplifted 
1845,master skunk, relaxed, sleepy, euphoric, happy, uplifted 
1846,master yoda, relaxed, euphoric, uplifted, happy, sleepy 
1847,matanuska thunder fuck, euphoric, aroused, happy, uplifted, tingly 
1848,mataro blue, relaxed, uplifted, talkative, happy, energetic 
1849,matsu, euphoric, happy, tingly, hungry, sleepy 
1850,mau mau, happy, uplifted, creative, energetic, euphoric 
1851,maui, relaxed, energetic, talkative, uplifted, euphoric 
1852,maui berry, happy, creative, uplifted, hungry, energetic 
1853,maui bubble gift, energetic, creative, focused, relaxed, uplifted 
1854,maui citrus punch, relaxed, uplifted, energetic, creative, happy 
1855,maui haole, happy, creative, euphoric, aroused, relaxed 
1856,maui mango diesel, energetic, happy, talkative, uplifted, creative 
1857,maui wowie, happy, uplifted, energetic, euphoric, creative 
1858,maui, relaxed, energetic, talkative, uplifted, euphoric 
1859,maui berry, happy, creative, uplifted, hungry, energetic 
1860,maui bubble gift, energetic, creative, focused, relaxed, uplifted 
1861,maui citrus punch, relaxed, uplifted, energetic, creative, happy 
1862,maui haole, happy, creative, euphoric, aroused, relaxed 
1863,maui mango diesel, energetic, happy, talkative, uplifted, creative 
1864,maui wowie, happy, uplifted, energetic, euphoric, creative 
1865,mazar i sharif, relaxed, happy, euphoric, creative, giggly 
1866,mazar kush, relaxed, sleepy, euphoric, happy, tingly 
1867,mazar x blueberry, relaxed, euphoric, sleepy, happy, hungry 
1868,mazar x blueberry, relaxed, euphoric, sleepy, happy, hungry 
1869,mazari, relaxed, sleepy, creative, happy, hungry 
1870,mean misty, relaxed, uplifted, energetic, euphoric, giggly 
1871,medihaze, relaxed, focused, energetic, happy, uplifted 
1872,medibud, uplifted, euphoric, energetic, talkative, giggly 
1873,medicine man, relaxed, euphoric, uplifted, sleepy, happy 
1874,medicine woman, aroused, uplifted, euphoric, focused, relaxed 
1875,medusa, sleepy, relaxed, happy, creative, uplifted 
1876,mega jackpot, relaxed, happy, giggly, creative, euphoric 
1877,megalodon, happy, uplifted, euphoric, talkative, creative 
1878,mekamika haze, creative, energetic, euphoric, focused, giggly 
1879,melon gum, tingly, relaxed, focused, uplifted, euphoric 
1880,member berry, relaxed, euphoric, uplifted, happy, energetic 
1881,memory loss, happy, uplifted, euphoric, relaxed, energetic 
1882,mendo afgoo, relaxed, happy, creative, focused, tingly 
1883,mendo breath, relaxed, euphoric, sleepy, happy, tingly 
1884,mendo queen, euphoric, happy, energetic, giggly, relaxed 
1885,mendo supremo, creative, euphoric, giggly, relaxed ,
1886,mendocino madness, aroused, uplifted, energetic, euphoric, talkative 
1887,mendocino purps, relaxed, happy, euphoric, sleepy, uplifted 
1888,mercury og, relaxed, euphoric, happy, sleepy, giggly 
1889,merlot og, relaxed, happy, uplifted, euphoric, sleepy 
1890,mexican, happy, euphoric, hungry, relaxed, giggly 
1891,mexican sativa, happy, energetic, creative, focused, uplifted 
1892,michael phelps og, relaxed, hungry, aroused, uplifted, talkative 
1893,michka, creative, energetic, euphoric, happy, relaxed 
1894,mickey kush, euphoric, tingly, uplifted, happy, relaxed 
1895,middlefork, creative, relaxed, uplifted, energetic, focused 
1896,middlefork x pineapple express, happy, euphoric, giggly, uplifted, energetic 
1897,midnight, relaxed, happy, uplifted, focused, sleepy 
1898,mighty glue, giggly, happy, creative, euphoric, talkative 
1899,milky way, relaxed, sleepy, happy, euphoric, tingly 
1900,millennium, energetic, giggly, sleepy, relaxed, creative 
1901,mimosa, happy, uplifted, focused, energetic, relaxed 
1902,mint chocolate chip, happy, relaxed, tingly, uplifted, euphoric 
1903,mission kush, creative, relaxed, happy, energetic, euphoric 
1904,misty kush, happy, uplifted, focused, relaxed, energetic 
1905,milky way, relaxed, sleepy, happy, euphoric, tingly 
1906,millennium, energetic, giggly, sleepy, relaxed, creative 
1907,mimosa, happy, uplifted, focused, energetic, relaxed 
1908,mint chocolate chip, happy, relaxed, tingly, uplifted, euphoric 
1909,mission kush, creative, relaxed, happy, energetic, euphoric 
1910,misty kush, happy, uplifted, focused, relaxed, energetic 
1911,misty morning, euphoric, relaxed, sleepy, happy ,
1912,mob boss, euphoric, happy, uplifted, relaxed, creative 
1913,moby dick, relaxed, happy, euphoric, uplifted, energetic 
1914,mochi, relaxed, uplifted, happy, hungry, sleepy 
1915,molokai frost, uplifted, relaxed, tingly, euphoric, happy 
1916,molokai purpz, aroused, euphoric, creative, relaxed, focused 
1917,money maker, relaxed, sleepy, uplifted, focused, euphoric 
1918,monkey bread 1, hungry, relaxed, euphoric, focused, sleepy 
1919,monkey paw, happy, uplifted, relaxed, euphoric, creative 
1920,monkey thunder, relaxed, sleepy ,,,
1921,monolith, relaxed, happy, sleepy, euphoric, hungry 
1922,monster cookies, relaxed, euphoric, happy, sleepy, creative 
1923,monster og, relaxed, euphoric, sleepy, uplifted, happy 
1924,montana silvertip, relaxed, euphoric, uplifted, hungry, creative 
1925,moon cookies, euphoric, creative, happy, relaxed, focused 
1926,moon drops, euphoric, happy, relaxed, sleepy, focused 
1927,moon walk, relaxed, sleepy, euphoric, tingly ,
1928,moonbeam, relaxed, happy, euphoric, sleepy, giggly 
1929,moondance, creative, energetic, uplifted, euphoric, happy 
1930,moonshine haze, uplifted, euphoric, energetic, creative, happy 
1931,moonwalker kush, happy, relaxed, euphoric, giggly, hungry 
1932,moose and lobsta, energetic, uplifted, happy, euphoric, talkative 
1933,more cowbell, creative, euphoric, happy, relaxed, uplifted 
1934,morning glory, creative, uplifted, happy, talkative, euphoric 
1935,morning star, uplifted, euphoric, energetic, focused, talkative 
1936,mossad, euphoric, focused, relaxed ,,
1937,mossimo og, happy, relaxed, euphoric, creative, energetic 
1938,motavation, relaxed, creative, euphoric, focused, happy 
1939,mother tongue, euphoric, energetic, happy, uplifted, creative 
1940,mother of all cherries, happy, relaxed, creative, euphoric, focused 
1941,mother of berries, relaxed, hungry, sleepy, happy, creative 
1942,mothers milk, euphoric, happy, uplifted, relaxed, creative 
1943,mothertongue, energetic, euphoric, giggly, happy ,
1944,mothers finest, uplifted, energetic, happy, relaxed, hungry 
1945,mothers helper, focused, energetic, happy, creative, talkative 
1946,motorbreath, euphoric, relaxed, happy, uplifted, creative 
1947,mountain girl, happy, relaxed, uplifted, tingly, focused 
1948,mountain girl x grape ape, creative, energetic, hungry, relaxed, tingly 
1949,mountain thunder, energetic, focused, happy, creative, aroused 
1950,mozambique poison, creative, focused, uplifted, aroused, energetic 
1951,mr nice, relaxed, happy, uplifted, euphoric, sleepy 
1952,mr tusk, happy, euphoric, tingly, relaxed, talkative 
1953,ms universe, euphoric, happy, tingly, uplifted, talkative 
1954,mt cook, euphoric, focused, happy, relaxed, aroused 
1955,mt hood magic, relaxed, happy, euphoric, tingly, focused 
1956,mt rainier, happy, relaxed, tingly, aroused, energetic 
1957,mountain thunder, energetic, focused, happy, creative, aroused 
1958,mozambique poison, creative, focused, uplifted, aroused, energetic 
1959,mr nice, relaxed, happy, uplifted, euphoric, sleepy 
1960,mr tusk, happy, euphoric, tingly, relaxed, talkative 
1961,ms universe, euphoric, happy, tingly, uplifted, talkative 
1962,mt cook, euphoric, focused, happy, relaxed, aroused 
1963,mt hood magic, relaxed, happy, euphoric, tingly, focused 
1964,mt rainier, happy, relaxed, tingly, aroused, energetic 
1965,mud bite, relaxed, giggly, happy, hungry, sleepy 
1966,murkle, euphoric, happy, hungry, relaxed, sleepy 
1967,mystery 98, relaxed, happy, uplifted, energetic, euphoric 
1968,mystery jazz, happy, creative, uplifted, euphoric, focused 
1969,nl5 haze mist, euphoric, relaxed, uplifted, creative, energetic 
1970,ny cheese, happy, creative, energetic, euphoric, uplifted 
1971,ny 47, hungry, relaxed, happy, giggly, sleepy 
1972,nyc diesel, uplifted, happy, euphoric, relaxed, energetic 
1973,nypd, uplifted, happy, giggly, talkative, tingly 
1974,nanas fix, relaxed, happy, euphoric, focused, giggly 
1975,narnia, euphoric, happy, creative, aroused, uplifted 
1976,nebula, euphoric, happy, uplifted, focused, relaxed 
1977,nebula ii cbd, focused, happy, euphoric, relaxed, uplifted 
1978,nectarine lips, relaxed, happy, creative, euphoric, focused 
1979,negra 44, creative, relaxed, sleepy, energetic, hungry 
1980,neil haze, creative, euphoric, happy, talkative, energetic 
1981,nepalese, happy, uplifted, energetic, relaxed, euphoric 
1982,nepalese jam, creative, relaxed, uplifted, focused, giggly 
1983,neptune kush, relaxed, uplifted, euphoric, creative, happy 
1984,neptune og, euphoric, relaxed, sleepy, focused, happy 
1985,nevils wreck, energetic, tingly, giggly, talkative, hungry 
1986,nevilles haze, creative, uplifted, energetic, euphoric, aroused 
1987,new glue, relaxed, happy, euphoric, tingly, uplifted 
1988,nexus og, relaxed, happy, creative, euphoric, giggly 
1989,nice cherry, relaxed, happy, hungry, sleepy, talkative 
1990,nicole kush, relaxed, euphoric, happy, sleepy, uplifted 
1991,night nurse, relaxed, sleepy, happy, euphoric, hungry 
1992,night terror og, relaxed, sleepy, euphoric, happy, uplifted 
1993,night train, euphoric, sleepy, relaxed, tingly, focused 
1994,nightfire og, happy, euphoric, relaxed, energetic, focused 
1995,nightmare cookies, relaxed, euphoric, happy, sleepy, hungry 
1996,nightmare og, happy, relaxed, talkative, focused, uplifted 
1997,nina limone, happy, energetic, uplifted, euphoric, creative 
1998,ninja fruit, happy, energetic, uplifted, relaxed, hungry 
1999,nor cal purps, creative, focused, hungry, relaxed, tingly 
2000,nordle, relaxed, talkative, uplifted, focused, sleepy 
2001,north american, relaxed, happy, hungry, talkative, focused 
2002,north american sativa, happy, uplifted, focused, euphoric, energetic 
2003,north indian, happy, uplifted, hungry, euphoric, focused 
2004,northernberry, relaxed, sleepy, happy, euphoric, tingly 
2005,northern cross, creative, energetic, euphoric, focused, happy 
2006,northern lights, relaxed, happy, sleepy, euphoric, hungry 
2007,northern lights  5, happy, euphoric, giggly, talkative, aroused 
2008,northern lights 5 x haze, happy, uplifted, energetic, euphoric, relaxed 
2009,northern skunk, happy, relaxed, euphoric, uplifted, tingly 
2010,north american sativa, happy, uplifted, focused, euphoric, energetic 
2011,north indian, happy, uplifted, hungry, euphoric, focused 
2012,northernberry, relaxed, sleepy, happy, euphoric, tingly 
2013,northern cross, creative, energetic, euphoric, focused, happy 
2014,northern lights, relaxed, happy, sleepy, euphoric, hungry 
2015,northern lights  5, happy, euphoric, giggly, talkative, aroused 
2016,northern lights 5 x haze, happy, uplifted, energetic, euphoric, relaxed 
2017,northern skunk, happy, relaxed, euphoric, uplifted, tingly 
2018,northern wreck, euphoric, happy, uplifted, hungry, giggly 
2019,northwest pineapple, euphoric, happy, relaxed, uplifted ,
2020,nova, relaxed, euphoric, uplifted, happy, creative 
2021,nuclear cookies, happy, relaxed, uplifted, creative, tingly 
2022,nuggetry og, euphoric, creative, giggly, happy, sleepy 
2023,nukeheads, hungry, giggly, happy, creative, talkative 
2024,nuken, relaxed, euphoric, uplifted, happy, tingly 
2025,nurse jackie, happy, uplifted, relaxed, focused, creative 
2026,oca gold, relaxed, sleepy, tingly, euphoric, happy 
2027,ocas cloud 9, relaxed, euphoric, happy, energetic, uplifted 
2028,ocd, creative, energetic, aroused, euphoric, uplifted 
2029,og 18, relaxed, euphoric, happy, uplifted, sleepy 
2030,og 1 kenobi, relaxed, sleepy, euphoric, hungry, happy 
2031,og cheese, uplifted, euphoric, creative, hungry, talkative 
2032,og chem, euphoric, happy, uplifted, creative, energetic 
2033,og diesel kush, happy, energetic, relaxed, creative, uplifted 
2034,og eddy lepp, happy, hungry, euphoric, focused, giggly 
2035,og glue sniffer, euphoric, giggly, happy, creative, energetic 
2036,og kush, relaxed, happy, euphoric, uplifted, hungry 
2037,og la affie, relaxed, happy, sleepy, uplifted, focused 
2038,og lime killer, happy, uplifted, creative, energetic ,
2039,og los angeles kush, relaxed, hungry, happy, sleepy, euphoric 
2040,og poison, relaxed, euphoric, happy, tingly, sleepy 
2041,og purple fire thai, creative, energetic, focused, happy, uplifted 
2042,og ringo, relaxed, euphoric, focused, creative, energetic 
2043,og shark, relaxed, happy, uplifted, euphoric, sleepy 
2044,og skunk, uplifted, happy, relaxed, euphoric, creative 
2045,og sour diesel, sleepy, happy, relaxed, hungry, talkative 
2046,og strawberry, relaxed, happy, creative, euphoric, focused 
2047,og tonic, aroused, energetic, euphoric, happy ,
2048,og wreck, happy, euphoric, uplifted, energetic, hungry 
2049,ogs pearl, relaxed, happy, sleepy, euphoric, hungry 
2050,ogkb, relaxed, happy, euphoric, tingly, hungry 
2051,ogkz, happy, energetic, euphoric, focused, relaxed 
2052,ogiesel, happy, creative, focused, euphoric, uplifted 
2053,obama kush, relaxed, happy, euphoric, uplifted, sleepy 
2054,ocean view, uplifted, relaxed, happy, euphoric, sleepy 
2055,odyssey, focused, energetic, relaxed, sleepy, euphoric 
2056,ogre, relaxed, euphoric, focused, uplifted, happy 
2057,ogre berry, happy, euphoric, tingly, giggly, focused 
