,strain,effect_1,effect_2,effect_3,effect_4,effect_5
196,avalon, focused, aroused, hungry, tingly, giggly 
197,avi, relaxed, focused, happy, creative, uplifted 
198,avi dekel, relaxed, happy, uplifted, focused, energetic 
199,ayahuasca purple, relaxed, sleepy, creative, hungry, happy 
200,azure haze, relaxed, happy, uplifted, euphoric, focused 
201,b 52, euphoric, happy, sleepy, relaxed, uplifted 
202,b witched, relaxed, happy, euphoric, uplifted, hungry 
203,b witched, relaxed, happy, euphoric, uplifted, hungry 
204,bb king, relaxed, hungry, euphoric, sleepy, creative 
205,b4, relaxed, uplifted, energetic, euphoric, creative 
206,bc big bud, relaxed, euphoric, happy, uplifted, creative 
207,bc roadkill, euphoric, happy, uplifted, creative, energetic 
208,bc sweet tooth, creative, happy, relaxed, focused, uplifted 
209,bog bubble, relaxed, hungry, sleepy, tingly, happy 
210,bsc, relaxed, giggly, euphoric, happy, hungry 
211,bakerstreet, relaxed, euphoric, focused, happy, sleepy 
212,balmoral, happy, relaxed, focused, creative, uplifted 
213,banana bread, tingly, happy, relaxed, sleepy, euphoric 
214,banana candy, relaxed, giggly, sleepy, hungry, euphoric 
215,bog bubble, relaxed, hungry, sleepy, tingly, happy 
216,bsc, relaxed, giggly, euphoric, happy, hungry 
217,bakerstreet, relaxed, euphoric, focused, happy, sleepy 
218,balmoral, happy, relaxed, focused, creative, uplifted 
219,banana bread, tingly, happy, relaxed, sleepy, euphoric 
220,banana candy, relaxed, giggly, sleepy, hungry, euphoric 
221,banana cream og, creative, relaxed, happy, euphoric, uplifted 
222,banana diesel, happy, relaxed, euphoric, uplifted, focused 
223,banana hammock r1, relaxed, sleepy, hungry, euphoric, happy 
224,banana kush, relaxed, happy, euphoric, uplifted, talkative 
225,banana og, relaxed, euphoric, sleepy, happy, tingly 
226,banana peel, relaxed, euphoric, uplifted, happy, creative 
227,banana punch 9, happy, relaxed, tingly ,,
228,banana split, euphoric, relaxed, happy, focused, uplifted 
229,bananas, uplifted, euphoric, creative, relaxed, happy 
230,bandana, euphoric, happy, hungry, relaxed, creative 
231,bangi haze, euphoric, uplifted, relaxed, creative, energetic 
232,bango, focused, relaxed, uplifted, creative, energetic 
233,banjo, creative, euphoric, relaxed, happy, uplifted 
234,barbara bud, relaxed, happy, sleepy, giggly, uplifted 
235,batgirl, relaxed, euphoric ,,,
236,batman og, relaxed, happy, euphoric, sleepy, uplifted 
237,bay 11, energetic, focused, creative, happy, talkative 
238,bay dream, focused, happy, euphoric, uplifted, aroused 
239,bazooka joe g, focused, creative, aroused, happy, hungry 
240,bear dance, happy, uplifted, euphoric, relaxed, energetic 
241,beast mode 20, relaxed, euphoric, uplifted, tingly, happy 
242,beast mode og, uplifted, talkative, euphoric, aroused, tingly 
243,beckwourth bud, relaxed, sleepy, talkative, hungry, focused 
244,bedford glue, aroused, happy, euphoric, giggly, relaxed 
245,bedica, relaxed, sleepy, happy, focused, hungry 
246,bediol, relaxed, sleepy, uplifted, creative, energetic 
247,bell ringer, relaxed, sleepy, hungry, euphoric, tingly 
248,belladonna, euphoric, energetic, hungry, happy, uplifted 
249,berkeley, uplifted, energetic, happy, creative, euphoric 
250,bermuda sour, hungry, relaxed, uplifted, energetic, focused 
251,berries  crme, relaxed, happy, sleepy, aroused, euphoric 
252,berry bomb, relaxed, focused, happy, euphoric, tingly 
253,berry larry, relaxed, uplifted, euphoric, focused, happy 
254,berry noir, relaxed, euphoric, sleepy, happy, hungry 
255,berry og, relaxed, euphoric, hungry, tingly, aroused 
256,berry white, relaxed, euphoric, happy, uplifted, creative 
257,berts cookie dough, energetic, happy, hungry, uplifted ,
258,bertberry cheesecake, happy, energetic, creative, uplifted, talkative 
259,bettie page, relaxed, happy, aroused, hungry, creative 
260,bianca, uplifted, sleepy, relaxed, euphoric, happy 
261,biddy early, relaxed, sleepy, euphoric, happy, creative 
262,big band, relaxed, euphoric, uplifted, happy, tingly 
263,big bang, happy, sleepy, creative, tingly, talkative 
264,bertberry cheesecake, happy, energetic, creative, uplifted, talkative 
265,bettie page, relaxed, happy, aroused, hungry, creative 
266,bianca, uplifted, sleepy, relaxed, euphoric, happy 
267,biddy early, relaxed, sleepy, euphoric, happy, creative 
268,big band, relaxed, euphoric, uplifted, happy, tingly 
269,big bang, happy, sleepy, creative, tingly, talkative 
270,big bud, relaxed, sleepy, happy, focused, uplifted 
271,big budda cheese, happy, relaxed, focused, uplifted, euphoric 
272,big bull, focused, aroused, relaxed, euphoric, hungry 
273,big holy nina, relaxed, talkative, creative, euphoric, happy 
274,big kush, energetic, uplifted, euphoric, relaxed, happy 
275,big mac, relaxed, hungry, sleepy, talkative, tingly 
276,big skunk korean, creative, energetic, hungry, talkative, uplifted 
277,big sky og, euphoric, tingly, energetic, talkative, relaxed 
278,big smooth, relaxed, happy, euphoric, uplifted, hungry 
279,big sur holy bud, happy, euphoric, uplifted, creative, relaxed 
280,big white, relaxed, uplifted, sleepy, euphoric, happy 
281,big wreck, relaxed, sleepy, euphoric, happy, tingly 
282,biker kush, relaxed, happy, euphoric, sleepy, giggly 
283,biker leblanc, relaxed, energetic, euphoric, giggly, focused 
284,bingo pajamas, creative, euphoric, happy, uplifted ,
285,bio diesel, uplifted, relaxed, happy, euphoric, hungry 
286,bio jesus, relaxed, sleepy, happy, euphoric, hungry 
287,biochem, relaxed, sleepy, tingly, happy, euphoric 
288,biohazard, creative, giggly, relaxed, uplifted, euphoric 
289,birds eye, relaxed, uplifted, hungry, happy, energetic 
290,birds of paradise, happy, creative, energetic, focused, uplifted 
291,birthday cake kush, relaxed, happy, euphoric, uplifted, hungry 
292,black 84, relaxed, sleepy, happy, euphoric, hungry 
293,black afghan, relaxed, sleepy, hungry, happy, giggly 
294,black betty, euphoric, uplifted, relaxed, focused, creative 
295,black bubba, hungry, relaxed, sleepy, happy, tingly 
296,black cheese, euphoric, relaxed, sleepy ,,
297,black cherry cheesecake, relaxed, creative, focused, happy, euphoric 
298,black cherry og, happy, relaxed, euphoric, giggly, uplifted 
299,black cherry pie, relaxed, happy, euphoric, creative, uplifted 
300,black cherry soda, happy, relaxed, euphoric, uplifted, energetic 
301,black dog, relaxed, hungry, sleepy, happy, uplifted 
302,black dhalia, happy, focused, energetic, relaxed, sleepy 
303,black diamond, relaxed, happy, euphoric, tingly, giggly 
304,black diesel, euphoric, uplifted, energetic, happy, creative 
305,black domina, relaxed, sleepy, euphoric, happy, focused 
306,black haze, uplifted, creative, focused, relaxed, energetic 
307,black ice, relaxed, sleepy, hungry, giggly, happy 
308,black jack, relaxed, happy, uplifted, euphoric, focused 
309,black label, creative, euphoric, relaxed, happy, hungry 
310,black label kush, happy, relaxed, sleepy, euphoric, uplifted 
311,black lime special reserve, relaxed, euphoric, happy, sleepy, hungry 
312,black magic, happy, relaxed, euphoric, sleepy, uplifted 
313,black magic kush, relaxed, happy, euphoric, sleepy, creative 
314,black mamba, relaxed, sleepy, happy, euphoric, uplifted 
315,black out, euphoric, focused, giggly, happy, relaxed 
316,black label, creative, euphoric, relaxed, happy, hungry 
317,black label kush, happy, relaxed, sleepy, euphoric, uplifted 
318,black lime special reserve, relaxed, euphoric, happy, sleepy, hungry 
319,black magic, happy, relaxed, euphoric, sleepy, uplifted 
320,black magic kush, relaxed, happy, euphoric, sleepy, creative 
321,black mamba, relaxed, sleepy, happy, euphoric, uplifted 
322,black out, euphoric, focused, giggly, happy, relaxed 
323,black raspberry, relaxed, uplifted, euphoric, focused, happy 
324,black roses, relaxed, happy, aroused, focused, giggly 
325,black russian, relaxed, euphoric, creative, giggly, talkative 
326,black triangle, happy, relaxed, uplifted, euphoric, creative 
327,black tuna, relaxed, happy, sleepy, tingly, euphoric 
328,black velvet, happy, relaxed, energetic, hungry, uplifted 
329,black widow, relaxed, happy, talkative, energetic, uplifted 
330,blackberry, relaxed, happy, euphoric, uplifted, sleepy 
331,blackberry bubble, relaxed, happy, euphoric, hungry, aroused 
332,blackberry chem og, relaxed, euphoric, happy, uplifted, talkative 
333,blackberry cream, relaxed, euphoric, uplifted, tingly, talkative 
334,blackberry diesel, happy, relaxed, euphoric, talkative, giggly 
335,blackberry dream, uplifted, happy, euphoric, relaxed, energetic 
