,category,strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,review_total,parent_1,parent_2,parent_3,parent_4,parent_5,parent_6,parent_7
1463,sativa,hoodwreck, euphoric, happy, creative, energetic, focused , fatigue, cramps, depression, eye pressure, headaches ,,,,,, 1. sweet, 2. earthy, 3. flowery ,,trainwreck,purple diesel,n,n,n,n,n
1464,sativa,horace, euphoric, happy, tingly, uplifted, aroused , depression, fatigue ,,,, dry mouth ,,,,, 1. sweet, 2. tree fruit, 3. tropical ,3.0,banana og,n,n,n,n,n,n
1465,hybrid,huckleberries, aroused, euphoric, giggly, happy, hungry , depression, eye pressure, headaches, insomnia, lack of appetite , dry mouth ,,,,, 1. berry, 2. grape, 3. honey ,1.0,zkittlez,n,n,n,n,n,n
1466,hybrid,huckleberry, happy, relaxed, euphoric, energetic, uplifted , pain, depression, inflammation, stress, insomnia , dry eyes, dry mouth, paranoid, dizzy, anxious , 1. sweet, 2. berry, 3. earthy ,154.0,n,n,n,n,n,n,n
1467,hybrid,huckleberry cough, happy, relaxed, sleepy, euphoric, focused , cramps, depression, fatigue, headaches, inflammation , dry eyes, dry mouth ,,,, 1. berry, 2. menthol, 3. blueberry ,3.0,n,n,n,n,n,n,n
1468,hybrid,huckleberry desstar,,,,,,,,,,,,,,,,,,,1.0,n,n,n,n,n,n,n
1469,hybrid,huckleberry diesel, happy, relaxed, euphoric, giggly, creative , pain, depression, inflammation, muscle spasms, stress , dry eyes, dry mouth ,,,, 1. berry, 2. earthy, 3. diesel ,4.0,sour diesel,n,n,n,n,n,n
1470,hybrid,huckleberry hound, euphoric, happy, relaxed, giggly, hungry , headaches, lack of appetite, pain, stress ,, dry eyes, dry mouth ,,,, 1. berry, 2. earthy, 3. flowery ,3.0,chemdawg,blueberry,n,n,n,n,n
1471,hybrid,huckleberry soda,,,,,,,,,,,,,,,,,,,,black cherry soda,huckleberry hound,n,n,n,n,n
1472,indica,hulkamania, aroused, uplifted, euphoric, relaxed, happy , cramps, headaches, depression, nausea, insomnia , dry mouth ,,,,, 1. earthy, 2. ammonia, 3. berry ,6.0,monster cookies,bruce banner,n,n,n,n,n
1473,hybrid,humboldt, relaxed, euphoric, happy, uplifted, sleepy , stress, pain, depression, muscle spasms, headaches , dry eyes, dry mouth, dizzy, headache, paranoid , 1. earthy, 2. skunk, 3. spicy/herbal ,44.0,afghani,n,n,n,n,n,n
1474,indica,humboldt dream, relaxed, happy, uplifted, tingly, euphoric , stress, depression, insomnia, pain, fatigue , dry eyes, dry mouth, dizzy ,,, 1. diesel, 2. lemon, 3. tropical ,9.0,n,n,n,n,n,n,n
1475,hybrid,humboldt hawaiian, aroused, euphoric, happy, relaxed, uplifted ,,,,,,,,,,, 1. berry, 2. pine, 3. plum ,,purple champagne,platinum gsc,n,n,n,n,n
1476,indica,humboldt headband, euphoric, relaxed, happy, sleepy, focused , stress, depression, insomnia, lack of appetite, pain , dizzy, dry mouth, anxious, dry eyes ,, 1. berry, 2. grape, 3. sweet ,9.0,n,n,n,n,n,n,n
1477,hybrid,humboldt sour diesel,,,,,,,,,,,,,,,,,,,,humboldt headband,n,n,n,n,n,n
