,category,strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,review_total,parent_1,parent_2,parent_3,parent_4,parent_5,parent_6,parent_7
569,indica,cbd ox, aroused, happy, sleepy, euphoric, focused , stress, pain, depression, insomnia, inflammation , dizzy, dry eyes, dry mouth ,,, 1. flowery, 2. berry, 3. sweet ,4.0,the ox,n,n,n,n,n,n
570,sativa,cbd rich blessing, aroused, focused, happy, relaxed, uplifted , depression, stress ,,,,,,,,,,,,1.0,acdc,good medicine,n,n,n,n,n
571,indica,cbd shark, relaxed, sleepy, focused, happy, creative , fatigue, pain, inflammation, stress, depression , dry mouth, dry eyes, dizzy, anxious, paranoid , 1. pine, 2. mint, 3. earthy ,92.0,shark shock,n,n,n,n,n,n
572,indica,chr super og, relaxed, giggly, happy, hungry, uplifted , headaches, insomnia, eye pressure, lack of appetite, muscle spasms , paranoid, dizzy, dry eyes, dry mouth, anxious , 1. apple, 2. diesel, 3. grape ,12.0,skywalker og,tahoe og kush,larry og,n,n,n,n
573,hybrid,csg, uplifted, euphoric, giggly, happy, relaxed , depression, fatigue, headaches, inflammation, nausea , anxious, dizzy, dry mouth ,,, 1. citrus, 2. diesel, 3. lavender ,3.0,gsc,n,n,n,n,n,n
574,hybrid,cabbage patch, energetic, happy, uplifted, creative, focused , stress, depression, muscle spasms, fatigue, pain , anxious ,,,,, 1. earthy, 2. sweet, 3. berry ,22.0,cherry pie,durban poison,n,n,n,n,n
575,hybrid,caboose,,,,,,,,,,,,,,,,,,,,n,n,n,n,n,n,n
576,hybrid,cackleberry, happy, uplifted, focused, sleepy, euphoric , depression, stress, spasticity, fatigue, inflammation , dry eyes, dry mouth, dizzy ,,, 1. grape, 2. ammonia, 3. chemical ,11.0,cherry og,stardawg,n,n,n,n,n
577,indica,cactus, relaxed, creative, happy, uplifted, sleepy , pain, depression, insomnia, stress, lack of appetite , dry eyes, dry mouth, dizzy, paranoid, anxious , 1. earthy, 2. sweet, 3. tea ,107.0,northern lights,afghani,n,n,n,n,n
578,hybrid,cactus cooler, happy, uplifted, euphoric, creative, focused , headaches, pain, stress, depression, inflammation , dry mouth, dry eyes, anxious, headache ,, 1. citrus, 2. earthy, 3. orange ,18.0,blue dream,og kush,n,n,n,n,n
579,indica,cadillac cookies, relaxed, sleepy, aroused, energetic, creative , headaches, lack of appetite, muscle spasms, spasticity ,, dry mouth ,,,,, 1. sweet, 2. berry, 3. grapefruit ,4.0,cadillac purple,platinum gsc,n,n,n,n,n
580,indica,cadillac purple, relaxed, sleepy, happy, euphoric, hungry , insomnia, pain, fatigue, stress, depression , dry mouth, dry eyes, paranoid, anxious, dizzy , 1. grape, 2. pine, 3. earthy ,144.0,blackberry kush,the black,purple urkle,n,n,n,n
581,hybrid,cali dragon, euphoric, happy, relaxed, uplifted, tingly , pain, stress, depression, insomnia, fatigue , dry eyes ,,,,, 1. pine, 2. woody, 3. citrus ,5.0,n,n,n,n,n,n,n
582,hybrid,cali gold, happy, relaxed, uplifted, sleepy, tingly , depression, pain, insomnia, inflammation, stress , dry mouth, dizzy, anxious, paranoid, dry eyes , 1. earthy, 2. pine, 3. lemon ,62.0,n,n,n,n,n,n,n
583,hybrid,cali jack, happy, creative, energetic, euphoric, focused , stress, nausea, lack of appetite, depression, headaches , headache, paranoid ,,,, 1. diesel, 2. skunk, 3. sweet ,8.0,jack herer,pre-98 bubba kush,n,n,n,n,n
585,hybrid,cali kush, relaxed, happy, hungry, sleepy, uplifted , depression, lack of appetite, pain, stress, headaches , dry mouth, dry eyes, paranoid, anxious, dizzy , 1. pine, 2. earthy, 3. woody ,227.0,n,n,n,n,n,n,n
587,indica,california grapefruit, relaxed, happy, giggly, tingly, talkative , insomnia, lack of appetite, eye pressure, fatigue, headaches , dry mouth, dizzy, dry eyes, paranoid ,, 1. grapefruit, 2. citrus, 3. lime ,13.0,afghani,northern lights,skunk no 1,n,n,n,n
589,indica,california hash plant, hungry, talkative, happy, uplifted, relaxed , stress, inflammation, pain, cramps, lack of appetite , anxious, dry mouth, dry eyes, paranoid ,, 1. citrus, 2. earthy, 3. lemon ,9.0,hash plant,n,n,n,n,n,n
591,sativa,california limes, energetic, euphoric, focused, giggly, creative , depression ,,,,,,,,,, 1. grape, 2. lime, 3. orange ,2.0,n,n,n,n,n,n,n
593,hybrid,california love og, happy, energetic, euphoric, focused, relaxed , depression, fatigue, headaches, nausea, stress , dry mouth, dizzy, dry eyes ,,, 1. citrus, 2. chestnut, 3. pine ,7.0,pie face og,n,n,n,n,n,n
595,hybrid,california orange, happy, euphoric, relaxed, uplifted, energetic , depression, stress, pain, fatigue, insomnia , dry mouth, dizzy, dry eyes, anxious, paranoid , 1. citrus, 2. orange, 3. sweet ,331.0,n,n,n,n,n,n,n
597,hybrid,california sour, euphoric, energetic, happy, focused, giggly , depression, stress, insomnia, lack of appetite, muscle spasms , dry mouth, anxious, dry eyes, paranoid ,, 1. diesel, 2. pungent, 3. flowery ,,mexican,afghani,n,n,n,n,n
599,hybrid,california sour diesel, creative, energetic, euphoric, focused, relaxed , depression, fatigue, inflammation, lack of appetite, stress ,,,,,, 1. diesel, 2. pepper, 3. tar ,2.0,headband,n,n,n,n,n,n
600,hybrid,calyx og,,,,,,,,,,,,,,,,,,,,platinum calyx,true og,n,n,n,n,n
601,sativa,cambodian, relaxed, focused, sleepy, creative, energetic , eye pressure, fatigue ,,,, dry mouth, dry eyes, anxious, paranoid ,, 1. earthy, 2. tar, 3. woody ,13.0,n,n,n,n,n,n,n
602,sativa,cambodian haze, euphoric, happy, focused, uplifted, talkative , depression, stress, eye pressure, fatigue, headaches , dry mouth, dry eyes ,,,, 1. citrus, 2. sweet, 3. earthy ,8.0,cambodian,purple haze,n,n,n,n,n
603,hybrid,candy apple, focused, uplifted, energetic, happy, hungry , depression, fatigue, pain, headaches, insomnia , dizzy, anxious, dry mouth ,,, 1. apple, 2. pineapple, 3. citrus ,7.0,blueberry,pineapple,afghan kush,n,n,n,n
604,indica,candy cane, happy, relaxed, euphoric, sleepy, tingly , insomnia, headaches, pain, lack of appetite, inflammation , dry mouth, dry eyes, dizzy, paranoid, anxious , 1. sweet, 2. berry, 3. pine ,48.0,ak-47,white widow,mango,n,n,n,n
605,sativa,candy jack, energetic, uplifted, happy, creative, euphoric , depression, fatigue, stress, pain, eye pressure , dry mouth, dry eyes, paranoid, anxious, dizzy , 1. sweet, 2. pine, 3. citrus ,246.0,jack herer,skunk 1,n,n,n,n,n
606,sativa,candyland, happy, uplifted, energetic, relaxed, euphoric , stress, depression, pain, fatigue, headaches , dry mouth, dry eyes, anxious, paranoid, dizzy , 1. sweet, 2. earthy, 3. pungent ,954.0,granddaddy purple,platinum gsc,n,n,n,n,n
607,sativa,candyland, happy, uplifted, energetic, relaxed, euphoric , stress, depression, pain, fatigue, headaches , dry mouth, dry eyes, anxious, paranoid, dizzy , 1. sweet, 2. earthy, 3. pungent ,,granddaddy purple,platinum gsc,n,n,n,n,n
608,indica,cannasutra, relaxed, happy, euphoric, aroused, hungry , pain, stress, inflammation, insomnia, depression , dry mouth ,,,,, 1. flowery, 2. pepper, 3. skunk ,11.0,sensi star,n,n,n,n,n,n
609,hybrid,cannadential, euphoric, happy, uplifted, energetic, relaxed , pain, stress, depression, insomnia, nausea , dry mouth, dry eyes, headache, dizzy, paranoid , 1. woody, 2. sweet, 3. berry ,56.0,cannalope haze,la confidential,n,n,n,n,n
610,sativa,cannalope haze, uplifted, happy, creative, relaxed, euphoric , stress, depression, pain, inflammation, fatigue , paranoid, anxious, dry eyes, dry mouth, headache , 1. citrus, 2. mango, 3. tropical ,226.0,mexican,haze,n,n,n,n,n
611,hybrid,cannalope kush, happy, energetic, focused, uplifted, relaxed , stress, depression, pain, fatigue, headaches , dry eyes, anxious, dry mouth, paranoid, dizzy , 1. woody, 2. sweet, 3. earthy ,140.0,cannalope haze,og 18,n,n,n,n,n
612,hybrid,cannatonic, relaxed, happy, uplifted, focused, energetic , stress, pain, depression, inflammation, headaches , dry mouth, dry eyes, headache, anxious, paranoid , 1. earthy, 2. citrus, 3. woody ,786.0,mk ultra,g13 haze,n,n,n,n,n
613,indica,capers, relaxed, uplifted, happy, hungry, sleepy , headaches, depression, muscle spasms, pain, insomnia , dry mouth ,,,,, 1. pine, 2. pungent, 3. earthy ,,burmese kush,n,n,n,n,n,n
614,hybrid,capleton, happy, giggly, euphoric, relaxed, aroused , eye pressure, pain, stress, depression, fatigue , dry mouth, dry eyes ,,,, 1. lavender, 2. skunk, 3. chemical ,4.0,white widow,n,n,n,n,n,n
615,hybrid,captain america og, relaxed, euphoric, uplifted, happy, focused , depression, stress, nausea, pain, eye pressure , dry mouth, anxious, dry eyes, paranoid ,, 1. citrus, 2. earthy, 3. sweet ,22.0,n,n,n,n,n,n,n
616,hybrid,captains cake, happy, relaxed, euphoric, focused, uplifted , depression, pain, stress, insomnia, inflammation , dry mouth, headache, dry eyes ,,, 1. earthy, 2. sweet, 3. citrus ,72.0,girl scout cookies,white fire alien og,n,n,n,n,n
617,hybrid,caramel cake, euphoric, happy, relaxed, sleepy, uplifted ,,,,,,,,,,,,,,,n,n,n,n,n,n,n
618,hybrid,caramel candy kush, relaxed, happy, creative, hungry, sleepy , pain, insomnia, lack of appetite, stress, headaches , dizzy, paranoid, dry mouth, dry eyes, anxious , 1. flowery, 2. skunk, 3. earthy ,65.0,pre-98 bubba kush,ms universe,n,n,n,n,n
619,hybrid,caramel kona coffee cookies, aroused, creative, energetic, euphoric, focused ,,,,,, dry eyes, dry mouth ,,,,,,,2.0,caramel kona coffee kush,gsc,n,n,n,n,n
620,indica,caramel kona coffee kush, relaxed, sleepy, uplifted, euphoric, giggly , eye pressure, stress, pain, depression, inflammation , dry mouth, dry eyes, dizzy ,,, 1. coffee, 2. earthy, 3. vanilla ,8.0,kona gold,n,n,n,n,n,n
621,hybrid,caramelicious, relaxed, happy, euphoric, uplifted, focused , depression, stress, pain, nausea, insomnia , dry mouth, dry eyes, dizzy, headache, paranoid , 1. sweet, 2. vanilla, 3. honey ,72.0,maple leaf indica,afghan kush,n,n,n,n,n
622,indica,caramella, euphoric, sleepy, aroused, relaxed, giggly , insomnia, pain, depression, stress, eye pressure , dry eyes, dizzy ,,,, 1. apple, 2. skunk, 3. earthy ,7.0,n,n,n,n,n,n,n
623,sativa,caramelo, happy, relaxed, uplifted, energetic, euphoric , depression, stress, lack of appetite, insomnia, headaches , dry mouth, dry eyes, paranoid, dizzy ,, 1. woody, 2. flowery, 3. earthy ,26.0,lavender,n,n,n,n,n,n
624,hybrid,carl sagan, creative, euphoric, happy, relaxed, focused , stress, depression, fatigue, muscle spasms, pain , dry mouth, dizzy, dry eyes ,,, 1. sweet, 2. chemical, 3. tropical ,28.0,pre-98 bubba kush,blue moon rocks,n,n,n,n,n
625,hybrid,carmel cough, energetic, euphoric, focused, creative ,, pain, stress, depression, seizures ,, dry mouth ,,,,, 1. berry, 2. sweet, 3. pungent ,1.0,the cough,ms universe,n,n,n,n,n
626,indica,casper og, relaxed, euphoric, creative, sleepy, focused , stress, depression, pain, insomnia, headaches , dry eyes, dry mouth, paranoid ,,, 1. earthy, 2. woody, 3. flowery ,13.0,face off og,ghost og,n,n,n,n,n
627,sativa,cat piss, talkative, energetic, uplifted, happy, relaxed , stress, pain, depression, fatigue, lack of appetite , dry mouth, dry eyes, anxious, paranoid, headache , 1. pungent, 2. ammonia, 3. woody ,294.0,super silver haze,n,n,n,n,n,n
628,hybrid,cataract kush, relaxed, sleepy, energetic, euphoric, happy , stress, pain, insomnia, depression, nausea , dry mouth, dry eyes, dizzy, paranoid, anxious , 1. pungent, 2. sweet, 3. spicy/herbal ,172.0,n,n,n,n,n,n,n
629,sativa,catfish, uplifted, energetic, euphoric, happy, focused , stress, pain, depression, fatigue, eye pressure , dry eyes, dry mouth, paranoid, anxious ,, 1. lemon, 2. woody, 3. tobacco ,25.0,n,n,n,n,n,n,n
630,hybrid,cello sweet og, relaxed, sleepy, creative, euphoric, focused , fatigue ,,,,, dizzy ,,,,, 1. sweet, 2. honey, 3. pineapple ,,flo,n,n,n,n,n,n
631,sativa,central american, euphoric, hungry, uplifted, energetic, tingly , depression, eye pressure, lack of appetite, headaches, pain , dry mouth, anxious, paranoid, dizzy, dry eyes , 1. earthy, 2. grape, 3. mango ,,n,n,n,n,n,n,n
633,sativa,cerebro haze, happy, relaxed, uplifted, creative, energetic , depression, lack of appetite, stress ,,, dry eyes ,,,,, 1. citrus, 2. diesel, 3. lemon ,5.0,n,n,n,n,n,n,n
635,hybrid,chairman chem sou, energetic, happy, uplifted, creative, euphoric , depression, pain, stress, insomnia, muscle spasms , dry mouth, dizzy, dry eyes ,,, 1. chemical, 2. citrus, 3. diesel ,5.0,chemdawg,sour og,n,n,n,n,n
637,hybrid,champagne diesel, euphoric, uplifted, creative, happy, relaxed , stress, depression, inflammation ,,, dry mouth ,,,,, 1. sweet ,,,4.0,sour diesel,champagne kush,n,n,n,n,n
639,hybrid,champagne kush, relaxed, uplifted, happy, energetic, euphoric , depression, pain, stress, muscle spasms, eye pressure , dry mouth, dry eyes, dizzy, anxious, headache , 1. lavender, 2. skunk, 3. earthy ,163.0,hash plant,burmese kush,n,n,n,n,n
641,hybrid,charlie sheen, happy, relaxed, uplifted, euphoric, sleepy , stress, pain, depression, insomnia, eye pressure , dry mouth, headache, dry eyes, paranoid, dizzy , 1. lemon, 2. earthy, 3. citrus ,160.0,og kush,green crack,blue dream,n,n,n,n
643,sativa,charlottes web, relaxed, happy, uplifted, focused, energetic , stress, pain, depression, inflammation, muscle spasms , dry mouth, dry eyes, headache, dizzy, paranoid , 1. earthy, 2. woody, 3. flowery ,252.0,n,n,n,n,n,n,n
645,hybrid,cheese, relaxed, happy, euphoric, uplifted, hungry , pain, stress, depression, insomnia, lack of appetite , dry mouth, dry eyes, dizzy, paranoid, headache , 1. cheese, 2. pungent, 3. earthy ,1499.0,skunk 1,n,n,n,n,n,n
647,hybrid,cheese candy, happy, euphoric, relaxed, uplifted, creative , stress, lack of appetite, pain, depression, insomnia , dizzy, dry mouth, dry eyes, anxious, paranoid , 1. cheese, 2. sweet, 3. berry ,61.0,cheese,caramelo,n,n,n,n,n
648,hybrid,cheese candy, happy, euphoric, relaxed, uplifted, creative , stress, lack of appetite, pain, depression, insomnia , dizzy, dry mouth, dry eyes, anxious, paranoid , 1. cheese, 2. sweet, 3. berry ,,cheese,caramelo,n,n,n,n,n
649,hybrid,cheeseburger, tingly, uplifted, relaxed, aroused, creative , pain, inflammation, depression, eye pressure, headaches , dry mouth, anxious, dizzy, dry eyes ,, 1. cheese, 2. earthy, 3. coffee ,10.0,n,n,n,n,n,n,n
650,hybrid,cheesewreck, euphoric, energetic, tingly, talkative, focused , depression, fatigue, pain, stress, insomnia , dizzy, dry mouth, paranoid, dry eyes, anxious , 1. cheese, 2. blue cheese, 3. pungent ,65.0,cheese,trainwreck,n,n,n,n,n
651,indica,chef kush, sleepy, creative, giggly, happy, relaxed , depression, lack of appetite, pain, stress ,,,,,,, 1. pineapple, 2. apple, 3. blue cheese ,2.0,n,n,n,n,n,n,n
652,hybrid,chem berry diesel, happy, relaxed, uplifted ,,,,,,,, dry mouth ,,,,, 1. citrus, 2. strawberry ,,1.0,n,n,n,n,n,n,n
653,hybrid,chem beyond diesel cbd, giggly, happy, hungry ,,,,,,,, dry eyes, dry mouth ,,,,,,,,chemdawg,n,n,n,n,n,n
654,hybrid,chem crush, energetic, happy, talkative, creative, focused , depression, fatigue, stress, lack of appetite, pain , dry mouth ,,,,, 1. pungent, 2. earthy, 3. sweet ,,orange crush,n,n,n,n,n,n
655,indica,chem dog, relaxed, sleepy, happy, euphoric, hungry , insomnia, pain, stress, depression, lack of appetite , dry mouth, dizzy, paranoid, headache, dry eyes , 1. earthy, 2. diesel, 3. citrus ,27.0,chemdawg,og kush,n,n,n,n,n
656,hybrid,chem jack, creative, happy, talkative, uplifted, aroused , fatigue, depression, inflammation, insomnia, muscle spasms , dry eyes, dry mouth ,,,, 1. earthy, 2. flowery, 3. pine ,3.0,chemdawg,jack herer,n,n,n,n,n
657,hybrid,chem jong ill, uplifted, creative, energetic, euphoric, happy ,,,,,, dry mouth ,,,,,,,,3.0,chemdawg 4,n,n,n,n,n,n
658,hybrid,chem kesey,,,,,,,,,,,,,,,,,,,,n,n,n,n,n,n,n
659,indica,chem scout, relaxed, focused, sleepy, tingly, hungry , stress, depression, lack of appetite, pain, insomnia , dry mouth, dry eyes, dizzy, headache, paranoid , 1. earthy, 2. skunk, 3. sweet ,49.0,chemdawg 91,girl scout cookies,n,n,n,n,n
660,hybrid,chem valley kush, happy, uplifted, energetic, talkative, hungry , stress, pain, depression, lack of appetite, insomnia , anxious, dry mouth, dry eyes, dizzy, paranoid , 1. earthy, 2. woody, 3. pine ,85.0,chemdawg,sfv og kush,n,n,n,n,n
661,sativa,chems sister, creative, happy, euphoric, focused, relaxed , depression, lack of appetite, stress, pain, fatigue , anxious, dry mouth, paranoid, dry eyes, dizzy , 1. chemical, 2. diesel, 3. citrus ,18.0,chemdawg,n,n,n,n,n,n
662,hybrid,chemwreck, happy, relaxed, euphoric, talkative, focused , stress, depression, insomnia, fatigue, lack of appetite , dry mouth, anxious, paranoid, dizzy, dry eyes , 1. chemical, 2. pungent, 3. earthy ,25.0,chemdawg,trainwreck,n,n,n,n,n
663,hybrid,chemdawg sour diesel, euphoric, relaxed, sleepy, happy, hungry , stress, insomnia, pain, depression, fatigue , dry mouth, dry eyes, dizzy, anxious, paranoid , 1. earthy, 2. diesel, 3. chemical ,99.0,chemdawg,sour diesel,n,n,n,n,n
664,hybrid,chemmy jones, happy, energetic, focused, creative, uplifted , depression, pain, stress, eye pressure, insomnia , dry mouth, dizzy, dry eyes, anxious, paranoid , 1. lavender, 2. diesel, 3. apple ,86.0,chemdawg,casey jones,n,n,n,n,n
665,hybrid,chemnesia, euphoric, energetic, focused, happy, relaxed , depression, stress, fatigue, inflammation, pain , dry mouth ,,,,, 1. grapefruit, 2. pungent, 3. citrus ,9.0,n,n,n,n,n,n,n
666,indica,chemo, relaxed, hungry, sleepy, euphoric, tingly , stress, pain, headaches, muscle spasms, lack of appetite , dry mouth, dry eyes, dizzy, paranoid, headache , 1. tropical, 2. sweet, 3. citrus ,231.0,n,n,n,n,n,n,n
667,hybrid,cherwillie, energetic, happy, focused, euphoric, talkative , headaches, stress, depression, pain ,,,,,,, 1. citrus, 2. sweet, 3. earthy ,3.0,chernobyl,white widow,n,n,n,n,n
668,hybrid,chernobyl, uplifted, happy, relaxed, euphoric, energetic , stress, depression, pain, nausea, fatigue , dry mouth, dry eyes, anxious, dizzy, paranoid , 1. lime, 2. citrus, 3. lemon ,761.0,trainwreck,trinity,jack the ripper,n,n,n,n
669,indica,cherries jubilee, relaxed, focused, euphoric, uplifted, happy , depression, insomnia, stress, pain, nausea , dry mouth ,,,,, 1. tree fruit, 2. berry, 3. sweet ,17.0,n,n,n,n,n,n,n
670,hybrid,cherry bomb, relaxed, uplifted, energetic, euphoric, focused , pain, stress, depression, fatigue, nausea , anxious, dry mouth, dry eyes, paranoid, headache , 1. earthy, 2. flowery, 3. tropical ,171.0,north american indica,hawaiian,n,n,n,n,n
671,hybrid,cherry cookies, happy, focused, uplifted, euphoric, relaxed , depression, pain, stress, muscle spasms, headaches , dry mouth, dizzy, dry eyes ,,, 1. flowery, 2. berry, 3. earthy ,42.0,cherry pie,girl scout cookies,n,n,n,n,n
672,hybrid,cherry cream pie, relaxed, happy, uplifted, euphoric, sleepy , pain, lack of appetite, depression, headaches, insomnia , dizzy, dry eyes, dry mouth ,,, 1. earthy, 2. pine, 3. sweet ,30.0,cherry pie,cookies and cream,n,n,n,n,n
673,hybrid,cherry diesel, euphoric, relaxed, happy, uplifted, aroused , depression, stress, pain, lack of appetite, nausea , dry mouth, dry eyes, anxious, paranoid, headache , 1. diesel, 2. berry, 3. sweet ,149.0,cherry kush,n,n,n,n,n,n
674,hybrid,cherry durban poison, euphoric, creative, happy, energetic, aroused , depression, fatigue, pain, headaches, stress , dry eyes, dry mouth, dizzy, anxious, headache , 1. sweet, 2. berry, 3. citrus ,19.0,durban poison,n,n,n,n,n,n
675,hybrid,cherry fire, creative, euphoric, happy, hungry, relaxed , depression, lack of appetite, muscle spasms, pain, stress , dry mouth, paranoid ,,,, 1. citrus, 2. flowery, 3. strawberry ,3.0,cherry pie,fire og,n,n,n,n,n
676,hybrid,cherry fuel, happy, relaxed ,,,,,,,,,,,,,, 1. citrus ,,,1.0,buddhas sister,n,n,n,n,n,n
677,hybrid,cherry grapefruit, creative, happy, focused, relaxed, uplifted , lack of appetite, stress, cramps, depression, fatigue , dry mouth ,,,,, 1. apple, 2. apricot, 3. earthy ,4.0,cherry kush,grapefruit,n,n,n,n,n
678,indica,cherry kola, relaxed, sleepy, euphoric, happy, talkative , stress, depression, insomnia, pain, lack of appetite , dry mouth, dry eyes, dizzy, paranoid, anxious , 1. earthy, 2. berry, 3. tree fruit ,60.0,afghani,n,n,n,n,n,n
679,hybrid,cherry kush, relaxed, happy, focused, sleepy, uplifted , stress, depression, insomnia, fatigue, pain , dry mouth, dizzy, paranoid, anxious, dry eyes , 1. sweet, 2. berry, 3. earthy ,330.0,purple afghani,og kush,n,n,n,n,n
680,hybrid,cherry limeade, relaxed, focused, hungry, happy, creative , lack of appetite, nausea, depression, fatigue, seizures , dry mouth, dry eyes, headache ,,, 1. lime, 2. berry, 3. sweet ,44.0,n,n,n,n,n,n,n
681,indica,cherry mender, relaxed, aroused, focused, euphoric, happy , cramps, depression, nausea, pain, fatigue , dry eyes, dry mouth ,,,, 1. sweet, 2. earthy, 3. tea ,4.0,remedy,sour bubble,n,n,n,n,n
682,hybrid,cherry og, relaxed, euphoric, happy, focused, uplifted , stress, inflammation, pain, depression, lack of appetite , dry mouth, paranoid, headache, dry eyes, anxious , 1. earthy, 2. berry, 3. sweet ,142.0,thai,afghani,lost coast og,n,n,n,n
684,hybrid,cherry pie, relaxed, happy, euphoric, uplifted, giggly , stress, depression, pain, insomnia, lack of appetite , dry mouth, dry eyes, dizzy, anxious, paranoid , 1. sweet, 2. berry, 3. earthy ,1734.0,granddaddy purple,durban poison,n,n,n,n,n
686,hybrid,cherry pie kush, happy, euphoric, uplifted, talkative, energetic , stress, depression, pain, insomnia, lack of appetite , dry mouth, paranoid, anxious, dizzy, dry eyes , 1. sweet, 2. earthy, 3. pungent ,19.0,durban poison,granddaddy purple,sfv og,n,n,n,n
688,hybrid,cherry sauce, energetic, talkative, tingly, uplifted, creative , headaches, stress ,,,, dry eyes, dry mouth ,,,, 1. spicy/herbal, 2. sweet, 3. citrus ,2.0,cherry pie,the sauce,n,n,n,n,n
690,hybrid,cherry sherbet, relaxed, happy, tingly, giggly, euphoric , stress, pain, depression, fatigue, nausea , dry eyes, dizzy, dry mouth, paranoid, anxious , 1. sweet, 2. berry, 3. flowery ,32.0,cherry pie,n,n,n,n,n,n
692,hybrid,cherry skunk, happy, relaxed, euphoric, creative, uplifted , pain, stress, depression, fatigue, headaches , dry mouth, dry eyes, dizzy, anxious, paranoid , 1. sweet, 2. berry, 3. earthy ,70.0,skunk dawg,n,n,n,n,n,n
694,hybrid,cherry slyder, focused, happy, relaxed, uplifted, euphoric , pain ,,,,, dry mouth ,,,,, 1. sweet, 2. berry, 3. flowery ,,northern lights 5,afghani,n,n,n,n,n
696,hybrid,cherry thunder fuck, happy, euphoric, uplifted, relaxed, talkative , pain, stress, depression, muscle spasms, headaches , dry mouth, dry eyes, paranoid ,,, 1. woody, 2. pungent, 3. sweet ,33.0,cherry bomb,maple leaf indica,matanuska thunder fuck,n,n,n,n
698,hybrid,cherry vanilla cookies, creative, euphoric, focused, happy, hungry , depression, headaches, insomnia, lack of appetite, muscle spasms , dry mouth ,,,,, 1. sweet, 2. earthy, 3. pine ,4.0,platinum gsc,ms universe,n,n,n,n,n
699,hybrid,cherry wine, relaxed, euphoric, focused, happy, uplifted , pain, stress, depression, nausea, inflammation , dry eyes, dry mouth ,,,, 1. woody, 2. berry, 3. flowery ,10.0,the wife,n,n,n,n,n,n
700,hybrid,chicle, euphoric, hungry, energetic, aroused, focused ,,,,,,,,,,, 1. diesel, 2. sweet, 3. ammonia ,4.0,bubble gum,chemdawg,n,n,n,n,n
701,hybrid,chiesel, uplifted, focused, euphoric, relaxed, creative , stress, depression, pain, fatigue, nausea , dry mouth, dry eyes, paranoid, dizzy, anxious , 1. cheese, 2. diesel, 3. earthy ,220.0,big buddha cheese,nyc diesel,n,n,n,n,n
702,indica,china yunnan, relaxed, sleepy, hungry, uplifted, happy , stress, depression, lack of appetite, fatigue, headaches , dry mouth, dry eyes, headache ,,, 1. sweet, 2. earthy, 3. cheese ,9.0,n,n,n,n,n,n,n
703,hybrid,chiquita banana, relaxed, happy, sleepy, euphoric, uplifted , pain, insomnia, stress, lack of appetite, headaches , dry mouth, dry eyes, paranoid ,,, 1. tropical, 2. sweet, 3. tree fruit ,40.0,og kush,n,n,n,n,n,n
704,hybrid,chloe, euphoric, creative, uplifted, energetic, happy , depression, insomnia, pain, stress, inflammation , dry eyes, dizzy ,,,, 1. earthy, 2. pepper, 3. citrus ,34.0,n,n,n,n,n,n,n
705,hybrid,chocoholic, relaxed, sleepy, uplifted, happy, talkative ,,,,,, dry eyes, dry mouth ,,,, 1. vanilla ,,,,n,n,n,n,n,n,n
706,hybrid,chocolate cheesecake, relaxed, uplifted ,,,,,,,,,,,,,, 1. butter, 2. cheese, 3. flowery ,2.0,n,n,n,n,n,n,n
707,indica,chocolate chunk, sleepy, relaxed, euphoric, happy, uplifted , pain, stress, insomnia, headaches, muscle spasms , dry mouth, dry eyes, dizzy, paranoid, anxious , 1. coffee, 2. earthy, 3. butter ,193.0,afghani,n,n,n,n,n,n
708,sativa,chocolate diesel, happy, energetic, uplifted, euphoric, creative , stress, fatigue, pain, inflammation, depression , dizzy, dry mouth, anxious, dry eyes, paranoid , 1. diesel, 2. earthy, 3. flowery ,55.0,sour diesel,chocolate thai,n,n,n,n,n
709,hybrid,chocolate drop, euphoric, giggly, happy, relaxed, uplifted , depression, stress, insomnia ,,,,,,,, 1. earthy, 2. vanilla ,,2.0,chocolate kush,lowryder,n,n,n,n,n
710,sativa,chocolate fondue, uplifted, relaxed, sleepy, happy, euphoric , seizures, stress, depression, headaches, lack of appetite , dry mouth, paranoid, anxious, dry eyes, dizzy , 1. sweet, 2. coffee, 3. cheese ,48.0,exodus cheese,chocolope,n,n,n,n,n
711,indica,chocolate glue, focused, happy, relaxed, uplifted, euphoric , stress, depression, fatigue, insomnia, pain ,,,,,, 1. diesel, 2. flowery, 3. pungent ,10.0,n,n,n,n,n,n,n
712,hybrid,chocolate hashberry, relaxed, happy, hungry, sleepy, creative , stress, lack of appetite, pain, inflammation, muscle spasms , dry mouth, headache, dry eyes, paranoid, anxious , 1. berry, 2. earthy, 3. flowery ,98.0,chocolate kush,blackberry kush,n,n,n,n,n
713,indica,chocolate kush, relaxed, euphoric, hungry, happy, uplifted , stress, lack of appetite, muscle spasms, fatigue, nausea , dry mouth, dizzy, headache, dry eyes, anxious , 1. earthy, 2. woody, 3. diesel ,72.0,mazar i sharif,n,n,n,n,n,n
714,hybrid,chocolate lava, energetic, focused, happy, talkative ,, cramps, depression, headaches, stress ,,,,,,, 1. earthy ,,,1.0,chocolate kush,hellfire og,n,n,n,n,n
715,indica,chocolate meringue,,,,,,,,,,,,,,,,,,,,chocolate kush,n,n,n,n,n,n
