,strain,negative_1,negative_2,negative_3,negative_4,negative_5
939,emerald og, dry mouth, anxious, dry eyes, headache ,
940,emperor cookie dough, dry mouth, dizzy, dry eyes, anxious, headache 
941,endless sky, dry mouth ,,,,
942,enemy of the state, dry mouth, paranoid, dry eyes, anxious, dizzy 
943,enigma, dry mouth, dry eyes ,,,
944,eran almog, dry mouth, paranoid, headache, dry eyes, dizzy 
945,erez, dry mouth, dry eyes, dizzy ,,
946,ether, dry mouth ,,,,
947,ethiopian, dry mouth ,,,,
948,ethos hash plant bx1, anxious ,,,,
949,euphoria, dry mouth, dry eyes, headache, dizzy, anxious 
950,eugene cream, dry mouth, anxious ,,,
951,euphoria cookies, dry mouth ,,,,
952,erez, dry mouth, dry eyes, dizzy ,,
953,ether, dry mouth ,,,,
954,ethiopian, dry mouth ,,,,
955,ethos hash plant bx1, anxious ,,,,
956,euphoria, dry mouth, dry eyes, headache, dizzy, anxious 
957,eugene cream, dry mouth, anxious ,,,
958,euphoria cookies, dry mouth ,,,,
959,everlast, dry mouth ,,,,
960,exodus cheese, anxious, dry mouth, dry eyes, dizzy, paranoid 
961,extreme cream, dry mouth, dry eyes, paranoid, anxious, dizzy 
962,extreme og, dry eyes, dizzy, dry mouth ,,
963,fn louzer, anxious, dizzy, dry eyes, dry mouth, headache 
964,fpog, dry mouth, dry eyes, dizzy, anxious, paranoid 
965,face off og, dry mouth, paranoid, dry eyes, anxious, headache 
966,face on fire, dizzy, dry eyes, dry mouth ,,
967,fallen angel, dry mouth, dry eyes, anxious, paranoid ,
968,false teeth, dizzy, dry mouth, anxious, paranoid ,
969,fast eddy, dry eyes, paranoid, dry mouth, anxious, dizzy 
970,fat nelson, dry eyes, dry mouth ,,,
971,fat purple, dry mouth, dry eyes, dizzy ,,
972,fauxsido, dry mouth ,,,,
973,faygo red pop, dry mouth, anxious, dry eyes, headache ,
974,fire alien kush, dry eyes, dry mouth, anxious, paranoid ,
975,fire alien strawberry, dry mouth, anxious, paranoid ,,
976,fire haze, dry mouth, dry eyes, paranoid, dizzy, anxious 
977,fire og, dry mouth, dry eyes, dizzy, anxious, paranoid 
978,firewalker og, dry mouth, dry eyes, headache, anxious, dizzy 
979,first 48, paranoid, dry mouth, anxious, headache, dizzy 
980,first light, anxious ,,,,
981,flaming cookies, dry mouth, dizzy, dry eyes, paranoid, anxious 
982,flo, dry mouth, dry eyes, anxious, paranoid, headache 
983,flo limone, dry eyes, dry mouth, dizzy ,,
984,flo og, dry eyes, dry mouth, paranoid, headache, dizzy 
985,flo walker, dry mouth, paranoid ,,,
986,flowerbomb kush, dry eyes, dry mouth, dizzy, anxious, paranoid 
987,forbidden fruit, dry mouth, dry eyes, dizzy, headache, paranoid 
988,formula one, dry eyes, dry mouth ,,,
989,fortune cookies, dry mouth, dry eyes, paranoid, dizzy, anxious 
990,forum cut cookies s1, dry eyes, dry mouth, headache ,,
991,foul mouth, dry mouth ,,,,
992,forbidden fruit, dry mouth, dry eyes, dizzy, headache, paranoid 
993,formula one, dry eyes, dry mouth ,,,
994,fortune cookies, dry mouth, dry eyes, paranoid, dizzy, anxious 
995,forum cut cookies s1, dry eyes, dry mouth, headache ,,
996,foul mouth, dry mouth ,,,,
997,four cups, dry mouth ,,,,
998,four way, dizzy, paranoid ,,,
999,franks gift, dry mouth, dry eyes, headache, anxious, dizzy 
1000,frankenstein, dry mouth, anxious, dry eyes, headache ,
1001,fred flipn stoned, dizzy, dry mouth ,,,
1002,freezeland, dry mouth, dry eyes, paranoid, anxious, dizzy 
1003,french bread, dry eyes, headache ,,,
1004,frida, anxious, dry eyes ,,,
1005,frisian dew, dry mouth, dry eyes, dizzy, anxious, paranoid 
1006,frisian duck, dry eyes, headache, dry mouth, dizzy ,
1007,frostbite, dry mouth, dry eyes, dizzy, headache ,
1008,frosted freak, dry eyes, dry mouth ,,,
1009,frosty, dry mouth, paranoid, anxious, dry eyes, dizzy 
1010,fruit crusher, dry eyes, dry mouth, headache ,,
1011,fruit loops, dry mouth, dizzy, dry eyes, anxious, headache 
1012,fruit punch, dry mouth, anxious, dry eyes, paranoid, dizzy 
1013,fruit spirit, paranoid, anxious, headache, dizzy, dry mouth 
1014,fruity chronic juice, dry eyes, dry mouth, anxious, dizzy, headache 
1015,fruity widow, dry eyes, dry mouth ,,,
1016,fruitylicious, dizzy, dry mouth ,,,
1017,fucking incredible, anxious, headache, dry mouth, dizzy, dry eyes 
1018,full moon, dry eyes, dry mouth, dizzy, anxious, paranoid 
1019,funfetti, dry mouth, dizzy, dry eyes, paranoid ,
1020,funky monkey, dry mouth, dry eyes, headache, dizzy, paranoid 
1021,future, dry mouth, anxious, dry eyes, dizzy, paranoid 
1022,g force, dry eyes, dry mouth, anxious ,,
1023,g 13, dry mouth, dry eyes, dizzy, paranoid, headache 
1024,g13 diesel, dry mouth, dizzy, dry eyes, headache ,
1025,g13 haze, dry eyes, dry mouth, paranoid, anxious, dizzy 
1026,g13 widow, dry mouth, headache, anxious, dizzy, dry eyes 
1027,gmo cookies, dry mouth, dizzy, dry eyes, anxious, headache 
1028,griz kush, dry mouth, dry eyes, paranoid, anxious, headache 
1029,gsc, dry mouth, dry eyes, anxious, dizzy, paranoid 
1030,gabriel sherbet, dizzy, dry eyes, dry mouth ,,
1031,galactic jack, dry mouth, dry eyes, anxious, headache, dizzy 
1032,gmo cookies, dry mouth, dizzy, dry eyes, anxious, headache 
1033,griz kush, dry mouth, dry eyes, paranoid, anxious, headache 
1034,gsc, dry mouth, dry eyes, anxious, dizzy, paranoid 
1035,gabriel sherbet, dizzy, dry eyes, dry mouth ,,
1036,galactic jack, dry mouth, dry eyes, anxious, headache, dizzy 
1037,galactica og, dry mouth ,,,,
1038,game changer, dry mouth, paranoid, dry eyes, dizzy, anxious 
1039,gandalf og, dry mouth, dry eyes ,,,
1040,ganesh berry, anxious, dry eyes, dry mouth, headache ,
1041,garlic bud, dry mouth, anxious, dizzy, dry eyes ,
1042,gas mask, dry eyes, dry mouth, dizzy, paranoid ,
1043,gatekeeper og, dry eyes ,,,,
1044,gelato, dry mouth, dry eyes, dizzy, headache, paranoid 
1045,gelato 33, dry mouth, dry eyes, dizzy, anxious, headache 
1046,gemstone, dry mouth ,,,,
1047,georgia pine, dry eyes, dry mouth, dizzy ,,
1048,ghost bubba, dry eyes, dry mouth, anxious, dizzy, headache 
1049,ghost cookies, dry eyes, dizzy, dry mouth, paranoid, anxious 
1050,ghost og, dry mouth, dry eyes, dizzy, headache, paranoid 
1051,ghost og moonshine, dry mouth, dry eyes ,,,
1052,ghost rider og, dry mouth, dizzy ,,,
1053,ghost ship, dry mouth, dry eyes, dizzy, headache, paranoid 
1054,ghost train haze, dry mouth, anxious, dry eyes, paranoid, dizzy 
1055,ghostbreath, anxious, dizzy, dry mouth, paranoid ,
1056,gigabud, dry mouth, dry eyes, paranoid, dizzy, headache 
1057,gilz nilz, dry mouth, paranoid, dry eyes ,,
1058,ginger ale, anxious, dry mouth, headache, paranoid ,
1059,ginger punch, dry eyes ,,,,
1060,glad max, dry mouth, dry eyes, dizzy, paranoid ,
1061,glass apple, dry mouth, paranoid, dry eyes, anxious ,
1062,glass slipper, dry mouth, dry eyes, dizzy, headache, anxious 
1063,glue tech, dry mouth, dry eyes, paranoid ,,
1064,go time, dry mouth ,,,,
1065,goat head, dizzy ,,,,
1066,gobbilygoo, dry mouth, dizzy ,,,
1067,gobbstopper, dry mouth, dry eyes, dizzy, headache ,
1068,god bud, dry mouth, dry eyes, paranoid, dizzy, headache 
1069,gods green crack, dry mouth, anxious, dry eyes, paranoid, headache 
1070,godberry, dry mouth, dizzy, headache, paranoid, dry eyes 
1071,godfather og, dry mouth, dry eyes, anxious, dizzy, paranoid 
1072,godfather purple kush, dizzy, dry eyes, dry mouth, headache, paranoid 
1073,godzilla, dry mouth, dry eyes, anxious, paranoid ,
1074,godzilla glue, dry mouth, dry eyes, paranoid, headache ,
1075,gods bubba, dizzy, dry eyes, dry mouth ,,
1076,gods treat, paranoid, dizzy, dry mouth ,,
1077,godberry, dry mouth, dizzy, headache, paranoid, dry eyes 
1078,godfather og, dry mouth, dry eyes, anxious, dizzy, paranoid 
1079,godfather purple kush, dizzy, dry eyes, dry mouth, headache, paranoid 
1080,godzilla, dry mouth, dry eyes, anxious, paranoid ,
1081,godzilla glue, dry mouth, dry eyes, paranoid, headache ,
1082,gods bubba, dizzy, dry eyes, dry mouth ,,
1083,gods treat, paranoid, dizzy, dry mouth ,,
1084,gog magog, dry mouth, dizzy ,,,
1085,goji diesel, paranoid, dry mouth ,,,
1086,goji og, dry mouth, headache, dizzy, dry eyes, paranoid 
1087,gold kings thai, dry mouth, dry eyes ,,,
1088,goldberry, dry mouth, dry eyes, dizzy, paranoid ,
1089,golden calyx, headache, dry eyes, dry mouth ,,
1090,golden gage, dizzy, dry mouth ,,,
1091,golden goat, dry mouth, dry eyes, paranoid, dizzy, headache 
1092,golden lemon, dry mouth, dry eyes, anxious, dizzy, paranoid 
1093,golden nugget, dry mouth, paranoid, anxious, dry eyes ,
1094,golden panda, dry mouth, dry eyes, paranoid, anxious ,
1095,golden pineapple, dry mouth, dry eyes, anxious, paranoid, dizzy 
1096,golden state banana, dry mouth, headache, dry eyes, paranoid, dizzy 
1097,golden tangie, anxious ,,,,
1098,golden ticket, dry mouth, anxious, dizzy, paranoid, dry eyes 
1099,golden tiger, paranoid, anxious, dizzy, dry eyes, dry mouth 
1100,goldwing, dry mouth, dizzy, dry eyes, headache, paranoid 
1101,goo, dry mouth, dry eyes, dizzy, paranoid, headache 
1102,gooberry, dry mouth, dry eyes, dizzy, headache ,
1103,good medicine, dry mouth, headache, dry eyes, anxious, dizzy 
1104,gorilla biscuit, dry eyes, dizzy, dry mouth ,,
1105,gorilla breath, dizzy, dry mouth, headache ,,
1106,gorilla cookies, dry mouth, dry eyes, dizzy, paranoid, anxious 
1107,gorilla girl, dry eyes, dry mouth, headache, dizzy ,
1108,gorilla grips, dry mouth, dry eyes, anxious, dizzy, headache 
1109,gorilla snacks, dry mouth, dizzy, anxious, dry eyes, paranoid 
1110,gorkle, dry mouth, dry eyes, headache, paranoid ,
1111,government mule, dry mouth ,,,,
1112,grand doggy purps, dry mouth, anxious, dry eyes, paranoid, dizzy 
1113,grand hindu, dry mouth, dizzy, dry eyes, paranoid ,
1114,grand hustle, dry mouth, dry eyes, paranoid, dizzy ,
1115,granddaddy purple, dry mouth, dry eyes, dizzy, anxious, paranoid 
1116,grandmas batch, dry mouth, dry eyes ,,,
1117,grandmas sugar cookies, dry mouth, anxious, dry eyes ,,
1118,grandpa larry og, dry mouth, dizzy, dry eyes, anxious, headache 
1119,grandpas breath, dry eyes, dry mouth, headache ,,
1120,grandpas stash, anxious ,,,,
1121,granola funk, dry eyes, anxious, dry mouth, dizzy, paranoid 
1122,grape ape, dry mouth, dry eyes, dizzy, headache, paranoid 
1123,grape calyx, dry mouth ,,,,
1124,grape cookies, dry mouth, dizzy, dry eyes, paranoid, anxious 
1125,grandpas stash, anxious ,,,,
1126,granola funk, dry eyes, anxious, dry mouth, dizzy, paranoid 
1127,grape ape, dry mouth, dry eyes, dizzy, headache, paranoid 
1128,grape calyx, dry mouth ,,,,
1129,grape cookies, dry mouth, dizzy, dry eyes, paranoid, anxious 
1130,grape dawg, dry mouth, anxious, dizzy, dry eyes ,
1131,grape drink, dry eyes, paranoid ,,,
1132,grape god, dry mouth, dry eyes, dizzy, headache, paranoid 
1133,grape inferno, dry mouth, dry eyes, anxious, dizzy, paranoid 
1134,grape krush, dry mouth, dry eyes, dizzy, headache, paranoid 
1135,grape kush, dry eyes, dry mouth, headache, anxious, paranoid 
1136,grape ox, dry mouth, dizzy, paranoid, headache, anxious 
1137,grape skunk, dry mouth, anxious, paranoid, dry eyes ,
1138,grape soda, dry mouth, dry eyes, paranoid, dizzy, headache 
1139,sour grapes, dry mouth, dry eyes, dizzy, anxious, paranoid 
1140,grape valley kush, dry mouth, anxious, paranoid, dizzy, dry eyes 
1141,grapefruit, dry mouth, dry eyes, paranoid, anxious, dizzy 
1142,grapefruit diesel, dry mouth, dry eyes, dizzy, headache, anxious 
1143,grapefruit haze, dry mouth, dry eyes, dizzy, paranoid, anxious 
1144,grapefruit kush, dry mouth, dry eyes, anxious, dizzy, paranoid 
1145,gravity, dry mouth, dry eyes, dizzy, headache, paranoid 
1146,grease monkey, dry mouth, dizzy, dry eyes, paranoid, anxious 
1147,white shark, dry mouth, dry eyes, dizzy, anxious, paranoid 
1148,green avenger, dry mouth, headache, anxious, dry eyes ,
1149,green candy, dry mouth, dry eyes, dizzy, paranoid, headache 
1150,green cheese, headache, dry mouth, dizzy, anxious, dry eyes 
1151,green crack, dry mouth, dry eyes, anxious, paranoid, dizzy 
1152,green crack cbd, dry eyes, dry mouth ,,,
1153,green crack extreme, dry eyes, dry mouth, paranoid, dizzy, anxious 
1154,green door kush, dry mouth, dry eyes, anxious ,,
1155,green dragon, dry mouth, dizzy, dry eyes, anxious, paranoid 
1156,green dream, dry mouth, dry eyes, dizzy, paranoid, anxious 
1157,green goblin, dry mouth, dry eyes, dizzy, headache, anxious 
1158,green goddess, dry mouth, dry eyes, anxious, headache, paranoid 
1159,green haze, dry eyes, dry mouth, headache, anxious, paranoid 
1160,green hornet, anxious, dry mouth, dry eyes, paranoid, dizzy 
1161,green kush, dry mouth, dry eyes, paranoid, dizzy, headache 
1162,green lantern, dry mouth, dry eyes, dizzy, paranoid, anxious 
1163,green line og, dry eyes, dry mouth, dizzy ,,
1164,green love potion, dry mouth, dry eyes, headache ,,
1165,green magic, dry eyes, paranoid, anxious, dizzy, dry mouth 
1166,green mango, dry mouth ,,,,
1167,green monster, dry mouth, dry eyes, headache, paranoid, dizzy 
1168,green poison, dry mouth, dry eyes, headache, dizzy, anxious 
1169,green python, dry mouth, dizzy, dry eyes ,,
1170,green queen, dry mouth, dry eyes, dizzy, headache, anxious 
1171,green ribbon, dry eyes, dry mouth, paranoid, dizzy, anxious 
1172,gremlin, dry mouth, dry eyes, paranoid ,,
1173,green magic, dry eyes, paranoid, anxious, dizzy, dry mouth 
1174,green mango, dry mouth ,,,,
1175,green monster, dry mouth, dry eyes, headache, paranoid, dizzy 
1176,green poison, dry mouth, dry eyes, headache, dizzy, anxious 
1177,green python, dry mouth, dizzy, dry eyes ,,
1178,green queen, dry mouth, dry eyes, dizzy, headache, anxious 
1179,green ribbon, dry eyes, dry mouth, paranoid, dizzy, anxious 
1180,gremlin, dry mouth, dry eyes, paranoid ,,
1181,grilled cheese, dizzy, dry eyes, paranoid, dry mouth ,
1182,grimace, dry mouth, dry eyes, dizzy, anxious, paranoid 
1183,grimace og, dry eyes, dry mouth ,,,
1184,guard dawg, dizzy, dry mouth ,,,
1185,guava cake, dizzy, dry eyes, dry mouth ,,
1186,guava chem, dry mouth, dry eyes, paranoid, dizzy, anxious 
1187,guava gelato, dry mouth, dry eyes, paranoid ,,
1188,guava kush, dry mouth, dry eyes, paranoid, headache, anxious 
1189,gucci og, dry mouth, paranoid, dry eyes, anxious ,
1190,guido kush, dry mouth, dry eyes, paranoid ,,
1191,gumbo, dry eyes, dry mouth, dizzy, headache, paranoid 
1192,gummo, dry mouth, dizzy, dry eyes, headache ,
1193,gummy bears, dry mouth, dizzy, dry eyes, paranoid, anxious 
1194,gupta haze, dry mouth, dry eyes ,,,
1195,guptilla, dry mouth, dry eyes, dizzy ,,
1196,gutbuster, anxious, dry eyes, paranoid ,,
1197,hades haze, dry eyes ,,,,
1198,hades og, dry mouth, anxious, paranoid, dizzy ,
1199,haleighs hope, dry mouth, dry eyes ,,,
1200,hammerhead, dry mouth, paranoid, anxious, dry eyes, dizzy 
1201,hannibal nectar, dry mouth, paranoid ,,,
1202,haole, dry eyes, dry mouth, headache, dizzy ,
1203,haoma, dry mouth, dry eyes ,,,
1204,haoma mist, dizzy, dry eyes, dry mouth, headache ,
1205,happy rancher, dry mouth, dry eyes, dizzy ,,
1206,hardcore og, dry mouth, dry eyes, dizzy, anxious, paranoid 
1207,harle tsu, dry mouth, dry eyes, headache, dizzy, anxious 
1208,harlequin, dry mouth, dry eyes, anxious, headache, dizzy 
1209,harlequin gdp, dry mouth, dizzy, anxious, headache, paranoid 
1210,harley storm, dry mouth, paranoid, dry eyes ,,
1211,harley twin, dry mouth ,,,,
1212,harmonia, dry eyes, dizzy, dry mouth ,,
1213,harmony, dry eyes, dry mouth, dizzy, anxious, paranoid 
1214,harry potter, dry mouth, dry eyes, headache ,,
1215,hash plant, dry mouth, dry eyes, dizzy, anxious, headache 
1216,hashbar og, dry mouth, dry eyes ,,,
1217,hashberry, dry mouth, dry eyes, paranoid, anxious, dizzy 
1218,hashplant haze, dry mouth, paranoid, dry eyes, anxious ,
1219,hawaiian, dizzy, dry mouth, dry eyes, paranoid, anxious 
1220,hawaiian cookies, dry mouth, dry eyes, paranoid, dizzy, headache 
1221,hawaiian delight, dry mouth, dry eyes, headache, paranoid, dizzy 
1222,hawaiian diesel, dry mouth, anxious, dry eyes, dizzy ,
1223,hashbar og, dry mouth, dry eyes ,,,
1224,hashberry, dry mouth, dry eyes, paranoid, anxious, dizzy 
1225,hashplant haze, dry mouth, paranoid, dry eyes, anxious ,
1226,hawaiian, dizzy, dry mouth, dry eyes, paranoid, anxious 
1227,hawaiian cookies, dry mouth, dry eyes, paranoid, dizzy, headache 
1228,hawaiian delight, dry mouth, dry eyes, headache, paranoid, dizzy 
1229,hawaiian diesel, dry mouth, anxious, dry eyes, dizzy ,
1230,hawaiian dream, dry mouth, dry eyes, anxious, dizzy, headache 
1231,hawaiian duckfoot, dry eyes, dry mouth, headache ,,
1232,hawaiian fire, dry eyes, dizzy, dry mouth, anxious, headache 
1233,hawaiian haze, dry mouth, dry eyes, dizzy, paranoid, anxious 
1234,hawaiian mayan gold, dry mouth ,,,,
1235,hawaiian punch, dry eyes, dry mouth, anxious, dizzy, headache 
1236,hawaiian purple kush, dry mouth, dry eyes, paranoid, anxious, dizzy 
1237,hawaiian sativa, dry mouth, dizzy, dry eyes, headache, anxious 
1238,hawaiian skunk, dry mouth, dry eyes, paranoid, dizzy, headache 
1239,hawaiian snow, dry mouth, dry eyes, paranoid, dizzy, headache 
1240,hawaiian sunrise, dry mouth, dry eyes, anxious, dizzy, headache 
1241,hawaiian thunder fuck, dry mouth, headache, paranoid ,,
1242,hawaiian trinity, dry mouth ,,,,
1243,hawaii 78, paranoid ,,,,
1244,haze, dry mouth, dry eyes, paranoid, dizzy, headache 
1245,haze berry, dry mouth, headache, dizzy, anxious, paranoid 
1246,haze heaven, dry mouth, anxious, dry eyes, headache ,
1247,haze mist, dry eyes, dry mouth ,,,
1248,haze wreck, dry mouth, dry eyes, dizzy ,,
1249,head cheese, dry mouth, dry eyes, anxious, dizzy, headache 
1250,head trip, dry eyes, dry mouth, paranoid ,,
1251,headband, dry mouth, dry eyes, headache, paranoid, dizzy 
1252,headbanger, dry mouth, dry eyes, anxious, dizzy, headache 
1253,heatwave, dry mouth ,,,,
1254,heaven scent, dry mouth ,,,,
1255,heavenly og, dry mouth ,,,,
1256,heavy duty fruity, dry mouth, dry eyes, dizzy, headache, anxious 
1257,heisenberg kush, dry mouth, anxious, dizzy, dry eyes, headache 
1258,hell raiser og, dry mouth, dry eyes, dizzy, headache, anxious 
1259,hells og, dry mouth, dry eyes, dizzy, anxious, headache 
1260,hellfire og, dizzy, anxious, dry mouth, dry eyes, paranoid 
1261,hemlock, dry eyes, dry mouth, anxious, dizzy, headache 
1262,hempstar, anxious, dry mouth, dry eyes, paranoid, headache 
1263,hercules, dry eyes, paranoid, anxious, dizzy, dry mouth 
1264,herojuana, dry mouth, dry eyes, dizzy, paranoid, headache 
1265,hibiscus sunrise, dry mouth, anxious ,,,
1266,high noon irish cream, paranoid ,,,,
1267,high school sweetheart, dizzy, dry mouth, dry eyes ,,
1268,higher power, dry mouth, dry eyes, paranoid ,,
1269,highwayman, anxious, paranoid, dizzy, headache ,
1270,himalayan blackberry, dry eyes, dry mouth, anxious, paranoid ,
1271,himalayan gold, dry mouth, dry eyes, paranoid, dizzy, headache 
1272,hindu kush, dry mouth, dry eyes, paranoid, dizzy, anxious 
1273,hindu skunk, dry mouth, dry eyes, dizzy, paranoid, headache 
1274,high noon irish cream, paranoid ,,,,
1275,high school sweetheart, dizzy, dry mouth, dry eyes ,,
1276,higher power, dry mouth, dry eyes, paranoid ,,
1277,highwayman, anxious, paranoid, dizzy, headache ,
1278,himalayan blackberry, dry eyes, dry mouth, anxious, paranoid ,
1279,himalayan gold, dry mouth, dry eyes, paranoid, dizzy, headache 
1280,hindu kush, dry mouth, dry eyes, paranoid, dizzy, anxious 
1281,hindu skunk, dry mouth, dry eyes, dizzy, paranoid, headache 
1282,hindu sour, dizzy ,,,,
1283,hippie chicken, dry mouth, dizzy, dry eyes, anxious ,
1284,hippie crippler, dry mouth, dry eyes, dizzy, paranoid, anxious 
1285,hogs breath, dry mouth, dry eyes, paranoid, dizzy, headache 
1286,hollands hope, dry mouth, dry eyes, paranoid, dizzy, headache 
1287,hollyweed, dry eyes, dry mouth, paranoid ,,
1288,hollywood og, dry mouth, dry eyes, anxious, headache, dizzy 
1289,holy ghost, dry mouth, dizzy, dry eyes, headache ,
1290,holy grail kush, dry mouth, dry eyes, paranoid, dizzy, anxious 
1291,honey bananas, dry mouth, dry eyes, anxious, dizzy, paranoid 
1292,honey boo boo, dry eyes, paranoid, dry mouth, anxious, dizzy 
1293,honey lemon cheese, dry eyes, dry mouth ,,,
1294,honey rock, dry mouth, dizzy, anxious ,,
1295,hong kong, dry mouth, dry eyes, paranoid, dizzy, anxious 
1296,horace, dry mouth ,,,,
1297,huckleberries, dry mouth ,,,,
1298,huckleberry, dry eyes, dry mouth, paranoid, dizzy, anxious 
1299,huckleberry cough, dry eyes, dry mouth ,,,
1300,huckleberry diesel, dry eyes, dry mouth ,,,
1301,huckleberry hound, dry eyes, dry mouth ,,,
1302,hulkamania, dry mouth ,,,,
1303,humboldt, dry eyes, dry mouth, dizzy, headache, paranoid 
1304,humboldt dream, dry eyes, dry mouth, dizzy ,,
1305,humboldt headband, dizzy, dry mouth, anxious, dry eyes ,
1306,hurkle, dry mouth, dry eyes, dizzy ,,
1307,hurricane, dry mouth, anxious, dry eyes, dizzy, paranoid 
1308,hustler kush, dry mouth, paranoid, anxious, dizzy, dry eyes 
1309,i 95, dry mouth, dry eyes, paranoid, dizzy, anxious 
1310,iced grapefruit, dry mouth, headache, dry eyes, anxious, dizzy 
1311,ig kush, dry eyes, dry mouth ,,,
1312,ice, dry mouth, dizzy, dry eyes, paranoid, headache 
1313,ice cream, dry mouth, dizzy, paranoid, dry eyes, anxious 
1314,ice cream cake, dry eyes, dry mouth, dizzy, anxious, headache 
1315,ice princess, dry mouth, dry eyes ,,,
1316,ice queen, dry mouth, dry eyes, dizzy, headache, anxious 
1317,ice wreck, dry mouth, dizzy, dry eyes, anxious, paranoid 
1318,ig kush, dry eyes, dry mouth ,,,
1319,ice, dry mouth, dizzy, dry eyes, paranoid, headache 
1320,ice cream, dry mouth, dizzy, paranoid, dry eyes, anxious 
1321,ice cream cake, dry eyes, dry mouth, dizzy, anxious, headache 
1322,ice princess, dry mouth, dry eyes ,,,
1323,ice queen, dry mouth, dry eyes, dizzy, headache, anxious 
1324,ice wreck, dry mouth, dizzy, dry eyes, anxious, paranoid 
1325,iced widow, dry mouth, anxious, dry eyes, paranoid ,
1326,ill og, dry mouth, dry eyes ,,,
1327,illuminati og, dry mouth, dry eyes, dizzy, headache ,
1328,in the pines, dry mouth, dizzy, dry eyes, headache, paranoid 
1329,incredible bulk, dry mouth, dry eyes, dizzy, paranoid, anxious 
1330,incredible hulk, dry mouth, dry eyes, anxious, dizzy, headache 
1331,industrial plant, dry mouth, dry eyes, paranoid, anxious, dizzy 
1332,ingrid, dry eyes, dry mouth, headache, dizzy, paranoid 
1333,intergalactic, dry mouth, anxious, dizzy, dry eyes, paranoid 
1334,inzane in the membrane, dry mouth, dry eyes ,,,
1335,irene kush, dry mouth, dry eyes, paranoid ,,
1336,irish cream, dry mouth, paranoid, headache ,,
1337,iron triangle, dizzy, paranoid, dry mouth, dry eyes ,
1338,island haze, dry mouth ,,,,
1339,island maui haze, anxious, dry mouth, paranoid ,,
1340,island sweet skunk, dry mouth, dry eyes, anxious, dizzy, paranoid 
1341,js famous kush, dry eyes, dry mouth ,,,
1342,j 27, dry mouth, dry eyes, anxious, paranoid, dizzy 
1343,j1, dry mouth, anxious, dry eyes, dizzy, headache 
1344,jr, dry mouth, dry eyes, dizzy, headache, anxious 
1345,jt15, dry mouth, dry eyes ,,,
1346,jack 47, dry eyes, dry mouth ,,,
1347,jack burton, dizzy ,,,,
1348,jack diesel, dry mouth, dizzy, dry eyes, headache, anxious 
1349,jack flash, dry eyes, anxious, dizzy, dry mouth, paranoid 
1350,jack frost, dry mouth, dry eyes, anxious, paranoid, dizzy 
1351,jack haze, dry mouth, dizzy, dry eyes, paranoid, anxious 
1352,jack herer, dry mouth, dry eyes, anxious, paranoid, headache 
1353,jack kush, dry eyes, dry mouth, dizzy, anxious, headache 
1354,jack skellington, dry mouth, anxious, paranoid, dizzy, headache 
1355,jack smack, dry mouth, dry eyes, anxious ,,
1356,jack widow, dry mouth, dry eyes, dizzy, paranoid ,
1357,jack wreck, dry mouth, paranoid, dry eyes, dizzy ,
1358,jack the ripper, dry mouth, dry eyes, anxious, paranoid, dizzy 
1359,jacks cleaner, dry eyes, dry mouth, paranoid, anxious, dizzy 
1360,jacks dream, paranoid, anxious, dry mouth, dizzy, dry eyes 
1361,jackalope, dizzy, dry mouth, dry eyes, paranoid, headache 
1362,jacked up, dry mouth, dizzy, headache, dry eyes, anxious 
1363,jacky girl, anxious, dizzy, dry mouth ,,
1364,jacky white, dry mouth, anxious, dizzy, dry eyes, paranoid 
1365,jacks dragon girl 7, dizzy, dry eyes, headache ,,
1366,jah goo, dry eyes, dry mouth, dizzy, anxious, headache 
1367,jah kush, dry mouth, headache, dry eyes, paranoid, dizzy 
1368,jackalope, dizzy, dry mouth, dry eyes, paranoid, headache 
1369,jacked up, dry mouth, dizzy, headache, dry eyes, anxious 
1370,jacky girl, anxious, dizzy, dry mouth ,,
1371,jacky white, dry mouth, anxious, dizzy, dry eyes, paranoid 
1372,jacks dragon girl 7, dizzy, dry eyes, headache ,,
1373,jah goo, dry eyes, dry mouth, dizzy, anxious, headache 
1374,jah kush, dry mouth, headache, dry eyes, paranoid, dizzy 
1375,jahwaiian, anxious, dizzy, dry eyes, dry mouth, headache 
1376,jamaican, dry eyes, dry mouth, dizzy, headache, anxious 
1377,jamaican dream, anxious, paranoid, dry mouth, dizzy, dry eyes 
1378,jamaican lion, dry mouth, headache, anxious, dizzy, dry eyes 
1379,jamaican pearl, dry mouth, headache, anxious, dry eyes, dizzy 
1380,jamba juice, headache ,,,,
1381,jane doe, dry mouth, dry eyes, dizzy ,,
1382,jasmin, dry eyes ,,,,
1383,jawa pie, dry mouth, dry eyes, paranoid, anxious, dizzy 
1384,jazz, dry mouth, dry eyes, anxious, dizzy, headache 
1385,jean guy, dry eyes, dry mouth, paranoid, anxious, dizzy 
1386,jedi kush, dizzy, dry mouth, dry eyes, paranoid, anxious 
1387,jelly roll, dry mouth, dry eyes, paranoid ,,
1388,jenny kush, dry mouth, dry eyes, dizzy, headache, paranoid 
1389,jesses girl, dry eyes ,,,,
1390,jesus, dry mouth, anxious, dizzy, dry eyes ,
1391,jesus og, dry mouth, dry eyes, anxious, dizzy, paranoid 
1392,jet fuel, dry mouth, dry eyes, paranoid, dizzy, anxious 
1393,jilly dawg, dry mouth, dizzy, dry eyes ,,
