,strain,negative_1,negative_2,negative_3,negative_4,negative_5
200,bakerstreet, dry mouth, dry eyes, paranoid, anxious, dizzy 
201,balmoral, dry mouth, dry eyes, anxious, headache ,
202,banana bread, dry mouth, anxious, headache ,,
203,banana candy, headache, dry mouth, dry eyes, dizzy, paranoid 
204,banana cream og, dry eyes, dry mouth, dizzy ,,
205,banana diesel, dry mouth, dry eyes, dizzy, headache, paranoid 
206,banana hammock r1, dry eyes, dry mouth, headache ,,
207,banana kush, dry mouth, dry eyes, dizzy, headache, paranoid 
208,banana og, dry mouth, dry eyes, dizzy, anxious, headache 
209,banana punch 9, dry mouth ,,,,
210,banana split, dry eyes, dry mouth, anxious, dizzy, paranoid 
211,bananas, anxious, dry mouth, dry eyes, paranoid, dizzy 
212,bandana, dry mouth, dry eyes ,,,
213,bangi haze, dry mouth, dry eyes, paranoid ,,
214,banjo, dry eyes, anxious, paranoid, dry mouth, dizzy 
215,barbara bud, dry mouth, dry eyes, dizzy, anxious, headache 
216,batgirl, dry mouth ,,,,
217,batman og, dry mouth, dry eyes ,,,
218,bay 11, dry mouth, anxious, dizzy, paranoid, dry eyes 
219,bay dream, dry mouth, anxious, headache, dry eyes, paranoid 
220,bazooka joe g, dizzy, dry eyes, dry mouth ,,
221,bear dance, dry eyes, dry mouth, anxious, paranoid, dizzy 
222,beast mode 20, dry eyes, dry mouth, dizzy ,,
223,beast mode og, dry mouth, anxious, dry eyes, paranoid, dizzy 
224,beckwourth bud, dizzy, dry eyes, dry mouth ,,
225,bedford glue, paranoid, dry mouth ,,,
226,bedica, dry mouth, dry eyes, dizzy, headache ,
227,bediol, anxious, dry eyes ,,,
228,bell ringer, dry mouth, dry eyes ,,,
229,belladonna, paranoid, dry mouth, dizzy, dry eyes, anxious 
230,berkeley, anxious, dry eyes, dry mouth, paranoid, headache 
231,bermuda sour, dry eyes ,,,,
232,berries  crme, dry eyes ,,,,
233,berry bomb, dry mouth, anxious, dry eyes, paranoid, dizzy 
234,berry larry, dry mouth, dry eyes ,,,
235,berry noir, dry eyes ,,,,
236,berry og, anxious, dry mouth, paranoid, dry eyes, headache 
237,berry white, dry mouth, dry eyes, anxious, paranoid, dizzy 
238,bertberry cheesecake, anxious, dry mouth, headache, paranoid ,
239,bettie page, dry mouth, anxious, dizzy, dry eyes ,
240,bianca, anxious, dry mouth ,,,
241,biddy early, dizzy, anxious ,,,
242,big band, dry eyes, dizzy, dry mouth ,,
243,big bang, dry mouth, paranoid, dry eyes, dizzy, anxious 
244,bertberry cheesecake, anxious, dry mouth, headache, paranoid ,
245,bettie page, dry mouth, anxious, dizzy, dry eyes ,
246,bianca, anxious, dry mouth ,,,
247,biddy early, dizzy, anxious ,,,
248,big band, dry eyes, dizzy, dry mouth ,,
249,big bang, dry mouth, paranoid, dry eyes, dizzy, anxious 
250,big bud, dry mouth, dry eyes, paranoid, dizzy, headache 
251,big budda cheese, dry eyes, dry mouth, paranoid, dizzy, headache 
252,big bull, dry mouth ,,,,
253,big holy nina, dry mouth ,,,,
254,big kush, anxious, dry mouth, dry eyes ,,
255,big mac, anxious, dizzy, dry mouth ,,
256,big skunk korean, dry mouth ,,,,
257,big sky og, paranoid, anxious, dry mouth, dry eyes, dizzy 
258,big smooth, anxious, dry eyes, dry mouth, headache, dizzy 
259,big sur holy bud, dry mouth, dry eyes ,,,
260,big white, dry eyes, dry mouth, headache, anxious, paranoid 
261,big wreck, dry mouth, dry eyes, dizzy, headache, paranoid 
262,biker kush, dry mouth, dry eyes, dizzy, headache, paranoid 
263,bio diesel, dry eyes, dizzy, paranoid, headache, dry mouth 
264,bio jesus, dry mouth, dry eyes, dizzy, headache, paranoid 
265,biochem, dry mouth, dry eyes, dizzy ,,
266,biohazard, dry eyes, dry mouth, anxious, dizzy, headache 
267,birds of paradise, dry mouth, dry eyes ,,,
268,birthday cake kush, dry mouth, dry eyes, dizzy, anxious, headache 
269,black 84, dry mouth, dry eyes, dizzy ,,
270,black afghan, dry mouth, anxious, headache, dry eyes, dizzy 
271,black betty, dry mouth, anxious, dry eyes, paranoid, dizzy 
272,black bubba, dry mouth, paranoid, dizzy, dry eyes ,
273,black cheese, dry mouth, headache ,,,
274,black cherry cheesecake, dry mouth, dry eyes, dizzy, anxious, headache 
275,black cherry og, dry mouth, dry eyes, paranoid, anxious, dizzy 
276,black cherry pie, dry mouth, dry eyes, dizzy ,,
277,black cherry soda, dry mouth, dry eyes, dizzy, anxious, paranoid 
278,black dog, paranoid, dizzy, dry mouth, anxious, dry eyes 
279,black dhalia, dry mouth, dry eyes, dizzy, headache, anxious 
280,black diamond, dry mouth, dry eyes, paranoid, dizzy, headache 
281,black diesel, dizzy, dry mouth, dry eyes, anxious, headache 
282,black domina, dry mouth, paranoid, headache, anxious, dizzy 
283,black haze, dry mouth, dry eyes, anxious, dizzy, headache 
284,black ice, dry mouth, dry eyes, dizzy, anxious ,
285,black jack, dry mouth, dizzy, dry eyes, anxious, headache 
286,black label, dizzy ,,,,
287,black label kush, dry mouth, dry eyes, dizzy, headache, paranoid 
288,black lime special reserve, dry mouth, dry eyes, headache, anxious, dizzy 
289,black magic, dry eyes, dry mouth ,,,
290,black magic kush, dry mouth, paranoid, dry eyes ,,
291,black mamba, dry mouth, dry eyes, anxious, dizzy, headache 
292,black label, dizzy ,,,,
293,black label kush, dry mouth, dry eyes, dizzy, headache, paranoid 
294,black lime special reserve, dry mouth, dry eyes, headache, anxious, dizzy 
295,black magic, dry eyes, dry mouth ,,,
296,black magic kush, dry mouth, paranoid, dry eyes ,,
297,black mamba, dry mouth, dry eyes, anxious, dizzy, headache 
298,black raspberry, dry eyes, dry mouth, dizzy ,,
299,black roses, dry mouth ,,,,
300,black russian, dry mouth, paranoid, anxious, dry eyes, dizzy 
301,black triangle, dry mouth ,,,,
302,black tuna, dry mouth, dry eyes, anxious, dizzy, paranoid 
303,black velvet, dry eyes, dry mouth ,,,
304,black widow, dry mouth, dry eyes, anxious, dizzy, paranoid 
305,blackberry, dry mouth, dry eyes, dizzy, anxious, headache 
306,blackberry bubble, dry eyes, anxious, dry mouth ,,
307,blackberry chem og, anxious, dry eyes, paranoid ,,
308,blackberry cream, dry eyes, dry mouth, dizzy, paranoid ,
309,blackberry diesel, dry mouth, anxious, dry eyes, dizzy, headache 
310,blackberry dream, dry eyes, dry mouth ,,,
311,blackberry fire, dry mouth, dizzy, anxious, headache, paranoid 
312,blackberry hashplant, dry mouth, dry eyes, dizzy, headache, paranoid 
313,blackberry haze, dry mouth, dry eyes, paranoid, anxious ,
314,blackberry kush, dry mouth, dry eyes, dizzy, headache, anxious 
315,blackberry lime haze, dry eyes, headache ,,,
316,blackberry pie, dry eyes, dry mouth ,,,
317,blackberry rhino, dry mouth, dry eyes, anxious, dizzy, paranoid 
318,blackberry snow cone, paranoid ,,,,
319,blackberry trainwreck, headache, dry mouth, dizzy, anxious, dry eyes 
320,blackberry x blueberry, dry mouth, dry eyes, dizzy, headache, paranoid 
321,blackwater, dry mouth, dry eyes, paranoid, anxious, dizzy 
322,blaze, dry mouth, anxious, dry eyes, headache ,
323,blissful wizard, dry mouth, paranoid, dry eyes, anxious, headache 
324,blizzard bush, dry eyes, dry mouth ,,,
325,blob og, dry mouth, dry eyes, headache, dizzy ,
326,blockhead, dry mouth, dry eyes, dizzy, headache, paranoid 
327,blood orange kush, dry mouth, dry eyes, headache, dizzy, paranoid 
328,bloodhound, dry eyes ,,,,
329,bloodwalker, dry mouth ,,,,
330,blowfish, dry mouth, anxious, dry eyes, headache ,
331,blucifer, dry eyes, anxious, dry mouth, headache ,
332,blue afghani, dry mouth, anxious, dry eyes, paranoid ,
333,blue alien, dry eyes, dry mouth, dizzy, headache, paranoid 
334,blue bastard, dry mouth, dry eyes, dizzy, headache, paranoid 
335,blue bayou, headache, paranoid, dry eyes, dry mouth ,
336,blue blood, dry mouth, dizzy, dry eyes ,,
337,blue boy, anxious, headache, dry mouth, dry eyes, dizzy 
338,blue buddha, dry eyes ,,,,
339,blue champange, dry mouth, dry eyes, paranoid, anxious, headache 
340,blue cheese, dry mouth, dry eyes, dizzy, headache, anxious 
341,blue cinex, dry eyes, dry mouth ,,,
342,blue bastard, dry mouth, dry eyes, dizzy, headache, paranoid 
343,blue bayou, headache, paranoid, dry eyes, dry mouth ,
344,blue blood, dry mouth, dizzy, dry eyes ,,
345,blue boy, anxious, headache, dry mouth, dry eyes, dizzy 
346,blue buddha, dry eyes ,,,,
347,blue champange, dry mouth, dry eyes, paranoid, anxious, headache 
348,blue cheese, dry mouth, dry eyes, dizzy, headache, anxious 
349,blue cinex, dry eyes, dry mouth ,,,
350,blue cookies, dry mouth, dry eyes, dizzy, headache, paranoid 
351,blue crack, dry mouth, dry eyes, dizzy, paranoid, headache 
352,blue diamond, dizzy, paranoid, dry mouth, dry eyes, headache 
353,blue diesel, dry mouth, dry eyes, dizzy, anxious, headache 
354,blue dot, dry mouth, dry eyes, headache, anxious, paranoid 
355,blue dragon, dry eyes, dry mouth, anxious, dizzy, headache 
356,blue dream, dry mouth, dry eyes, anxious, dizzy, paranoid 
357,blue dream cbd, anxious, headache ,,,
358,blue dynamite, dry mouth, dizzy, anxious, dry eyes, paranoid 
359,blue fire, anxious, dry eyes, dizzy, dry mouth, headache 
360,blue frost, dry mouth, dry eyes, paranoid, anxious, headache 
361,blue galaxy, dry mouth, dry eyes ,,,
362,blue god, dry mouth, dry eyes, paranoid, dizzy, headache 
363,blue goo, headache, dry mouth, dry eyes, dizzy, paranoid 
364,blue hash, dry mouth, dry eyes, paranoid, dizzy, headache 
365,blue hawaiian, dizzy, dry mouth, dry eyes, paranoid, headache 
366,blue haze, dry eyes, dry mouth, headache, paranoid, dizzy 
367,blue heron, dry mouth, headache, dry eyes ,,
368,blue iguana, anxious, dry eyes, dry mouth, paranoid ,
369,blue ivy, dry eyes, dry mouth, dizzy, paranoid, anxious 
370,blue j, anxious, dizzy ,,,
371,blue jay way, dry mouth, dry eyes ,,,
372,blue kiss, dry eyes, dry mouth, dizzy ,,
373,blue knight, dry mouth, dry eyes, headache, dizzy, paranoid 
374,blue kripple, dizzy, dry mouth, dry eyes, paranoid, headache 
375,blue kush, dry mouth, dry eyes, anxious, dizzy, paranoid 
376,blue lights, dry mouth, dizzy, paranoid, anxious, dry eyes 
377,blue magic, dry mouth, paranoid, dizzy, dry eyes ,
378,blue magoo, dry mouth, dizzy, dry eyes, anxious, headache 
379,blue monster, dry mouth, dry eyes, headache ,,
380,blue moon rocks, dry mouth, dry eyes, dizzy, paranoid, anxious 
381,blue moonshine, dry mouth, dry eyes, dizzy, headache, anxious 
382,blue mountain fire, dry eyes, dizzy, dry mouth, headache, paranoid 
383,blue mystic, dry mouth, dizzy, paranoid, headache, anxious 
384,blue nightmare, dry mouth, dizzy, paranoid, anxious, dry eyes 
385,blue nina, dry mouth, anxious, dry eyes, dizzy, paranoid 
386,blue og, dry eyes, dry mouth, dizzy, headache, anxious 
387,blue og sherbert, dry eyes, dry mouth, headache, paranoid ,
388,blue ox, dry mouth, dizzy, dry eyes ,,
389,blue power, dry mouth, headache, dry eyes, paranoid ,
390,blue raspberry snow cone, dry eyes, dry mouth ,,,
391,blue rhino, dry eyes, headache, paranoid, dry mouth, dizzy 
392,blue satellite, dry mouth, dry eyes, paranoid, dizzy, headache 
393,blue sherbert, dry eyes, dry mouth, headache, paranoid ,
394,blue sky, dry mouth, dizzy, anxious, headache, paranoid 
395,blue steel, dizzy, dry mouth, dry eyes ,,
396,blue power, dry mouth, headache, dry eyes, paranoid ,
397,blue raspberry snow cone, dry eyes, dry mouth ,,,
398,blue rhino, dry eyes, headache, paranoid, dry mouth, dizzy 
399,blue satellite, dry mouth, dry eyes, paranoid, dizzy, headache 
400,blue sherbert, dry eyes, dry mouth, headache, paranoid ,
401,blue sky, dry mouth, dizzy, anxious, headache, paranoid 
402,blue steel, dizzy, dry mouth, dry eyes ,,
403,blue thai, dry mouth ,,,,
404,blue train, dry mouth, dry eyes, dizzy, anxious, paranoid 
405,blue treat, dry eyes ,,,,
406,blue velvet, dry mouth, dry eyes, headache, anxious, dizzy 
407,blue venom, anxious, dry mouth, dizzy, dry eyes, paranoid 
408,blue widow, dry eyes, dry mouth, dizzy, anxious, paranoid 
409,blue wolf, dry eyes, dry mouth, paranoid, anxious ,
410,blue wreck, dizzy, dry mouth, dry eyes, anxious, paranoid 
411,blue zkittlez, dry mouth, dry eyes, headache, dizzy, anxious 
412,blue zombie, dry mouth, dry eyes, anxious, paranoid, dizzy 
413,blueberry, dry mouth, dry eyes, dizzy, paranoid, headache 
414,blueberry ak, dizzy, dry mouth, dry eyes, headache ,
415,blueberry blast, anxious, dry mouth, paranoid, dizzy, dry eyes 
416,blueberry bomb, dry eyes, anxious, headache, dry mouth ,
417,blueberry diesel, dry mouth, dry eyes, paranoid, dizzy, headache 
418,blueberry dream, dry mouth, dizzy, dry eyes ,,
419,blueberry essence, dry mouth, dry eyes ,,,
420,blueberry hashplant, dry mouth ,,,,
421,blueberry haze, dry mouth, dry eyes, paranoid, anxious, dizzy 
422,blueberry headband, dry mouth, dry eyes, dizzy, anxious, headache 
423,blueberry jack, dry eyes, dry mouth, paranoid, anxious, headache 
424,blueberry kush, dry mouth, dry eyes, anxious, paranoid, dizzy 
425,blueberry lambsbread, dry mouth, dizzy ,,,
426,blueberry muffins, dry mouth, dry eyes, dizzy, headache, anxious 
427,blueberry og, dry mouth, anxious, dry eyes, dizzy, paranoid 
428,blueberry pancakes, dry mouth, dry eyes ,,,
429,blueberry pie, dry mouth, dry eyes, paranoid, dizzy, anxious 
430,blueberry silvertip, dry mouth, anxious, dry eyes, headache, paranoid 
431,blueberry skunk, dry eyes, dry mouth, dizzy, anxious, paranoid 
432,blueberry space cake, dry mouth, dry eyes, anxious, paranoid, headache 
433,blue train, dry mouth, dry eyes, dizzy, anxious, paranoid 
434,blueberry triple og, dry mouth ,,,,
435,blueberry yum yum, dry mouth, dizzy, paranoid, anxious, dry eyes 
436,blues, dry mouth, dry eyes, dizzy, paranoid, headache 
437,bluniverse, dry mouth, dry eyes ,,,
438,blurple, dry mouth, dry eyes, anxious, headache, dizzy 
439,blush, anxious, dry eyes, dry mouth, paranoid ,
440,bob saget, dizzy, headache, dry mouth ,,
441,bodega bubblegum, dry eyes, dry mouth ,,,
442,bogart, dry eyes ,,,,
443,bluniverse, dry mouth, dry eyes ,,,
444,blurple, dry mouth, dry eyes, anxious, headache, dizzy 
445,blush, anxious, dry eyes, dry mouth, paranoid ,
446,bob saget, dizzy, headache, dry mouth ,,
447,bodega bubblegum, dry eyes, dry mouth ,,,
448,bogart, dry eyes ,,,,
449,boggle gum, dry mouth, dry eyes, dizzy, paranoid, anxious 
450,bona dea, dizzy, dry eyes, dry mouth ,,
451,booger, dry mouth, paranoid, anxious, headache, dry eyes 
