,strain,medical_1,medical_2,medical_3,medical_4,medical_5
1536,kryptonite, stress, pain, depression, insomnia, lack of appetite 
1537,kuato, depression, pain ,,,
1538,kubbie kush, insomnia, stress, depression, nausea, pain 
1539,kuchi, depression, headaches, pain, stress, fatigue 
1540,kurple fantasy, depression, pain, stress, muscle spasms, fatigue 
1541,kush cleaner, stress, depression, pain, nausea, lack of appetite 
1542,kush hemp, muscle spasms, depression, fatigue, inflammation, insomnia 
1543,kush rise, depression, fatigue, headaches, insomnia, pain 
1544,kush n cheese, pain, depression, stress, fatigue, lack of appetite 
1545,kushadelic, insomnia, stress, inflammation, lack of appetite, pain 
1546,kushage, pain, stress, muscle spasms, depression, lack of appetite 
1547,kushashima, depression, pain ,,,
1548,kushberry, insomnia, stress, pain, muscle spasms, depression 
1549,leagle eagle, stress, insomnia, muscle spasms, pain, depression 
1550,la sunshine, depression, stress, headaches, pain, fatigue 
1551,lak federal reserve, stress, pain, depression, headaches, insomnia 
1552,la cake, pain, stress, depression, fatigue, headaches 
1553,la chocolat, pain, stress, depression, lack of appetite, inflammation 
1554,la confidential, stress, pain, depression, insomnia, lack of appetite 
1555,la jack, pain, stress, depression, insomnia, fatigue 
1556,la kookies, stress, pain, depression, insomnia, lack of appetite 
1557,la kush, stress, pain, fatigue, inflammation, depression 
1558,la og, pain, stress, insomnia, depression, fatigue 
1559,la ultra, insomnia, stress, pain, headaches, cramps 
1560,la woman, inflammation, pain, stress, muscle spasms, depression 
1561,lapd, pain ,,,,
1562,lsd, stress, depression, pain, lack of appetite, fatigue 
1563,lvpk, stress, pain, nausea, lack of appetite, headaches 
1564,la blanca, cramps ,,,,
1565,la blanca gold, stress, inflammation, muscle spasms, pain, fatigue 
1566,la nina, headaches, pain, depression, inflammation, insomnia 
1567,la reina de africa, depression, lack of appetite, stress, fatigue, inflammation 
1568,ladyburn 1974, fatigue, insomnia, eye pressure, cramps, headaches 
1569,lsd, stress, depression, pain, lack of appetite, fatigue 
1570,lvpk, stress, pain, nausea, lack of appetite, headaches 
1571,la blanca, cramps ,,,,
1572,la blanca gold, stress, inflammation, muscle spasms, pain, fatigue 
1573,la nina, headaches, pain, depression, inflammation, insomnia 
1574,la reina de africa, depression, lack of appetite, stress, fatigue, inflammation 
1575,ladyburn 1974, fatigue, insomnia, eye pressure, cramps, headaches 
1576,lake of fire, pain, stress, lack of appetite, fatigue, headaches 
1577,lamb s bread, stress, depression, pain, fatigue, headaches 
1578,lambo og, pain, stress, nausea, insomnia, muscle spasms 
1579,lamborghini, depression, stress, fatigue, headaches, insomnia 
1580,lambs in space, depression, insomnia, nausea, pain, stress 
1581,larry bird kush, stress, depression, muscle spasms, pain, headaches 
1582,larry og, pain, stress, depression, muscle spasms, inflammation 
1583,las vegas purple kush bx, stress, insomnia, lack of appetite, pain, depression 
1584,lashkar gah, pain, stress, insomnia, lack of appetite ,
1585,laughing buddha, depression, stress, headaches, fatigue, pain 
1586,laughing gas, stress, pain, inflammation, insomnia, lack of appetite 
1587,lavender, stress, insomnia, pain, depression, muscle spasms 
1588,lavender haze, stress, depression, pain, lack of appetite, inflammation 
1589,lavender jones, depression, pain, stress, inflammation, insomnia 
1590,le silver royale, stress, depression, pain ,,
1591,leda uno, cramps, nausea, pain, stress ,
1592,lee roy, stress, pain, nausea, depression, eye pressure 
1593,legalized og, stress, pain, depression, fatigue, lack of appetite 
1594,legend og, pain, stress, depression, insomnia, muscle spasms 
1595,legend of nigeria, stress, depression, fatigue, headaches, lack of appetite 
1596,legendary lemon, depression, inflammation, insomnia, nausea, pain 
1597,lem chem, depression, eye pressure, fatigue, headaches, insomnia 
1598,lemon alien dawg, stress, nausea, pain, insomnia, depression 
1599,lemon banana sherbet, depression, stress, lack of appetite, fatigue, inflammation 
1600,lemon bananas, depression, stress, lack of appetite, fatigue ,
1601,lemon bubble, depression, stress, pain, muscle spasms, headaches 
1602,lemon cake, lack of appetite, depression, stress, pain, fatigue 
1603,lemon cookies, depression, pain, stress, fatigue, inflammation 
1604,lemon crme, eye pressure, headaches ,,,
1605,lemon daddy, stress, fatigue, muscle spasms, pain, headaches 
1606,lemon diesel, stress, fatigue, pain, depression, headaches 
1607,lemon drop, stress, depression, fatigue, headaches, nausea 
1608,lemon fire, pain, depression, lack of appetite, headaches, fatigue 
1609,lemon g, pain, stress, depression, headaches, inflammation 
1610,lemon garlic og, depression, fatigue, stress ,,
1611,lemon haze, depression, stress, fatigue, pain, headaches 
1612,lemon ice, depression, stress, fatigue, pain, headaches 
1613,lemon jack, stress, depression, fatigue, nausea, headaches 
1614,lemon jeffery, depression, stress, fatigue, pain, headaches 
1615,lemon kush, stress, depression, pain, insomnia, lack of appetite 
1616,lemon kush headband, depression, cramps, headaches, inflammation, nausea 
1617,lemon larry lavender, depression, stress, fatigue, inflammation, spasticity 
1618,lemon marmalade, stress, cramps, depression, headaches, insomnia 
1619,lemon meringue, depression, stress, fatigue, headaches, pain 
1620,lemon og haze, depression, stress, lack of appetite, pain, insomnia 
1621,lemon jack, stress, depression, fatigue, nausea, headaches 
1622,lemon jeffery, depression, stress, fatigue, pain, headaches 
1623,lemon kush, stress, depression, pain, insomnia, lack of appetite 
1624,lemon kush headband, depression, cramps, headaches, inflammation, nausea 
1625,lemon larry lavender, depression, stress, fatigue, inflammation, spasticity 
1626,lemon marmalade, stress, cramps, depression, headaches, insomnia 
1627,lemon meringue, depression, stress, fatigue, headaches, pain 
1628,lemon og haze, depression, stress, lack of appetite, pain, insomnia 
1629,lemon og, pain, depression, stress, insomnia, lack of appetite 
1630,lemon pie, fatigue, depression, insomnia, stress, lack of appetite 
1631,lemon sativa, stress, pain, depression, fatigue, cramps 
1632,lemon skunk, stress, depression, pain, fatigue, headaches 
1633,lemon sorbet 3, stress, nausea, depression, eye pressure, fatigue 
1634,lemon thai, stress, pain, depression, fatigue, lack of appetite 
1635,lemon thai kush, inflammation, lack of appetite, stress, depression, pain 
1636,lemon tree, stress, depression, pain, headaches, insomnia 
1637,lemon walker og, depression, pain, muscle spasms, stress, fatigue 
1638,lemon wreck, stress, insomnia, fatigue, pain, headaches 
1639,lemon zest, depression, fatigue, nausea, pain, inflammation 
1640,lemonberry, stress, depression, headaches, pain, fatigue 
1641,lemonchello 28, fatigue, depression, headaches, insomnia, lack of appetite 
1642,lemonder, stress, depression, lack of appetite, pain, insomnia 
1643,lemonhead og, depression, stress, pain, fatigue, inflammation 
1644,lennon, stress, insomnia, lack of appetite ,,
1645,leonidas, depression, insomnia, lack of appetite, stress, muscle spasms 
1646,lethal purple, stress, insomnia, pain, depression, headaches 
1647,lifesaver, stress, pain, depression, insomnia, headaches 
1648,lifter, pain, stress, depression, inflammation, cramps 
1649,light of jah, fatigue, pain, lack of appetite, inflammation, insomnia 
1650,lil sebastian, cramps, depression, eye pressure ,,
1651,lime green skunk, stress, depression, pain, fatigue, headaches 
1652,key lime haze, stress, headaches, nausea, depression, eye pressure 
1653,lime purple mist, cramps, lack of appetite, pain, stress, depression 
1654,lime skunk, stress, fatigue, depression, pain, lack of appetite 
1655,lime sorbet, stress, pain, depression, insomnia, inflammation 
1656,lime tart, pain, stress, depression, headaches, inflammation 
1657,limon, depression, lack of appetite, pain, stress, fatigue 
1658,lions gate, stress, fatigue, insomnia, nausea, headaches 
1659,liquid butter, stress, depression, lack of appetite, insomnia, pain 
1660,little devil, depression, stress, headaches, pain, fatigue 
1661,little dragon, muscle spasms, fatigue, headaches, inflammation, pain 
1662,locktite, stress, depression, pain, fatigue, lack of appetite 
1663,locomotion, stress, insomnia, depression, fatigue, pain 
1664,lodi dodi, fatigue, lack of appetite, depression, stress, pain 
1665,logic diesel, fatigue, depression, pain, stress ,
1666,longbottom leaf, depression, stress, pain, nausea, lack of appetite 
1667,loopy fruit, insomnia ,,,,
1668,lost coast hash plant, insomnia, stress, depression, eye pressure, headaches 
1669,locktite, stress, depression, pain, fatigue, lack of appetite 
1670,locomotion, stress, insomnia, depression, fatigue, pain 
1671,lodi dodi, fatigue, lack of appetite, depression, stress, pain 
1672,logic diesel, fatigue, depression, pain, stress ,
1673,longbottom leaf, depression, stress, pain, nausea, lack of appetite 
1674,loopy fruit, insomnia ,,,,
1675,lost coast hash plant, insomnia, stress, depression, eye pressure, headaches 
1676,lost coast og, stress, depression, pain, insomnia, fatigue 
1677,lost sierra night nurse, cramps, headaches, inflammation, muscle spasms, pain 
1678,loud dream, pain, depression, stress, inflammation, lack of appetite 
1679,loud scout, headaches, depression, fatigue, nausea, pain 
1680,love boat, depression, headaches, lack of appetite, nausea, stress 
1681,love potion, stress, depression, pain, fatigue, nausea 
1682,love potion 9, stress, lack of appetite, nausea, insomnia, depression 
1683,love triangle, depression, eye pressure, fatigue ,,
1684,lowryder, pain, nausea, cramps, insomnia, stress 
1685,loyality, cramps, stress, pain, headaches, fatigue 
1686,luca brasi x sour diesel, stress, pain, depression, lack of appetite, fatigue 
1687,lucid bolt, insomnia, lack of appetite, stress, depression, headaches 
1688,lucid dream, depression, stress, pain, insomnia, fatigue 
1689,lucifer og, headaches ,,,,
1690,lucky charms, stress, depression, pain, fatigue, inflammation 
1691,lucy, seizures, muscle spasms, pain, stress, inflammation 
1692,m 39, stress, depression, nausea, lack of appetite, muscle spasms 
1693,mac, depression, stress, lack of appetite, pain, headaches 
1694,mc1, depression, eye pressure, inflammation, insomnia, nausea 
1695,milf, stress, cramps, depression, headaches, inflammation 
1696,mk ultra, stress, insomnia, pain, depression, lack of appetite 
1697,mad dawg, stress, depression, pain, insomnia, fatigue 
1698,mad scientist, stress, fatigue, lack of appetite, insomnia, pain 
1699,madagascar, insomnia, stress, pain, headaches, muscle spasms 
1700,madcow, stress, insomnia, lack of appetite, cramps, depression 
1701,madman og, depression, stress, nausea, pain, insomnia 
1702,mag 91, depression, insomnia, pain, stress ,
1703,mag landrace, stress, pain, insomnia, depression, headaches 
1704,magellan, stress, fatigue, depression, nausea, insomnia 
1705,magic beans og, depression, stress ,,,
1706,magic jordan, stress, inflammation, insomnia, lack of appetite, pain 
1707,magic melon, depression, fatigue, insomnia, lack of appetite, stress 
1708,magnificent mile, pain, depression, headaches, insomnia, muscle spasms 
1709,magnum, depression, stress, pain, eye pressure, insomnia 
1710,magnum pi, nausea, depression, fatigue, stress, headaches 
1711,mai tai cookies, stress, pain, inflammation, eye pressure, headaches 
1712,majestic 12, pain, stress, depression, headaches, insomnia 
1713,mako haze, stress, depression, pain, lack of appetite, fatigue 
1714,malakoff, stress, pain, depression, eye pressure, fatigue 
1715,malawi, depression, stress, fatigue, lack of appetite, pain 
1716,malawi gold, depression, fatigue, stress, inflammation, pain 
1717,magnum pi, nausea, depression, fatigue, stress, headaches 
1718,mai tai cookies, stress, pain, inflammation, eye pressure, headaches 
1719,majestic 12, pain, stress, depression, headaches, insomnia 
1720,mako haze, stress, depression, pain, lack of appetite, fatigue 
1721,malakoff, stress, pain, depression, eye pressure, fatigue 
1722,malawi, depression, stress, fatigue, lack of appetite, pain 
1723,malawi gold, depression, fatigue, stress, inflammation, pain 
1724,mammoth, inflammation, pain, stress, fatigue, headaches 
1725,mandala 1, headaches, nausea, stress, depression, cramps 
1726,mandarin cookies, stress, depression, pain, headaches, insomnia 
1727,mandarin dreams, pain, insomnia, stress, depression, nausea 
1728,mandarin sunset, stress, depression, pain, insomnia, fatigue 
1729,mandarin zkittlez, eye pressure, insomnia, stress, pain, nausea 
1730,mango, stress, depression, pain, insomnia, inflammation 
1731,mango dream, stress, depression, pain, lack of appetite, fatigue 
1732,mango habanero, inflammation, nausea, pain, muscle spasms, depression 
1733,mango kush, stress, depression, pain, insomnia, headaches 
1734,mango sapphire, cramps, depression, insomnia, muscle spasms, stress 
1735,mango sherbert, depression, pain, stress, insomnia, muscle spasms 
1736,mango tango, stress, pain, lack of appetite, depression, nausea 
1737,mangolicious, depression, pain, cramps, fatigue, muscle spasms 
1738,manitoba poison, stress, pain, depression, insomnia, muscle spasms 
1739,maple leaf indica, insomnia, pain, stress, headaches, depression 
1740,maramota 10, depression, fatigue, lack of appetite, pain, stress 
1741,marcosus marshmellow, muscle spasms, depression, spasticity, insomnia, seizures 
1742,margaret cho g, cramps, depression, inflammation, pain, stress 
1743,marionberry kush, stress, insomnia, pain, depression, lack of appetite 
1744,marionberry pie, headaches, insomnia, pain, stress ,
1745,marleys collie, stress, depression, insomnia, lack of appetite ,
1746,marmalade, depression, stress, pain, headaches, inflammation 
1747,mars og, insomnia, stress, depression, pain, lack of appetite 
1748,martian candy, stress, depression, pain, insomnia, fatigue 
1749,martian mean green, stress, headaches, cramps, eye pressure, pain 
1750,martian muffins, depression, insomnia, muscle spasms, pain, stress 
1751,master bubba, stress, pain, insomnia, depression, lack of appetite 
1752,master jedi, stress, nausea, depression, pain, insomnia 
1753,master kush, stress, pain, depression, insomnia, headaches 
1754,master og, fatigue, muscle spasms, stress, pain, lack of appetite 
1755,master skunk, depression, stress, insomnia, headaches, pain 
1756,master yoda, stress, pain, insomnia, lack of appetite, eye pressure 
1757,matanuska thunder fuck, stress, pain, fatigue, inflammation, depression 
1758,mataro blue, stress, insomnia, pain, fatigue, eye pressure 
1759,matsu, pain, insomnia, stress, nausea ,
1760,mau mau, fatigue, insomnia, muscle spasms, nausea, stress 
1761,maui, stress, depression, pain, spasticity, fatigue 
1762,maui berry, stress, pain, depression, nausea, insomnia 
1763,maui bubble gift, pain, stress, depression, headaches, lack of appetite 
1764,maui citrus punch, stress, inflammation, muscle spasms, pain ,
1765,maui haole, stress, depression, muscle spasms, pain, seizures 
1766,maui mango diesel, stress, depression, fatigue, headaches, pain 
1767,maui wowie, stress, depression, pain, fatigue, headaches 
1768,maui, stress, depression, pain, spasticity, fatigue 
1769,maui berry, stress, pain, depression, nausea, insomnia 
1770,maui bubble gift, pain, stress, depression, headaches, lack of appetite 
1771,maui citrus punch, stress, inflammation, muscle spasms, pain ,
1772,maui haole, stress, depression, muscle spasms, pain, seizures 
1773,maui mango diesel, stress, depression, fatigue, headaches, pain 
1774,maui wowie, stress, depression, pain, fatigue, headaches 
1775,mazar i sharif, depression, inflammation, headaches, insomnia, stress 
1776,mazar kush, pain, stress, insomnia, depression, muscle spasms 
1777,mazar x blueberry, stress, pain, insomnia, depression, lack of appetite 
1778,mazar x blueberry, stress, pain, insomnia, depression, lack of appetite 
1779,mazari, muscle spasms ,,,,
1780,mean misty, depression, insomnia, stress ,,
1781,medihaze, stress, depression, headaches, fatigue, pain 
1782,medibud, pain, depression, stress, headaches, inflammation 
1783,medicine man, pain, stress, nausea, insomnia, inflammation 
1784,medicine woman, pain, cramps, depression, inflammation, headaches 
1785,medusa, stress, pain, depression, insomnia, nausea 
1786,mega jackpot, depression, muscle spasms, lack of appetite, stress, nausea 
1787,megalodon, depression, pain, stress, muscle spasms, insomnia 
1788,mekamika haze, depression, fatigue, insomnia, lack of appetite, stress 
1789,melon gum, pain, stress, fatigue, depression, inflammation 
1790,member berry, depression, stress, fatigue, pain, headaches 
1791,memory loss, stress, lack of appetite, insomnia, pain, depression 
1792,mendo afgoo, stress, pain, depression, inflammation, insomnia 
1793,mendo breath, pain, stress, insomnia, depression, inflammation 
1794,mendo queen, depression, stress, fatigue, nausea, pain 
1795,mendocino purps, stress, pain, insomnia, muscle spasms, headaches 
1796,mercury og, stress, pain, depression, insomnia, nausea 
1797,merlot og, stress, insomnia, headaches, depression, pain 
1798,mexican, fatigue, depression, stress, lack of appetite, insomnia 
1799,mexican sativa, stress, depression, fatigue, pain, nausea 
1800,michael phelps og, stress, lack of appetite, depression, insomnia, muscle spasms 
1801,mickey kush, depression, stress, pain, inflammation, headaches 
1802,middlefork, stress, pain, depression, headaches, nausea 
1803,middlefork x pineapple express, pain, lack of appetite, depression, stress, headaches 
1804,midnight, pain, depression, insomnia, headaches, muscle spasms 
1805,mighty glue, depression, stress, eye pressure, muscle spasms, seizures 
1806,milky way, stress, depression, pain, insomnia, nausea 
1807,millennium, pain, stress, headaches, depression, fatigue 
1808,mimosa, stress, depression, pain, fatigue, lack of appetite 
1809,mint chocolate chip, depression, fatigue, insomnia, stress, pain 
1810,mission kush, depression, fatigue, lack of appetite, pain, headaches 
1811,misty kush, stress, depression, lack of appetite, pain, muscle spasms 
1812,milky way, stress, depression, pain, insomnia, nausea 
1813,millennium, pain, stress, headaches, depression, fatigue 
1814,mimosa, stress, depression, pain, fatigue, lack of appetite 
1815,mint chocolate chip, depression, fatigue, insomnia, stress, pain 
1816,mission kush, depression, fatigue, lack of appetite, pain, headaches 
1817,misty kush, stress, depression, lack of appetite, pain, muscle spasms 
1818,misty morning, stress, insomnia, depression, headaches, inflammation 
1819,mob boss, stress, depression, pain, fatigue, insomnia 
1820,moby dick, depression, stress, fatigue, pain, nausea 
1821,mochi, depression, insomnia, stress, nausea, lack of appetite 
1822,molokai frost, stress, pain, cramps, nausea, muscle spasms 
1823,molokai purpz, inflammation, insomnia, lack of appetite, muscle spasms, nausea 
1824,money maker, fatigue, stress, pain, insomnia, depression 
1825,monkey bread 1, lack of appetite, depression, pain, stress, headaches 
1826,monkey paw, depression, stress, pain, lack of appetite, fatigue 
1827,monkey thunder, insomnia, lack of appetite, muscle spasms ,,
1828,monolith, insomnia, stress, lack of appetite, pain, depression 
1829,monster cookies, pain, stress, depression, muscle spasms, insomnia 
1830,monster og, depression, fatigue, pain, stress, lack of appetite 
1831,montana silvertip, pain, depression, nausea, insomnia, stress 
1832,moon cookies, depression, stress, fatigue, pain, lack of appetite 
1833,moon drops, pain, stress, depression, headaches, insomnia 
1834,moon walk, pain, cramps, depression, insomnia, nausea 
1835,moonbeam, fatigue, stress, pain, depression, muscle spasms 
1836,moondance, stress, depression, fatigue, insomnia, pain 
1837,moonshine haze, depression, stress, pain, lack of appetite, fatigue 
1838,moonwalker kush, lack of appetite, stress, depression, insomnia, nausea 
1839,moose and lobsta, pain, stress, inflammation, depression, nausea 
1840,more cowbell, inflammation, pain, stress ,,
1841,morning glory, stress, fatigue, pain, depression, headaches 
1842,morning star, headaches, eye pressure, stress, nausea, fatigue 
1843,mossimo og, depression, pain, nausea, stress, lack of appetite 
1844,motavation, pain, headaches, insomnia, fatigue, stress 
1845,mother tongue, fatigue, stress, lack of appetite, pain, inflammation 
1846,mother of all cherries, insomnia, stress, depression ,,
1847,mother of berries, stress, pain, insomnia, muscle spasms, lack of appetite 
1848,mothers milk, pain, stress, headaches, insomnia, muscle spasms 
1849,mothers finest, pain, depression, inflammation, lack of appetite, insomnia 
1850,mothers helper, pain, fatigue, stress, depression, headaches 
1851,motorbreath, stress, depression, pain, inflammation, lack of appetite 
1852,mountain girl, depression, stress, fatigue, pain, inflammation 
1853,mountain girl x grape ape, stress, depression, fatigue, headaches, inflammation 
1854,mozambique poison, fatigue, headaches, stress ,,
1855,mr nice, stress, pain, depression, insomnia, headaches 
1856,mr tusk, depression, headaches, insomnia, lack of appetite, pain 
1857,ms universe, cramps, pain, stress, fatigue, depression 
1858,mt cook, depression, headaches, inflammation, lack of appetite, muscle spasms 
1859,mt hood magic, stress, depression, pain, insomnia, nausea 
1860,mt rainier, stress, lack of appetite, depression, fatigue, pain 
1861,mozambique poison, fatigue, headaches, stress ,,
1862,mr nice, stress, pain, depression, insomnia, headaches 
1863,mr tusk, depression, headaches, insomnia, lack of appetite, pain 
1864,ms universe, cramps, pain, stress, fatigue, depression 
1865,mt cook, depression, headaches, inflammation, lack of appetite, muscle spasms 
1866,mt hood magic, stress, depression, pain, insomnia, nausea 
1867,mt rainier, stress, lack of appetite, depression, fatigue, pain 
1868,mud bite, fatigue, depression, insomnia, nausea, seizures 
1869,murkle, depression, inflammation, insomnia, pain, stress 
1870,mystery 98, stress, inflammation, lack of appetite, insomnia, depression 
1871,mystery jazz, depression, pain, stress, fatigue, muscle spasms 
1872,nl5 haze mist, stress, depression, headaches, insomnia, lack of appetite 
1873,ny cheese, depression, fatigue, headaches, inflammation, eye pressure 
1874,ny 47, depression, fatigue ,,,
1875,nyc diesel, stress, depression, pain, lack of appetite, nausea 
1876,nypd, stress, depression, pain, fatigue, inflammation 
1877,nanas fix, insomnia, cramps, fatigue, headaches, inflammation 
1878,narnia, depression, stress, lack of appetite, insomnia, fatigue 
1879,nebula, depression, stress, fatigue, pain, headaches 
1880,nebula ii cbd, stress, pain, inflammation, depression, muscle spasms 
1881,nectarine lips, stress, depression, lack of appetite ,,
1882,negra 44, headaches, lack of appetite, insomnia, muscle spasms, pain 
1883,neil haze, depression, insomnia, stress ,,
1884,nepalese, depression, pain, insomnia, headaches, muscle spasms 
1885,neptune kush, stress, depression, insomnia, pain, lack of appetite 
1886,neptune og, pain, insomnia, stress, nausea, muscle spasms 
1887,nevils wreck, inflammation, muscle spasms, nausea, pain, stress 
1888,nevilles haze, depression, fatigue, inflammation, pain, stress 
1889,new glue, pain, headaches, depression, stress, insomnia 
1890,nexus og, depression, fatigue, insomnia, lack of appetite, nausea 
1891,nice cherry, depression, insomnia, lack of appetite, stress, headaches 
1892,nicole kush, depression, insomnia, stress, fatigue, headaches 
1893,night nurse, insomnia, pain, inflammation, stress, depression 
1894,night terror og, stress, insomnia, pain, depression, nausea 
1895,night train, insomnia, pain, muscle spasms, headaches, stress 
1896,nightfire og, stress, depression, nausea, eye pressure, fatigue 
1897,nightmare cookies, insomnia, stress, eye pressure, headaches, depression 
1898,nightmare og, eye pressure, fatigue, lack of appetite ,,
1899,nina limone, depression, stress, pain, cramps, muscle spasms 
1900,ninja fruit, depression, stress, lack of appetite, nausea, headaches 
1901,nor cal purps, stress ,,,,
1902,nordle, stress, insomnia, cramps, fatigue, pain 
1903,north american, insomnia, pain, depression, fatigue, stress 
1904,north american sativa, cramps, depression, eye pressure, fatigue, headaches 
1905,north indian, nausea, stress, depression, headaches, insomnia 
1906,northernberry, insomnia, pain, inflammation, muscle spasms, stress 
1907,northern cross, lack of appetite ,,,,
1908,northern lights, stress, pain, insomnia, depression, headaches 
1909,northern lights  5, stress, depression, pain, insomnia, muscle spasms 
1910,northern lights 5 x haze, stress, insomnia, depression, fatigue, lack of appetite 
1911,northern skunk, stress, pain, inflammation, insomnia, nausea 
1912,north american sativa, cramps, depression, eye pressure, fatigue, headaches 
1913,north indian, nausea, stress, depression, headaches, insomnia 
1914,northernberry, insomnia, pain, inflammation, muscle spasms, stress 
1915,northern cross, lack of appetite ,,,,
1916,northern lights, stress, pain, insomnia, depression, headaches 
1917,northern lights  5, stress, depression, pain, insomnia, muscle spasms 
1918,northern lights 5 x haze, stress, insomnia, depression, fatigue, lack of appetite 
1919,northern skunk, stress, pain, inflammation, insomnia, nausea 
1920,northern wreck, stress, pain, depression, headaches, insomnia 
1921,northwest pineapple, inflammation, lack of appetite, stress ,,
1922,nova, depression, inflammation, cramps, nausea, spasticity 
1923,nuclear cookies, stress, depression, pain, headaches, nausea 
1924,nuggetry og, insomnia, pain, stress, nausea, depression 
1925,nukeheads, insomnia, headaches, muscle spasms, depression, lack of appetite 
1926,nuken, pain, stress, fatigue, muscle spasms, insomnia 
1927,nurse jackie, stress, depression, muscle spasms, eye pressure, fatigue 
1928,oca gold, stress, insomnia, pain, depression, fatigue 
1929,ocas cloud 9, stress, headaches, fatigue, depression, nausea 
1930,ocd, nausea, pain, fatigue, stress, depression 
1931,og 18, pain, stress, depression, inflammation, muscle spasms 
1932,og 1 kenobi, insomnia, stress, depression, inflammation, lack of appetite 
1933,og cheese, stress, pain, insomnia, depression, lack of appetite 
1934,og chem, depression, stress, pain, fatigue, inflammation 
1935,og diesel kush, stress, pain, insomnia, depression, nausea 
1936,og glue sniffer, stress, depression, inflammation, muscle spasms, pain 
1937,og kush, stress, depression, pain, insomnia, fatigue 
1938,og la affie, pain, inflammation, cramps, stress, insomnia 
1939,og lime killer, pain, stress ,,,
1940,og los angeles kush, fatigue, pain, cramps, depression, insomnia 
1941,og poison, stress, insomnia, pain, depression, nausea 
1942,og ringo, stress, pain, depression, lack of appetite, inflammation 
1943,og shark, stress, pain, fatigue, depression, insomnia 
1944,og skunk, stress, pain, lack of appetite, fatigue, insomnia 
1945,og sour diesel, eye pressure, pain, stress, lack of appetite, nausea 
1946,og strawberry, stress, pain, depression, muscle spasms, fatigue 
1947,og tonic, depression, fatigue, headaches, insomnia, nausea 
1948,og wreck, stress, pain, depression, fatigue, insomnia 
1949,ogs pearl, pain, stress, insomnia, depression, inflammation 
1950,ogkb, pain, inflammation, stress, depression, insomnia 
1951,ogiesel, stress, depression, pain, lack of appetite, insomnia 
1952,obama kush, stress, pain, depression, insomnia, inflammation 
1953,ocean view, pain, stress, depression, insomnia, nausea 
1954,odyssey, pain, headaches, depression, nausea, stress 
1955,ogre, stress, depression, nausea, insomnia, pain 
1956,ogre berry, stress, depression, pain, eye pressure, fatigue 
1957,ol betsy, lack of appetite, stress ,,,
1958,old lyme connecticut og, fatigue, nausea, pain, stress ,
1959,old school og, depression, insomnia, stress, headaches, muscle spasms 
1960,old toby, stress, cramps, fatigue, pain, depression 
1961,ogre berry, stress, depression, pain, eye pressure, fatigue 
1962,ol betsy, lack of appetite, stress ,,,
1963,old lyme connecticut og, fatigue, nausea, pain, stress ,
1964,old school og, depression, insomnia, stress, headaches, muscle spasms 
1965,old toby, stress, cramps, fatigue, pain, depression 
1966,omega, depression, pain, stress, inflammation, headaches 
1967,omega dawg, pain, stress, headaches, depression, fatigue 
1968,one to one, stress, insomnia, fatigue, pain, depression 
1969,opal og kush, stress, insomnia, muscle spasms, depression, eye pressure 
1970,opium, depression, pain, insomnia, stress, eye pressure 
1971,or, pain, stress, cramps, insomnia, depression 
1972,orange afghani, pain, stress, insomnia, lack of appetite, inflammation 
1973,orange blossom, nausea, headaches, stress, depression, inflammation 
1974,orange bud, stress, depression, fatigue, pain, nausea 
1975,orange cream, depression, insomnia, nausea, pain, stress 
1976,orange creamsicle, stress, depression, pain, nausea, fatigue 
1977,orange crush, stress, depression, pain, fatigue, headaches 
1978,orange diesel, stress, pain, fatigue, lack of appetite, depression 
1979,orange dream, stress, depression, pain, cramps, fatigue 
1980,orange durban, depression, fatigue, headaches, stress, eye pressure 
1981,orange harambe, eye pressure, fatigue, headaches ,,
1982,orange haze, cramps, stress, depression, lack of appetite, inflammation 
1983,orange hill special, insomnia, stress, lack of appetite, depression, fatigue 
1984,orange juice, insomnia, stress, depression, fatigue, lack of appetite 
1985,orange kush, stress, pain, depression, insomnia, headaches 
1986,orange kush breath, depression, pain, stress, cramps, fatigue 
1987,orange romulan, headaches, stress, fatigue, insomnia, lack of appetite 
1988,orange skunk, stress, depression, pain, lack of appetite, headaches 
1989,orange snow cone, headaches ,,,,
1990,orange turbo, fatigue, lack of appetite, stress, nausea, pain 
1991,orange velvet, stress, depression, pain, fatigue, headaches 
1992,orange wreck, stress, fatigue, depression, muscle spasms, pain 
1993,orangutang, stress, lack of appetite, nausea, pain, depression 
1994,oregon diesel, stress, depression, lack of appetite, fatigue, insomnia 
1995,oregon pineapple, depression, stress, nausea, pain, eye pressure 
1996,oregon pinot noir, nausea, pain, stress, insomnia, lack of appetite 
1997,organic diesel, stress, depression, pain, headaches, insomnia 
1998,orient express, fatigue, cramps, depression, eye pressure, headaches 
1999,original glue, stress, pain, depression, insomnia, lack of appetite 
2000,ortega, pain, depression, lack of appetite, cramps, headaches 
2001,oteils egyptian kush, depression, stress, lack of appetite, muscle spasms, pain 
2002,outer space, depression, stress, pain, inflammation, muscle spasms 
2003,outlaw, stress, pain, headaches, inflammation, muscle spasms 
2004,p 51, pain, insomnia, stress, nausea, depression 
2005,p 91, stress, pain, depression, inflammation, fatigue 
2006,pb souffl, depression, eye pressure, headaches, inflammation, insomnia 
2007,pvc og, muscle spasms, pain, stress ,,
2008,pacific blue, stress, insomnia, pain, depression, headaches 
