,strain,medical_1,medical_2,medical_3,medical_4,medical_5
144,ancient og, stress, insomnia, depression, pain, muscle spasms 
145,anesthesia, pain, stress, insomnia, depression, muscle spasms 
146,angel og, insomnia, pain, stress, fatigue, muscle spasms 
147,animal blues, spasticity, pain, stress, cramps, headaches 
148,animal gas, depression, fatigue, headaches, insomnia, nausea 
149,anonymous og, eye pressure, insomnia, lack of appetite, nausea, stress 
150,anubis, stress, depression, pain, insomnia, fatigue 
151,ape shit, depression, eye pressure, insomnia, stress, headaches 
152,apollo 11, stress, pain, insomnia, inflammation, muscle spasms 
153,apollo 13, stress, pain, fatigue, nausea, cramps 
154,apollo 13 haze, depression, fatigue ,,,
155,appalachia, pain, stress, inflammation, nausea, insomnia 
156,apple jack, depression, stress, pain, insomnia, nausea 
157,apple kush, stress, depression, pain, insomnia, cramps 
158,apollo 11, stress, pain, insomnia, inflammation, muscle spasms 
159,apollo 13, stress, pain, fatigue, nausea, cramps 
160,apollo 13 haze, depression, fatigue ,,,
161,appalachia, pain, stress, inflammation, nausea, insomnia 
162,apple jack, depression, stress, pain, insomnia, nausea 
163,apple kush, stress, depression, pain, insomnia, cramps 
164,appleberry, stress, depression, pain, muscle spasms, fatigue 
165,arabian gold, stress, insomnia, pain ,,
166,arctic sun, stress ,,,,
167,arcticblue, stress, insomnia, pain, depression, inflammation 
168,area 51, stress, depression, pain, headaches, fatigue 
169,argyle, stress, muscle spasms, insomnia, pain, inflammation 
170,arjans strawberry haze, depression, stress, pain, lack of appetite, fatigue 
171,arjans ultra haze 1, stress, lack of appetite, headaches, muscle spasms, fatigue 
172,armageddon, pain, stress, depression, nausea, headaches 
173,armagnac, insomnia, stress ,,,
174,ash, stress, pain, eye pressure, lack of appetite, headaches 
175,asian fantasy, pain, depression, fatigue, cramps, stress 
176,aspen og, headaches, stress, depression, fatigue, inflammation 
177,astral works, pain, depression, stress ,,
178,astroboy, depression, stress, fatigue, pain, eye pressure 
179,athabasca, stress, seizures, depression, fatigue, headaches 
180,atmosphere, depression, stress, lack of appetite, pain, fatigue 
181,atomic, depression, fatigue, stress, insomnia, inflammation 
182,atomic goat, stress, depression, insomnia, pain, headaches 
183,atomic northern lights, stress, pain, depression, nausea, headaches 
184,atomical haze, stress, pain, depression, fatigue, inflammation 
185,aurora borealis, insomnia, lack of appetite, pain, stress, depression 
186,aurora indica, stress, pain, muscle spasms, insomnia, depression 
187,avalon, pain, nausea, stress, insomnia ,
188,avi, depression, fatigue, inflammation, insomnia, muscle spasms 
189,avi dekel, pain, stress, inflammation, depression, headaches 
190,ayahuasca purple, stress, pain, depression, insomnia, nausea 
191,azure haze, depression, stress, insomnia, pain, lack of appetite 
192,b 52, insomnia, stress, depression, headaches, pain 
193,b witched, nausea, stress, depression, insomnia, lack of appetite 
194,b witched, nausea, stress, depression, insomnia, lack of appetite 
195,bb king, muscle spasms, stress, insomnia, inflammation, headaches 
196,b4, stress, depression, pain, headaches, muscle spasms 
197,bc big bud, stress, pain, depression, lack of appetite, insomnia 
198,bc roadkill, stress, pain, depression, nausea, fatigue 
199,bc sweet tooth, insomnia, depression, stress, nausea, pain 
200,bog bubble, stress, insomnia, pain, depression, cramps 
201,bsc, depression, stress, lack of appetite, insomnia, eye pressure 
202,bakerstreet, pain, depression, stress, insomnia, lack of appetite 
203,balmoral, stress, fatigue, depression, pain, headaches 
204,banana bread, stress, fatigue, depression, pain, headaches 
205,banana candy, stress, pain, lack of appetite, nausea, insomnia 
206,bog bubble, stress, insomnia, pain, depression, cramps 
207,bsc, depression, stress, lack of appetite, insomnia, eye pressure 
208,bakerstreet, pain, depression, stress, insomnia, lack of appetite 
209,balmoral, stress, fatigue, depression, pain, headaches 
210,banana bread, stress, fatigue, depression, pain, headaches 
211,banana candy, stress, pain, lack of appetite, nausea, insomnia 
212,banana cream og, stress, depression, pain, muscle spasms, nausea 
213,banana diesel, stress, pain, depression, fatigue, headaches 
214,banana hammock r1, pain, stress, insomnia, nausea, lack of appetite 
215,banana kush, stress, pain, depression, insomnia, inflammation 
216,banana og, pain, stress, insomnia, depression, inflammation 
217,banana peel, pain, depression, fatigue, headaches, stress 
218,banana split, stress, pain, depression, fatigue, inflammation 
219,bananas, stress, depression, pain, insomnia, lack of appetite 
220,bandana, depression, fatigue, pain, stress, headaches 
221,bangi haze, depression, stress, lack of appetite, pain, fatigue 
222,bango, depression, insomnia, lack of appetite, nausea ,
223,banjo, stress, pain, depression, insomnia, nausea 
224,barbara bud, stress, insomnia, depression, lack of appetite, headaches 
225,batgirl, depression, inflammation, muscle spasms, pain, stress 
226,batman og, insomnia, depression, lack of appetite, pain, eye pressure 
227,bay 11, spasticity, depression, stress, pain, lack of appetite 
228,bay dream, stress, depression, pain, lack of appetite, fatigue 
229,bazooka joe g, depression, pain, stress, cramps, fatigue 
230,bear dance, stress, depression, pain, fatigue, eye pressure 
231,beast mode 20, stress, pain, insomnia, lack of appetite, muscle spasms 
232,beast mode og, stress, pain, fatigue, lack of appetite, depression 
233,beckwourth bud, inflammation, insomnia, muscle spasms, pain, spasticity 
234,bedford glue, eye pressure, inflammation, muscle spasms, pain, lack of appetite 
235,bedica, pain, inflammation, insomnia, stress, headaches 
236,bediol, stress, pain, headaches, inflammation, depression 
237,bell ringer, insomnia, lack of appetite, pain, stress, headaches 
238,belladonna, stress, depression, pain, fatigue, insomnia 
239,berkeley, stress, depression, nausea, lack of appetite, pain 
240,bermuda sour, depression, lack of appetite ,,,
241,berry bomb, depression, pain, eye pressure, stress, insomnia 
242,berry larry, depression, stress, pain, nausea, insomnia 
243,berry noir, stress, depression, inflammation, insomnia, lack of appetite 
244,berry og, stress, insomnia, lack of appetite, pain, headaches 
245,berry white, stress, depression, pain, lack of appetite, insomnia 
246,bertberry cheesecake, depression, stress, lack of appetite, headaches, pain 
247,bettie page, pain, stress, fatigue, depression, muscle spasms 
248,bianca, insomnia, stress, lack of appetite, depression, muscle spasms 
249,biddy early, stress, insomnia, fatigue, pain, depression 
250,big band, pain, lack of appetite, insomnia, stress, fatigue 
251,big bang, pain, depression, muscle spasms, headaches, stress 
252,bertberry cheesecake, depression, stress, lack of appetite, headaches, pain 
253,bettie page, pain, stress, fatigue, depression, muscle spasms 
254,bianca, insomnia, stress, lack of appetite, depression, muscle spasms 
255,biddy early, stress, insomnia, fatigue, pain, depression 
256,big band, pain, lack of appetite, insomnia, stress, fatigue 
257,big bang, pain, depression, muscle spasms, headaches, stress 
258,big bud, stress, pain, depression, lack of appetite, insomnia 
