,strain,parent_1,parent_2,parent_3,parent_4,parent_5,parent_6,parent_7
1857,lemon jeffery,golden goat,lemon skunk,n,n,n,n,n
1858,lemon kush,afghani,south american,lemon g,master kush,n,n,n
1859,lemon kush headband,super bud,headband,n,n,n,n,n
1860,lemon larry lavender,larry og,lavender,n,n,n,n,n
1861,lemon marmalade,deadhead og,n,n,n,n,n,n
1862,lemon meringue,lemon skunk,cookies and cream,n,n,n,n,n
1863,lemon og haze,lemon og kush,haze,n,n,n,n,n
1864,lemon og kush,lemon skunk,og 18,n,n,n,n,n
1865,lemon pie,n,n,n,n,n,n,n
1866,lemon prevention,lemon kush,romulan,blueberry,pre-98 bubba kush,n,n,n
1867,lemon sativa,n,n,n,n,n,n,n
1868,lemon skunk,skunk no 1,n,n,n,n,n,n
1869,lemon sorbet 3,lemon og kush,sherbert,n,n,n,n,n
1870,lemon tangie,sfv og,tangie,n,n,n,n,n
1871,lemon thai,n,n,n,n,n,n,n
1872,lemon thai kush,haze,white widow,n,n,n,n,n
1873,lemon tree,lemon skunk,sour diesel,n,n,n,n,n
1874,lemon walker og,skywalker,lemon skunk,skywalker og,n,n,n,n
1875,lemon wreck,sour diesel,trainwreck,n,n,n,n,n
1876,lemon zest,n,n,n,n,n,n,n
1877,lemonberry,lemon thai,n,n,n,n,n,n
1878,lemonchello 28,cherry pie,the original lemonnade,n,n,n,n,n
1879,lemonder,lavender,og kush,super lemon haze,n,n,n,n
1880,lemongrass,lemon kush,gelato,n,n,n,n,n
1881,lemonhead og,og kush,c4,n,n,n,n,n
1882,lennon,jack herer,haze,n,n,n,n,n
1883,leonidas,haze,northern lights,skunk 1,n,n,n,n
1884,lethal purple,n,n,n,n,n,n,n
1885,n,n,n,n,n,n,n,n
1886,lifesaver,bog bubble,jacks cleaner,blueberry,n,n,n,n
1887,lifestar,lifesaver,sensi star,n,n,n,n,n
1888,lifter,suver haze,n,n,n,n,n,n
1889,light of jah,jack herer,afghani,n,n,n,n,n
1890,lil sebastian,casper og,fpog,n,n,n,n,n
1891,lime green skunk,super skunk,northern lights,n,n,n,n,n
1892,lime haze,n,n,n,n,n,n,n
1893,lime purple mist,n,n,n,n,n,n,n
1894,lime skunk,lemon skunk,green ribbon,n,n,n,n,n
1895,lime sorbet,katsu bubba kush,lime skunk,n,n,n,n,n
1896,lime tart,n,n,n,n,n,n,n
1897,limon,sour diesel,strawberry diesel,n,n,n,n,n
1898,lions gate,n,n,n,n,n,n,n
1899,lion’s milk,pure kush,appalachia,n,n,n,n,n
1900,liquid butter,n,n,n,n,n,n,n
1901,little devil,n,n,n,n,n,n,n
1902,little dragon,og kush,central american,thai,n,n,n,n
1903,llanera,n,n,n,n,n,n,n
1904,locktite,original glue,mt rainier,n,n,n,n,n
1905,locomotion,blue diesel,timewreck,n,n,n,n,n
1906,lodi dodi,n,n,n,n,n,n,n
1907,logic diesel,nyc diesel,n,n,n,n,n,n
1908,longbottom leaf,jacks cleaner,sfv og,n,n,n,n,n
1909,loopy fruit,willys wonder,blackberry kush,n,n,n,n,n
1910,lost coast ghost,lost coast og,ghost og,n,n,n,n,n
1911,lost coast hash plant,lost coast og,g13,hash plant,n,n,n,n
1912,locktite,original glue,mt rainier,n,n,n,n,n
1913,locomotion,blue diesel,timewreck,n,n,n,n,n
1914,lodi dodi,n,n,n,n,n,n,n
1915,logic diesel,nyc diesel,n,n,n,n,n,n
1916,longbottom leaf,jacks cleaner,sfv og,n,n,n,n,n
1917,loopy fruit,willys wonder,blackberry kush,n,n,n,n,n
1918,lost coast ghost,lost coast og,ghost og,n,n,n,n,n
1919,lost coast hash plant,lost coast og,g13,hash plant,n,n,n,n
1920,lost coast og,lemon thai,south asian,chemdawg 4,n,n,n,n
1921,lost sierra night nurse,romulan,shishkaberry,n,n,n,n,n
1922,lotus larry,snow lotus,n,n,n,n,n,n
1923,loud dream,blue dream,n,n,n,n,n,n
1924,loud lemonade,lemon skunk,n,n,n,n,n,n
1925,loud scout,girl scout cookies,platinum og,n,n,n,n,n
1926,love boat,triangle kush,snow lotus,n,n,n,n,n
1927,love is love,harlequin,purple sour diesel,ripped bubba,n,n,n,n
1928,love potion 1,g13,colombian gold,n,n,n,n,n
1929,love potion 9,n,n,n,n,n,n,n
1930,love triangle,triangle kush,snow lotus,n,n,n,n,n
1931,lowryder,northern lights,willys wonder,n,n,n,n,n
1932,loyalty,og kush,animal cookies,cherry pie,n,n,n,n
1933,luca brasi,corleone kush,pre-98 bubba kush,n,n,n,n,n
1934,luca brasi x sour diesel,sour diesel,n,n,n,n,n,n
1935,lucid bolt,n,n,n,n,n,n,n
1936,lucid dream,amnesia haze,blue dream,n,n,n,n,n
1937,lucifer og,hells og,sfv og kush,n,n,n,n,n
1938,lucky charms,n,n,n,n,n,n,n
1939,lucy,la confidential,n,n,n,n,n,n
1940,m-39,northern lights 5,skunk 1,n,n,n,n,n
1941,m1-56,super silver haze,n,n,n,n,n,n
1942,mac,n,n,n,n,n,n,n
1943,mc1,og kush,sour diesel,n,n,n,n,n
1944,milf,white widow,trainwreck,n,n,n,n,n
1945,mk ultra,og kush,g13,n,n,n,n,n
1946,mad dawg,lemon alien dawg,starfighter,n,n,n,n,n
1947,mad scientist,herijuana,white widow,n,n,n,n,n
1948,madagascar,n,n,n,n,n,n,n
1949,madcow,durban poison,purple cow,n,n,n,n,n
1950,madman og,la confidential,og kush,n,n,n,n,n
1951,madzilla,king louis xiii,fire og,n,n,n,n,n
1952,mag 91,mag landrace,chemdog 91,n,n,n,n,n
1953,mag landrace,n,n,n,n,n,n,n
1954,magellan,oca’s cloud 9,gg4,n,n,n,n,n
1955,magic beans og,n,n,n,n,n,n,n
1956,magic jordan,n,n,n,n,n,n,n
1957,magic melon,mango sherbert,n,n,n,n,n,n
1958,magnificent mile,n,n,n,n,n,n,n
1959,magnum,n,n,n,n,n,n,n
1960,magnum opus,sour diesel,purple kush,afghani,n,n,n,n
1961,magnum pi,n,n,n,n,n,n,n
1962,mai tai cookies,acdc,n,n,n,n,n,n
1963,majestic 12,n,n,n,n,n,n,n
1964,mako haze,n,n,n,n,n,n,n
1965,malakoff,arjans strawberry haze,white widow,n,n,n,n,n
1966,malawi,african,n,n,n,n,n,n
1967,malawi gold,n,n,n,n,n,n,n
1968,magnum opus,sour diesel,purple kush,afghani,n,n,n,n
1969,magnum pi,n,n,n,n,n,n,n
1970,mai tai cookies,acdc,n,n,n,n,n,n
1971,majestic 12,n,n,n,n,n,n,n
1972,mako haze,n,n,n,n,n,n,n
1973,malakoff,arjans strawberry haze,white widow,n,n,n,n,n
1974,malawi,african,n,n,n,n,n,n
1975,malawi gold,n,n,n,n,n,n,n
1976,mammoth,snowcap,la confidential,n,n,n,n,n
1977,mandala 1,african,n,n,n,n,n,n
1978,mandarin cookies,n,n,n,n,n,n,n
1979,mandarin dreams,n,n,n,n,n,n,n
1980,mandarin jack,n,n,n,n,n,n,n
1981,mandarin sunset,herijuana,orange skunk,n,n,n,n,n
1982,mandarin tk,n,n,n,n,n,n,n
1983,mandarin zkittlez,mandarin sunset,n,n,n,n,n,n
1984,mango,afghani,kc 33,n,n,n,n,n
1985,mango dream,mango,blue dream,n,n,n,n,n
1986,mango habanero,sfv og,n,n,n,n,n,n
1987,n,n,n,n,n,n,n,n
1988,mango kush,mango,hindu kush,n,n,n,n,n
1989,mango sapphire,bubbas gift,og kush,afghan kush,n,n,n,n
1990,mango sherbert,mango kush,sunset sherbet,n,n,n,n,n
1991,mango tango,true og,tangie,n,n,n,n,n
1992,mangolicious,big bud,white widow,n,n,n,n,n
1993,manitoba poison,african,n,n,n,n,n,n
1994,maple leaf indica,afghani,n,n,n,n,n,n
1995,maramota 10,dj short blueberry,g13,hash plant,n,n,n,n
1996,marcosus marshmellow,girl scout cookies,n,n,n,n,n,n
1997,margaret cho-g,og kush,n,n,n,n,n,n
1998,marionberry kush,raspberry kush,space queen,n,n,n,n,n
1999,marionberry pie,n,n,n,n,n,n,n
2000,marleys collie,jamaican,maple leaf indica,n,n,n,n,n
2001,marmalade,n,n,n,n,n,n,n
2002,mars og,n,n,n,n,n,n,n
2003,martian candy,og kush,n,n,n,n,n,n
2004,martian mean green,sharksbreath,g13 haze,n,n,n,n,n
2005,martian muffins,gsc,romulan,n,n,n,n,n
2006,master bubba,master kush,bubba kush,n,n,n,n,n
2007,master jedi,master kush,jedi kush,n,n,n,n,n
2008,master kush,hindu kush,n,n,n,n,n,n
2009,master og,master kush,n,n,n,n,n,n
2010,master skunk,master kush,skunk 1,n,n,n,n,n
2011,master yoda,og kush,master kush,n,n,n,n,n
2012,matanuska thunder fuck,n,n,n,n,n,n,n
2013,mataro blue,black domina,mazar i sharif,blue monster,n,n,n,n
2014,matsu,n,n,n,n,n,n,n
2015,mau-mau,blockhead,killer queen,n,n,n,n,n
2016,maui,hawaiian,n,n,n,n,n,n
2017,maui berry,n,n,n,n,n,n,n
2018,maui bubble gift,gods gift,bubble gum,maui wowie,n,n,n,n
2019,maui citrus punch,tangelo kush,n,n,n,n,n,n
2020,maui haole,romulan,maui wowie,n,n,n,n,n
2021,maui mango diesel,brooklyn mango,maui wowie,n,n,n,n,n
2022,n,n,n,n,n,n,n,n
2023,maui wowie,hawaiian,n,n,n,n,n,n
2024,maui,hawaiian,n,n,n,n,n,n
2025,maui berry,n,n,n,n,n,n,n
2026,maui bubble gift,gods gift,bubble gum,maui wowie,n,n,n,n
2027,maui citrus punch,tangelo kush,n,n,n,n,n,n
2028,maui haole,romulan,maui wowie,n,n,n,n,n
2029,maui mango diesel,brooklyn mango,maui wowie,n,n,n,n,n
2030,n,n,n,n,n,n,n,n
2031,maui wowie,hawaiian,n,n,n,n,n,n
2032,n,n,n,n,n,n,n,n
2033,mazar i sharif,afghani,n,n,n,n,n,n
2034,mazar kush,mazar i sharif,afghani,n,n,n,n,n
2035,mazar x blueberry,blueberry,mazar i sharif,n,n,n,n,n
2036,mazar x blueberry,blueberry,mazar i sharif,n,n,n,n,n
2037,mazari,mazar i sharif,skunk no 1,n,n,n,n,n
2038,mean misty,secret recipe,blue dream,n,n,n,n,n
2039,medihaze,nevilles haze,super silver haze,n,n,n,n,n
2040,medibud,n,n,n,n,n,n,n
2041,medical 49,n,n,n,n,n,n,n
2042,medicine man,south american,south indian,afghani,n,n,n,n
2043,medicine woman,dynamite,hash plant,g13,n,n,n,n
2044,medusa,n,n,n,n,n,n,n
2045,mega jackpot,jack herer,northern lights,haze,n,n,n,n
2046,megalodon,white widow,snow white,great white shark,n,n,n,n
2047,mekamika haze,n,n,n,n,n,n,n
2048,melon gum,lavender,bubble gum,n,n,n,n,n
2049,melonberry,n,n,n,n,n,n,n
2050,member berry,skunkberry,n,n,n,n,n,n
2051,memory loss,amnesia haze,face off og,n,n,n,n,n
2052,mendo afgoo,afghani,n,n,n,n,n,n
2053,mendo breath,ogkb,mendo montage,n,n,n,n,n
2054,mendo montage,mendocino purps,n,n,n,n,n,n
2055,mendo queen,mendocino purps,n,n,n,n,n,n
2056,mendo supremo,mendo queen,mendo montage,n,n,n,n,n
2057,mendocino madness,n,n,n,n,n,n,n
2058,mendocino purps,north american indica,n,n,n,n,n,n
2059,mercury og,n,n,n,n,n,n,n
2060,merlot og,larry og,grape ape,blackberry rhino,sfv og,n,n,n
2061,mexican,n,n,n,n,n,n,n
2062,mexican kush,afghan kush,mexican sativa,n,n,n,n,n
2063,mexican sativa,mexican,durban poison,n,n,n,n,n
2064,michael phelps og,og kush,n,n,n,n,n,n
2065,michka,haze,thai,south american,jamaican,n,n,n
2066,mickey kush,jack the ripper,n,n,n,n,n,n
2067,middlefork,dutch treat,n,n,n,n,n,n
2068,middlefork x pineapple express,middlefork,pineapple express,n,n,n,n,n
2069,midnight,n,n,n,n,n,n,n
2070,mighty glue,sour bubble,n,n,n,n,n,n
2071,mighty quin,harlequin,city of god,n,n,n,n,n
2072,mike larry,gelato,larry og,n,n,n,n,n
2073,milky way,n,n,n,n,n,n,n
2074,millennium,n,n,n,n,n,n,n
2075,mimosa,clementine,purple punch,n,n,n,n,n
2076,mint chocolate chip,sinmint cookies,green ribbon,n,n,n,n,n
2077,mint lemonade,n,n,n,n,n,n,n
2078,mission kush,silver surfer,haze,n,n,n,n,n
2079,misty kush,n,n,n,n,n,n,n
2080,mike larry,gelato,larry og,n,n,n,n,n
2081,milky way,n,n,n,n,n,n,n
2082,millennium,n,n,n,n,n,n,n
2083,mimosa,clementine,purple punch,n,n,n,n,n
2084,mint chocolate chip,sinmint cookies,green ribbon,n,n,n,n,n
2085,mint lemonade,n,n,n,n,n,n,n
2086,mission kush,silver surfer,haze,n,n,n,n,n
2087,misty kush,n,n,n,n,n,n,n
2088,misty morning,n,n,n,n,n,n,n
2089,mob boss,n,n,n,n,n,n,n
2090,moby dick,white widow,haze,n,n,n,n,n
2091,mochi,sunset sherbet,thin mint girl scout cookies,n,n,n,n,n
2092,moloka’i frost,n,n,n,n,n,n,n
2093,moloka’i purpz,n,n,n,n,n,n,n
2094,money maker,hindu kush,master kush,skunk 1,n,n,n,n
2095,monkey bread 1,grease monkey,gsc,n,n,n,n,n
2096,monkey paw,acapulco gold,colombian gold,afghani,n,n,n,n
2097,monkey thunder,tropic thunder,n,n,n,n,n,n
2098,monolith,n,n,n,n,n,n,n
2099,monster cookies,girl scout cookies,granddaddy purple,n,n,n,n,n
2100,monster og,og kush,sfv og,n,n,n,n,n
2101,montana silvertip,super silver haze,granddaddy purple,n,n,n,n,n
2102,moon cookies,girl scout cookies,n,n,n,n,n,n
2103,moon drops,purple urkle,do-si-dos,n,n,n,n,n
2104,moon walk,purple cow,n,n,n,n,n,n
2105,moonbeam,n,n,n,n,n,n,n
2106,moondance,super silver haze,nevilles haze,n,n,n,n,n
2107,moonshine haze,nevils wreck,amnesia haze,n,n,n,n,n
2108,moontang,chemdog 91,skunk no 1,snow lotus,n,n,n,n
2109,moonwalker kush,n,n,n,n,n,n,n
2110,moose and lobsta,n,n,n,n,n,n,n
2111,more cowbell,gsc,hash plant,n,n,n,n,n
2112,morning glory,afghani,hawaiian,skunk no 1,n,n,n,n
2113,morning star,n,n,n,n,n,n,n
2114,mossad,conspiracy kush,kosher kush,n,n,n,n,n
2115,mossimo og,n,n,n,n,n,n,n
2116,motavation,sensi star,warlock,n,n,n,n,n
2117,mother tongue,afgooey,n,n,n,n,n,n
2118,mother of all cherries,mother of berries,cherry pie,n,n,n,n,n
2119,mother of berries,blueberry,n,n,n,n,n,n
2120,mothers milk,appalachia,n,n,n,n,n,n
2121,mothertongue,jesus og,n,n,n,n,n,n
2122,mother’s finest,jack herer,n,n,n,n,n,n
2123,mother’s helper,chocolope,northern lights 5,n,n,n,n,n
2124,motorbreath,chemdog,sfv og,n,n,n,n,n
2125,mountain girl,willys wonder,granddaddy purple,white widow,n,n,n,n
2126,mountain girl x grape ape,mountain girl,grape ape,n,n,n,n,n
2127,mountain temple,appalachia,n,n,n,n,n,n
2128,mountain thunder,sour bubble,n,n,n,n,n,n
2129,mozambique poison,n,n,n,n,n,n,n
2130,mr nice,g13,hash plant,n,n,n,n,n
2131,mr tusk,n,n,n,n,n,n,n
2132,ms universe,space queen,n,n,n,n,n,n
2133,mt cook,northern lights,afghani,hash plant,n,n,n,n
2134,mt hood magic,northern lights 5,durban poison,n,n,n,n,n
2135,mt rainier,northern lights 5,white lotus,n,n,n,n,n
2136,mountain thunder,sour bubble,n,n,n,n,n,n
2137,mozambique poison,n,n,n,n,n,n,n
2138,mr nice,g13,hash plant,n,n,n,n,n
2139,mr tusk,n,n,n,n,n,n,n
2140,ms universe,space queen,n,n,n,n,n,n
2141,mt cook,northern lights,afghani,hash plant,n,n,n,n
2142,mt hood magic,northern lights 5,durban poison,n,n,n,n,n
2143,mt rainier,northern lights 5,white lotus,n,n,n,n,n
2144,mud bite,n,n,n,n,n,n,n
2145,murkle,m-39,purple urkle,n,n,n,n,n
2146,mystery 98,pre-98 bubba kush,n,n,n,n,n,n
2147,mystery jazz,n,n,n,n,n,n,n
2148,nl5 haze mist,northern lights 5,haze,kali mist,n,n,n,n
2149,ny cheese,cheese,nyc diesel,n,n,n,n,n
2150,ny-47,nyc diesel,ak-47,n,n,n,n,n
2151,nyc diesel,afghani,mexican,n,n,n,n,n
2152,nypd,aurora indica,mexican,n,n,n,n,n
2153,nana’s fix,grandma’s sugar cookies,n,n,n,n,n,n
2154,narnia,jack herer,trainwreck,n,n,n,n,n
2155,nchoosha y,thai,n,n,n,n,n,n
2156,nebula,n,n,n,n,n,n,n
2157,nebula ii cbd,nebula,n,n,n,n,n,n
2158,nectarine lips,n,n,n,n,n,n,n
2159,negra 44,african,n,n,n,n,n,n
2160,neil haze,northern lights 5,haze,n,n,n,n,n
2161,nepalese,n,n,n,n,n,n,n
2162,nepalese jam,nepalese,jamaican,n,n,n,n,n
2163,neptune kush,n,n,n,n,n,n,n
2164,neptune og,n,n,n,n,n,n,n
2165,neroli 91,n,n,n,n,n,n,n
2166,nevils wreck,trainwreck,nevilles haze,n,n,n,n,n
2167,nevilles haze,northern lights 5,haze,n,n,n,n,n
2168,new glue,chems sister,chocolate diesel,sour dubble,n,n,n,n
2169,newberry,blueberry,n,n,n,n,n,n
2170,nexus og,n,n,n,n,n,n,n
2171,nice cherry,mr nice,n,n,n,n,n,n
2172,nicole kush,kosher kush,n,n,n,n,n,n
2173,night nurse,hash plant,harmony,fire og,n,n,n,n
2174,night terror og,blue dream,rare darkness,n,n,n,n,n
2175,night train,trainwreck,n,n,n,n,n,n
2176,nightfire og,white fire og,white nightmare,n,n,n,n,n
2177,nightmare cookies,white nightmare,girl scout cookies,n,n,n,n,n
2178,nightmare og,n,n,n,n,n,n,n
2179,nina limone,super lemon haze,rebel god smoke,n,n,n,n,n
2180,ninja fruit,grapefruit haze,grape ape,n,n,n,n,n
2181,nor cal purps,granddaddy purple,grape ape,n,n,n,n,n
2182,nordle,afghani,skunk no 1,n,n,n,n,n
2183,north american indica,n,n,n,n,n,n,n
2184,north american sativa,n,n,n,n,n,n,n
2185,north indian,n,n,n,n,n,n,n
2186,northern berry,northern lights 5,blueberry,n,n,n,n,n
2187,northern cross,chernobyl,permafrost,n,n,n,n,n
2188,northern lights,afghani,thai,n,n,n,n,n
2189,northern lights 5,afghani,n,n,n,n,n,n
2190,northern lights 5 x haze,northern lights 5,haze,n,n,n,n,n
2191,northern skunk,northern lights,super skunk,n,n,n,n,n
2192,north american sativa,n,n,n,n,n,n,n
2193,north indian,n,n,n,n,n,n,n
2194,northern berry,northern lights 5,blueberry,n,n,n,n,n
2195,northern cross,chernobyl,permafrost,n,n,n,n,n
2196,northern lights,afghani,thai,n,n,n,n,n
2197,northern lights 5,afghani,n,n,n,n,n,n
2198,northern lights 5 x haze,northern lights 5,haze,n,n,n,n,n
2199,northern skunk,northern lights,super skunk,n,n,n,n,n
2200,northern wreck,northern lights,trainwreck,n,n,n,n,n
2201,northwest pineapple,oregon pineapple,northern lights,n,n,n,n,n
2202,nova,jack the ripper,harlequin,n,n,n,n,n
2203,nuclear cookies,chernobyl,girl scout cookies,n,n,n,n,n
2204,nuggetry og,n,n,n,n,n,n,n
2205,nukeheads,n,n,n,n,n,n,n
2206,nuken,shishkaberry,god bud,n,n,n,n,n
2207,nurse jackie,jack the ripper,n,n,n,n,n,n
2208,oca gold,afghani,hindu kush,n,n,n,n,n
2209,oca’s cloud 9,n,n,n,n,n,n,n
2210,ocd,n,n,n,n,n,n,n
2211,og 18,og kush,n,n,n,n,n,n
2212,og 1 kenobi,n,n,n,n,n,n,n
2213,og cheese,afghani,n,n,n,n,n,n
2214,og chem,chemdawg,og kush,n,n,n,n,n
2215,og diesel kush,n,n,n,n,n,n,n
2216,og eddy lepp,n,n,n,n,n,n,n
2217,og glue sniffer,gorilla glue 4,n,n,n,n,n,n
2218,og kush,hindu kush,n,n,n,n,n,n
2219,og la affie,afghani,n,n,n,n,n,n
2220,og lime killer,lemon og haze,n,n,n,n,n,n
2221,og los angeles kush,king louis xiii,n,n,n,n,n,n
2222,og poison,og kush,n,n,n,n,n,n
2223,og purple fire thai,fire og,purple thai,nevilles haze,n,n,n,n
2224,og ringo,n,n,n,n,n,n,n
2225,og shark,n,n,n,n,n,n,n
2226,og skunk,og 18,skunk no 1,n,n,n,n,n
2227,og sour diesel,sour og,east coast sour diesel,n,n,n,n,n
2228,og strawberry,og kush,afghani,n,n,n,n,n
2229,og strawberry star killer,strawberry diesel,n,n,n,n,n,n
2230,og tonic,n,n,n,n,n,n,n
2231,og wreck,og kush,trainwreck,n,n,n,n,n
2232,ogs pearl,n,n,n,n,n,n,n
2233,ogkb,gsc,n,n,n,n,n,n
2234,ogkz,zkittlez,ogkb,n,n,n,n,n
2235,ogiesel,sfv og kush,n,n,n,n,n,n
2236,obama kush,afghani,og kush,n,n,n,n,n
2237,ocean view,n,n,n,n,n,n,n
2238,odyssey,n,n,n,n,n,n,n
2239,ogre,sensi star,n,n,n,n,n,n
2240,ogre berry,ogre,afghani,n,n,n,n,n
2241,ol betsy,n,n,n,n,n,n,n
2242,old dirty biker,biker kush,exodus cheese,n,n,n,n,n
2243,old lyme connecticut og,n,n,n,n,n,n,n
2244,old mother sativa,n,n,n,n,n,n,n
2245,old school og,n,n,n,n,n,n,n
2246,old toby,n,n,n,n,n,n,n
2247,oldtimer’s haze,n,n,n,n,n,n,n
2248,ogre berry,ogre,afghani,n,n,n,n,n
2249,ol betsy,n,n,n,n,n,n,n
2250,old dirty biker,biker kush,exodus cheese,n,n,n,n,n
2251,old lyme connecticut og,n,n,n,n,n,n,n
2252,old mother sativa,n,n,n,n,n,n,n
2253,old school og,n,n,n,n,n,n,n
2254,old toby,n,n,n,n,n,n,n
2255,oldtimer’s haze,n,n,n,n,n,n,n
2256,omega,white widow,afghani,nyc diesel,permafrost,n,n,n
2257,omega dawg,chemdawg,space queen,n,n,n,n,n
2258,one to one,amnesia haze,n,n,n,n,n,n
2259,opal og kush,n,n,n,n,n,n,n
2260,opium,n,n,n,n,n,n,n
2261,or,n,n,n,n,n,n,n
2262,orange afghani,lashkar gah,n,n,n,n,n,n
2263,orange blossom,orange bud,og kush,n,n,n,n,n
2264,orange bud,skunk 1,n,n,n,n,n,n
2265,n,n,n,n,n,n,n,n
2266,orange cream,cookies and cream,n,n,n,n,n,n
2267,orange creamsicle,orange crush,juicy fruit,n,n,n,n,n
2268,orange crush,california orange,blueberry,n,n,n,n,n
2269,orange diesel,sour diesel,agent orange,n,n,n,n,n
2270,orange dream,orange crush,blue dream,n,n,n,n,n
2271,orange durban,durban poison,n,n,n,n,n,n
2272,orange fanta,agent orange,n,n,n,n,n,n
2273,orange harambe,mandarin sunset,n,n,n,n,n,n
2274,orange haze,orange bud,haze,n,n,n,n,n
2275,orange hill special,orange bud,california orange,n,n,n,n,n
2276,orange juice,og kush,california orange,n,n,n,n,n
2277,orange kush,og kush,orange bud,n,n,n,n,n
2278,orange kush breath,orange juice,n,n,n,n,n,n
2279,orange poison,durban poison,n,n,n,n,n,n
2280,orange romulan,orange kush,romulan,n,n,n,n,n
2281,orange skunk,california orange,skunk no 1,n,n,n,n,n
2282,orange snow cone,agent orange,n,n,n,n,n,n
2283,orange turbo,n,n,n,n,n,n,n
2284,orange velvet,skunk no 1,n,n,n,n,n,n
2285,orange wreck,n,n,n,n,n,n,n
2286,orangutang,orange crush,citrus sap,gg4,tangie,n,n,n
2287,oregon diesel,nyc diesel,blackberry,n,n,n,n,n
2288,oregon pineapple,pineapple,master kush,n,n,n,n,n
2289,oregon pinot noir,hawaiian purple kush,pitbull,n,n,n,n,n
2290,organic diesel,n,n,n,n,n,n,n
2291,orient express,china yunnan,n,n,n,n,n,n
2292,original glue,chems sister,chocolate diesel,sour dubble,n,n,n,n
2293,ortega,northern lights,n,n,n,n,n,n
2294,oteil’s egyptian kush,n,n,n,n,n,n,n
2295,outer space,island sweet skunk,trinity,n,n,n,n,n
2296,outlaw,haze,amnesia,n,n,n,n,n
2297,ozma,n,n,n,n,n,n,n
2298,p-51,tahoe og kush,blackberry,n,n,n,n,n
2299,p-91,northern lights,n,n,n,n,n,n
2300,pb soufflé,n,n,n,n,n,n,n
2301,ptsd,n,n,n,n,n,n,n
2302,pvc og,n,n,n,n,n,n,n
2303,pacific blue,pre-98 bubba kush,dj short blueberry,n,n,n,n,n
2304,outlaw,haze,amnesia,n,n,n,n,n
2305,ozma,n,n,n,n,n,n,n
2306,p-51,tahoe og kush,blackberry,n,n,n,n,n
2307,p-91,northern lights,n,n,n,n,n,n
2308,pb soufflé,n,n,n,n,n,n,n
2309,ptsd,n,n,n,n,n,n,n
2310,pvc og,n,n,n,n,n,n,n
2311,pacific blue,pre-98 bubba kush,dj short blueberry,n,n,n,n,n
2312,pacific frost,frosty,n,n,n,n,n,n
2313,pagoda,apollo 11,appalachia,n,n,n,n,n
2314,pakistan valley kush,n,n,n,n,n,n,n
2315,pakistani chitral kush,n,n,n,n,n,n,n
2316,palm tree cbd,n,n,n,n,n,n,n
2317,pamelina,girl scout cookies,n,n,n,n,n,n
2318,pan jam,panama red,lambs bread,n,n,n,n,n
2319,panama punch,nevilles haze,n,n,n,n,n,n
2320,panama red,central american,n,n,n,n,n,n
2321,panda og,og chem,n,n,n,n,n,n
2322,pandoras box,jack the ripper,space queen,n,n,n,n,n
2323,panzer kush,glass slipper,purple pantera,n,n,n,n,n
2324,papas og,skywalker og,og kush,n,n,n,n,n
2325,n,n,n,n,n,n,n,n
2326,paris og,headband,lemon og kush,n,n,n,n,n
2327,paris xxx,chemdawg,og kush,headband,n,n,n,n
2328,patti cake,n,n,n,n,n,n,n
2329,peach cobbler,strawberry banana,dream queen,n,n,n,n,n
2330,peach crescendo f-1,i-95,mandarin cookies,n,n,n,n,n
2331,peach puree,sweet diesel,california orange,n,n,n,n,n
2332,peaches and cream,skunk no 1,n,n,n,n,n,n
2333,peachy mack,golden pineapple,peaches and cream,n,n,n,n,n
2334,pearl scout cookies,girl scout cookies,n,n,n,n,n,n
2335,peles fire og,fire og,n,n,n,n,n,n
2336,pennywise,jack the ripper,harlequin,n,n,n,n,n
2337,peppermint cookies,girl scout cookies,n,n,n,n,n,n
2338,perfect purple,n,n,n,n,n,n,n
2339,permafrost,trainwreck,white widow,n,n,n,n,n
2340,pestilence,abusive og,n,n,n,n,n,n
2341,petrolia headstash,afghani,n,n,n,n,n,n
2342,peyote cookies,cookies kush,n,n,n,n,n,n
2343,peyton manning,sfv og,chemdawg 91,n,n,n,n,n
2344,pez,afghani,n,n,n,n,n,n
2345,phantom arrow,purple arrow,pink champagne,n,n,n,n,n
2346,phantom cookies,granddaddy purple,cherry pie,n,n,n,n,n
2347,phantom og,og kush,n,n,n,n,n,n
2348,phatt frutty,afghani,north indian,mexican,n,n,n,n
2349,pheno 51,star killer,skywalker og,n,n,n,n,n
2350,phishhead kush,afghani,n,n,n,n,n,n
2351,pie face og,cherry pie,face off og,n,n,n,n,n
2352,pie hoe,tahoe og kush,n,n,n,n,n,n
2353,pine cone,cinex,n,n,n,n,n,n
2354,pine queen dream,blue dream,n,n,n,n,n,n
2355,pine tar kush,n,n,n,n,n,n,n
2356,pineapple,ed rosenthal super bud,n,n,n,n,n,n
2357,pineapple calyx,pineapple og,pineapple cookies,n,n,n,n,n
2358,n,n,n,n,n,n,n,n
2359,pineapple cookies,platinum girl scout cookies,og poison,n,n,n,n,n
2360,pie hoe,tahoe og kush,n,n,n,n,n,n
2361,pine cone,cinex,n,n,n,n,n,n
2362,pine queen dream,blue dream,n,n,n,n,n,n
2363,pine tar kush,n,n,n,n,n,n,n
2364,pineapple,ed rosenthal super bud,n,n,n,n,n,n
2365,pineapple calyx,pineapple og,pineapple cookies,n,n,n,n,n
