,strain,parent_1,parent_2
2291,weebe’s world,  black domina ,  gelato  
2292,wellness og,og kush,
2293,wembley,  ak-47 ,  bubble gum  
2294,west coast dawg,chemdawg,
2295,west og,  chemdawg ,  humboldt  
2296,wedding cake,  girl scout cookies ,  cherry pie  
2297,weebe’s world,  black domina ,  gelato  
2298,wellness og,og kush,
2299,wembley,  ak-47 ,  bubble gum  
2300,west coast dawg,chemdawg,
2301,west og,  chemdawg ,  humboldt  
2302,wet dream,  blue dream ,  haze  
2303,where's my bike,  amnesia ,  biker kush  
2304,whitaker blues,blueberry,
2305,white 99,  cinderella 99 ,  the white  
2306,white bastard,  dj short blueberry ,  god bud  
2307,white berry,  blueberry ,  white widow  
2308,white bubblegum,  snow white ,  bubble gum  
2309,white castle,  white widow ,  ice  
2310,white cheese,  super skunk ,  afghani  
2311,white cherry truffle,chemdog,
2312,white choco,  white russian ,  chocolope  
2313,white chocolate,chocolope,
2314,white cookies,  white widow ,  girl scout cookies  
2315,white dawg,  chemdog ,  white fire og  
2316,white dawg fire og,  white dawg ,  fire og  
2317,white diesel,  white widow ,  nyc diesel  
2318,white domina,black domina,
2319,white dragon,  northern lights ,  afghani  
2320,white dream,  blue dream ,  white widow  
2321,white durban,  white fire og ,  durban poison  
2322,white elephant,  white widow ,  purple elephant  
2323,white empress,  white widow ,  cinderella 99  
2324,white fire 43,white fire og,
2325,white fire alien og,  the white ,  fire alien kush  
2326,white fire alien og,  the white ,  fire alien kush  
2327,white girl,  berry white ,  girl scout cookies  
2328,white gold,  white widow ,  himalayan gold  
2329,white gorilla,  gorilla glue #4 ,  white fire alien og  
2330,white harmony,  durban poison ,  white widow  
2331,white haze,haze,
2332,white ice,  northern lights ,  afghani  
2333,white kryptonite,  white widow ,  kryptonite  
2334,white kush,  afghani ,  white widow  
2335,white lsd,lsd,
2336,white lavender,  white widow ,  lavender  
2337,white lemon,  super lemon haze ,  el niño  
2338,white lightning,  white widow ,  northern lights #5  
2339,white lotus,  the white ,  snow lotus  
2340,white moonshine,  the white ,  blue moonshine  
2341,white nightmare,blue dream,
2342,white og,  the white ,  sfv og kush  
2343,white queen,white widow,
2344,white rhino,  white widow ,  north american indica  
2345,white lightning,  white widow ,  northern lights #5  
2346,white lotus,  the white ,  snow lotus  
2347,white moonshine,  the white ,  blue moonshine  
2348,white nightmare,blue dream,
2349,white og,  the white ,  sfv og kush  
2350,white queen,white widow,
2351,white rhino,  white widow ,  north american indica  
2352,white romulan,  romulan ,  the white  
2353,white russian,  white widow ,  ak-47  
2354,white ryder,lowryder,
2355,white sangria,tahoe hydro og,
2356,white siberian,  white widow ,  ak-47  
2357,white skunk,skunk no. 1,
2358,white slipper,  the white ,  glass slipper  
2359,white smurf,  northern lights ,  skunk no. 1  
2360,white strawberry,  the white ,  strawberry cough  
2361,white urkle,  the white ,  purple urkle  
2362,white walker kush,  white widow ,  mazar x blueberry  
2363,white widow,  south american ,  south indian indica  
2364,whiteout,  super silver haze ,  the white  
2365,whitewalker og,sfv og kush,
2366,willie berrie,willy s wonder,
2367,willie cheesie,willy s wonder,
2368,willie nelson,  nepalese ,  south asian sativa  
2369,willie’s ghost,willy s wonder,
2370,willy's wonder,afghani,
2371,wish mountain,appalachia,
2372,wonka's bubblicious," ""pandora s box""",  querkle  
2373,wookie,  lavender ,  appalachia  
2374,wreckage,  sage ,  trainwreck  
2375,x files,sour diesel,
2376,x wing,skywalker og,
2377,x tra chz,cheese,
2378,xj 13,  jack herer ,  g13 haze  
2379,x files,sour diesel,
2380,x wing,skywalker og,
2381,x tra chz,cheese,
2382,xj 13,  jack herer ,  g13 haze  
2383,y griega,  amnesia haze ,  kali mist  
2384,yem og,  ghost og ,  phishhead kush  
2385,yeti og,  og kush ,  sour diesel  
2386,yoda og,og kush,
2387,yoda's brain,  hindu kush ,  skywalker  
2388,yogi diesel,  sour diesel ,  northern lights #5  
2389,yummy,white dawg,
2390,zeitgeist,  sour amnesia ,  purple pantera  
2391,zelda,legend og,
2392,zerculese,zkittlez,
2393,zeta sage,  og kush ,  sage  
2394,zeus og,deadhead og,
2395,zkittlez,  grape ape ,  grapefruit  
2396,zoom pie,cherry pie,
2397,ʻalenuihāhā,  kona gold ,  maui wowie  
2398,ʻalenuihāhā,  kona gold ,  maui wowie  
