,strain,parent_1,parent_2
994,grape ox,grape ape,
995,grape smuggler,  grape ape ,  face off og  
996,grape soda,tahoe og kush,
997,grape stomper,  purple elephant ,  chemdawg sour diesel  
998,grape valley kush,  sfv og ,  grape kush  
999,grape vine,  grape ape ,  do-si-dos  
1000,grapefruit,cinderella 99,
1001,grapefruit diesel,  grapefruit ,  nyc diesel  
1002,grapefruit haze,  grapefruit ,  super silver haze  
1003,gravity,  hash plant ,  northern lights  
1004,grease monkey,  gg4 ,  cookies and cream  
1005,green avenger,  vortex ,  apollo 11  
1006,green cheese,  green crack ,  cheese  
1007,green crack,skunk no. 1,
1008,green crack cbd,green crack,
1009,green crack extreme,green crack,
1010,green dragon,afghani,
1011,green goblin,  northern lights ,  skunk no. 1  
1012,green goddess,skunk #1,
1013,green haze,haze,
1014,green kush,  green crack ,  purple kush  
1015,green lantern,  white rhino ,  green crack  
1016,green line og,  lime skunk ,  ghost og  
1017,green love potion,  black domina ,  lavender  
1018,green magic,white choco,
1019,green mango,  somango ,  master skunk  
1020,green python,  green crack ,  burmese kush  
1021,green queen,  green crack ,  space queen  
1022,green ribbon,green crack,
1023,green magic,white choco,
1024,green mango,  somango ,  master skunk  
1025,green python,  green crack ,  burmese kush  
1026,green queen,  green crack ,  space queen  
1027,green ribbon,green crack,
1028,grilled cheese,cheese quake,
1029,grimace og,  purple urkle ,  face off og  
1030,grimmdica,  hash plant ,  afghani  
1031,guard dawg,abusive og,
1032,guava cake,wedding cake,
1033,guava chem,  stardawg ,  tres dawg  
1034,guava gelato,gelato,
1035,gucci og,og kush,
1036,gummo,  bubble gum ,  orange bud  
1037,gupta haze,  tangerine haze ,  gupta kush  
1038,gupta kush,  ghost og ,  blue moonshine  
1039,guptilla,  gorilla glue #4 ,  gupta kush  
1040,gutbuster,  kimbo kush ,  cookies and cream  
1041,hades og,fire og,
1042,hammerhead,  medicine man ,  white rhino  
1043,hammershark,  dieseltonic ,  shark shock  
1044,haole,  la confidential ,  maui wowie  
1045,haoma,  mendocino purps ,  afghani  
1046,haoma mist,  haoma ,  cannatonic  
1047,hardcore og,  big bud ,  dj short blueberry  
1048,harle tsu,  harlequin ,  sour tsunami  
1049,harlequin gdp,  harlequin ,  granddaddy purple  
1050,harley storm,  harle-tsu ,  thunderstruck  
1051,harley twin,  harlequin ,  harle-tsu  
1052,harry potter,  blissful wizard ,  fire alien kush  
1053,hash plant,  northern lights ,  afghani  
1054,hashbar og,  hash plant ,  face off og  
1055,hashberry,north indian,
1056,hashplant haze,  hash plant ,  cannalope haze  
1057,hawaiian cookies,  hawaiian snow ,  girl scout cookies  
1058,hawaiian diesel,  hawaiian ,  sour diesel  
1059,hashbar og,  hash plant ,  face off og  
1060,hashberry,north indian,
1061,hashplant haze,  hash plant ,  cannalope haze  
1062,hawaiian cookies,  hawaiian snow ,  girl scout cookies  
1063,hawaiian diesel,  hawaiian ,  sour diesel  
1064,hawaiian dream,  blue dream ,  hawaiian  
1065,hawaiian fire,hawaiian,
1066,hawaiian haze,  hawaiian ,  haze  
1067,hawaiian mayan gold,kona gold,
1068,hawaiian punch,hawaiian,
1069,hawaiian purple kush,  hawaiian ,  purple kush  
1070,hawaiian sativa,hawaiian,
1071,hawaiian skunk,skunk no. 1,
1072,hawaiian trinity,  kona gold ,  trinity  
1073,hayley's haze,  outer space ,  alien dutchess  
1074,haze berry,  super silver haze ,  blueberry  
1075,haze wreck,  haze ,  trainwreck  
1076,hazmat og,chemdog 91,
1077,head cheese,  707 headband ,  uk cheese  
1078,head trip,snow lotus,
1079,headband,  og kush ,  sour diesel  
1080,headband cookies bx1,  i-95 ,  mandarin cookies  
1081,heaven scent," ""god s gift""",  green crack  
1082,heavy duty fruity,big bud,
1083,heisenberg kush,blue dream,
1084,hell raiser og,  fire og ,  face off og  
1085,hellfire og,  og kush ,  sfv og kush  
1086,hemlock,  durban poison ,  la confidential  
1087,hempstar,  northern lights #5 ,  haze  
1088,herijuana,petrolia headstash,
1089,high five,  tahoe og kush ,  do-si-dos  
1090,high noon irish cream,  cookies and cream ,  the real mccoy  
1091,highwayman,willy s wonder,
1092,himalayan blackberry,  nepalese ,  north indian  
1093,himalayan gold,  nepalese ,  north indian  
1094,hindu skunk,  hindu kush ,  skunk no. 1  
1095,high noon irish cream,  cookies and cream ,  the real mccoy  
1096,highwayman,willy s wonder,
1097,himalayan blackberry,  nepalese ,  north indian  
1098,himalayan gold,  nepalese ,  north indian  
1099,hindu skunk,  hindu kush ,  skunk no. 1  
1100,hindu sour,  hindu kush ,  sour diesel  
1101,hippie crippler,  ak-47 ,  blue satellite  
1102,hobbit,ginger ale,
1103,holy grail kush,  og #18 ,  kosher kush  
1104,holy roller,do-si-dos,
1105,honey bananas,strawberry banana,
1106,honey boo boo,bubba kush,
1107,hong kong,  sour diesel ,  sensi star  
1108,hoodwreck,  trainwreck ,  purple diesel  
1109,horace,banana og,
1110,huckleberries,zkittlez,
1111,huckleberry diesel,sour diesel,
1112,huckleberry hound,  chemdawg ,  blueberry  
1113,huckleberry soda,  black cherry soda ,  huckleberry hound  
1114,hulkamania,  monster cookies ,  bruce banner  
1115,humboldt,afghani,
1116,humboldt hawaiian,  purple champagne ,  platinum gsc  
1117,humboldt sour diesel,humboldt headband,
1118,humdinger og,sour bubble,
1119,hurkle,  harlequin ,  querkle  
1120,hurricane,la confidential,
1121,iced grapefruit,  ice ,  grapefruit  
1122,ifc og,og kush,
1123,ig kush,  deadhead og ,  og kush  
1124,ice cream cake,  wedding cake ,  gelato #33  
1125,ice princess,  cinderella 99 ,  white widow  
1126,ice queen,  white widow ,  cinderella 99  
1127,ice wreck,  ice ,  trainwreck  
1128,ifc og,og kush,
1129,ig kush,  deadhead og ,  og kush  
1130,ice cream cake,  wedding cake ,  gelato #33  
1131,ice princess,  cinderella 99 ,  white widow  
1132,ice queen,  white widow ,  cinderella 99  
1133,ice wreck,  ice ,  trainwreck  
1134,iced widow,  white widow ,  ice  
1135,ill og,true og,
1136,incredible bulk,  big bud ,  super skunk  
1137,incredible hulk,  green crack ,  jack herer  
1138,industrial plant,  afghani ,  thai  
1139,ingrid,  uk cheese ,  hash plant  
1140,intergalactic,gorilla glue #4,
1141,irene og,og kush,
1142,island sweet skunk,skunk no. 1,
1143,j1,  jack herer ,  skunk no. 1  
1144,jgr,  la confidential ,  blue dream  
1145,jabba's stash,  bubba kush ,  snow lotus  
1146,jack 47,  jack herer ,  ak-47  
1147,jack burton,fortune cookies,
1148,jack diesel,  jack herer ,  nyc diesel  
1149,jack haze,  jack herer ,  super silver haze  
1150,jack skellington,  killer queen ,  jack the ripper  
1151,jack smack,  jack herer ,  herijuana  
1152,jack widow,  white widow ,  jack herer  
1153,jack wreck,  jack herer ,  trainwreck  
1154,jack of spades,  ace of spades ,  jack the ripper  
1155,jack the ripper," ""jack s cleaner""",  space queen  
1156,jack's cleaner,jack herer,
1157,jack's dream,  jack herer ,  blue dream  
1158,jackalope,  chocolope ,  black jack  
1159,jacked up,  jack herer ,  timewreck  
1160,jacky girl,  jack herer ,  girl scout cookies  
1161,jacky white,  jack herer ,  white widow  
1162,jack’s dragon girl #7,jack’s girl,
1163,jah goo,goo,
1164,jackalope,  chocolope ,  black jack  
1165,jacked up,  jack herer ,  timewreck  
1166,jacky girl,  jack herer ,  girl scout cookies  
1167,jacky white,  jack herer ,  white widow  
1168,jack’s dragon girl #7,jack’s girl,
1169,jah goo,goo,
1170,jahwaiian,  hawai’i ‘78 ," ""lamb s bread"" "
1171,jamaican dream,jamaican,
1172,jamaican lion,jamaican,
1173,jamaican pearl," ""marley s collie""",  early pearl  
1174,jawa pie,  key lime pie ,  alien rift  
1175,jean guy,white widow,
1176,jedi kush,  death star ,  sfv og kush  
1177,jelly roll,  god bud ,  grapefruit  
1178,jenny kush,amnesia haze,
1179,jesse's girl,  black cherry og ,  purple og kush  
1180,jesus,  white widow ,  blue dynamite  
1181,jesus og," ""hell s og""",  jack the ripper  
1182,jilly dawg,  jillybean ,  chemdawg 91  
1183,jillybean,  orange velvet ,  space queen  
1184,jim og,  12 year og ,  phishhead kush  
1185,joe's dank,  amnesia haze ,  bubble gum  
1186,johnny’s tonic,cannatonic,
1187,jorge’s diamond,afghani,
1188,juicy fruit,  afghani ,  thai  
1189,juicy jack,  juicy fruit ,  jack herer  
1190,juliet,  cinderella 99 ,  nyc diesel  
1191,julius caesar,  master kush ,  sfv og kush  
1192,jungle juice,  animal cookies ,  tangie  
1193,jungle scout cookies,gsc,
1194,jupiter og,og kush,
1195,k train,  trainwreck ,  og kush  
1196,k2,  hindu kush ,  white widow  
1197,kc 36,white widow,
1198,kt dawg,stardawg,
1199,kaboom," ""jack s cleaner""",  vortex  
1200,kahavvai mode,  northern lights ,  skunk no. 1  
1201,k2,  hindu kush ,  white widow  
1202,kc 36,white widow,
1203,kt dawg,stardawg,
1204,kaboom," ""jack s cleaner""",  vortex  
1205,kahavvai mode,  northern lights ,  skunk no. 1  
1206,kaia kush,  super silver haze ,  og kush  
1207,kailua pua,hawaiian mayan gold,
1208,kalashnikova,  ak-47 ,  white widow  
1209,kali 47,  kali mist ,  ak-47  
1210,kali china,  kali mist ,  china yunnan  
1211,kali dog,  og kush ,  sour diesel  
1212,kandahar,  afghani ,  afghan skunk  
1213,kandy kush,  og kush ,  trainwreck  
1214,karibbean mango,  afghani ,  mango  
1215,karma bitch,  skywalker og ," ""nevil s wreck"" "
1216,karma og,sfv og,
1217,katsu bubba kush,bubba kush,
1218,katsu kush,hindu kush,
1219,kelly hill gold,  acapulco gold ,  chemdawg 4  
1220,kerala krush,  south indian sativa ,  skunk no. 1  
1221,kerosene,  sour diesel ,  the white  
1222,keystone kush,  katsu bubba kush ,  pre-98 bubba kush  
1223,khola,  thai ,  central american  
1224,kid n' kookies,girl scout cookies,
1225,kilimanjaro,african,
1226,kill bill,  killer queen ," ""willy s wonder"" "
1227,killer grape,  killer queen ,  querkle  
1228,killer queen,  g13 ,  cinderella 99  
1229,killing fields,  the one ,  jack herer  
1230,kimbo kush,  blackberry kush ,  starfighter  
1231,king cake,granddaddy purple,
1232,king kong,  ed rosenthal super bud ,  chronic  
1233,king louis xiii,og kush,
1234,king's bread,jamaican,
1235,king's kush,og kush,
1236,kiss,  cheese ,  afghani  
1237,kiwiskunk,  nyc diesel ,  skunk no. 1  
1238,kobain kush,  pre-98 bubba kush ,  white lotus  
1239,king louis xiii,og kush,
1240,king's bread,jamaican,
1241,king's kush,og kush,
1242,kiss,  cheese ,  afghani  
1243,kiwiskunk,  nyc diesel ,  skunk no. 1  
1244,kobain kush,  pre-98 bubba kush ,  white lotus  
1245,kona gold,hawaiian,
1246,kong,  motavation ,  white russian  
1247,kosher tangie,  kosher kush ,  tangie  
1248,krakatoa,mau-mau,
1249,kritikal k,northern lights,
1250,kryptonite,  mendocino purps ,  killer queen  
1251,kuato,blucifer,
1252,kubbie kush,pre-98 bubba kush,
1253,kuchi,  sfv og kush ,  exodus cheese  
1254,kurple fantasy,og kush,
1255,kush ben yamini,black label kush,
1256,kush cleaner," ""jack s cleaner""",  og kush  
1257,kush hemp,pre-98 bubba kush,
1258,kush rise,rug burn og,
1259,kush n cheese,  emerald og ,  uk cheese  
1260,kushadelic,  og kush ,  g13 haze  
1261,kushage,  og kush ,  sage  
1262,kushberry,  og kush ,  blueberry  
1263,l.a. sunshine,  starfighter ,  strawberry diesel  
1264,l.a.k. federal reserve,sfv og,
1265,la cake,  la kush ,  gg4  
1266,la chocolat,  la confidential ,  chocolope  
1267,la confidential,  og la affie ,  afghani  
1268,la kookies,girl scout cookies,
1269,la kush,abusive og,
1270,la ultra,  la confidential ,  mk ultra  
1271,la woman,  martian mean green ,  la confidential  
1272,lapd,  la confidential ,  purple diesel  
1273,lsd,  mazar i sharif ,  skunk no. 1  
1274,lvpk,  purple afghani ,  hindu kush  
1275,la blanca gold,  super skunk ,  skunk no. 1  
1276,la niña,  haze ,  white widow  
1277,ladyburn 1974,jack herer,
1278,lsd,  mazar i sharif ,  skunk no. 1  
1279,lvpk,  purple afghani ,  hindu kush  
1280,la blanca gold,  super skunk ,  skunk no. 1  
1281,la niña,  haze ,  white widow  
1282,ladyburn 1974,jack herer,
1283,lake of fire,  gorilla glue #4 ,  kobain kush  
1284,lamb's bread,jamaican,
1285,lamborghini," ""lamb s bread""",  holy grail kush  
1286,lambs in space,space candy,
1287,lando's stash,snow lotus,
1288,larry bird kush,  sunset sherbet ,  thin mint girl scout cookies  
1289,larry og,  og kush ,  sfv og  
1290,las vegas purple kush bx,sin city kush,
1291,lashkar gah,afghani,
1292,laughing buddha,  thai ,  jamaican  
1293,laughing gas,  sour diesel ,  cherry pie  
1294,lavender haze,  lavender ,  g13 haze  
1295,lavender jones,  purple urkle ,  casey jones  
1296,lazy train,  qrazy train ,  lavender  
1297,leda uno,  kc 33 ,  south american  
1298,lee roy,triangle kush,
1299,legalized og,og kush,
1300,legend og,og kush,
1301,legend of nigeria,legend og,
1302,legendary lemon,  lemon skunk ,  lemon kush  
1303,lem chem,  chemdawg ,  larry og  
1304,lemon alien dawg,  alien dawg ,  lemon kush  
1305,lemon banana sherbet,  lemon skunk ,  sour banana sherbet  
1306,lemon bubble,  super lemon haze ,  silver bubble  
1307,lemon cake,  lemon skunk ,  cheese  
1308,lemon cookies,  lemon haze ,  gsc  
1309,lemon créme,  lemon jack ,  sour cream  
1310,lemon daddy,  super lemon haze ,  granddaddy purple  
1311,lemon diesel,  california sour ,  lost coast og  
1312,lemon g,g13,
1313,lemon garlic og,true og,
1314,lemon haze,  lemon skunk ,  silver haze  
1315,lemon ice,  lemon haze ,  afghani  
1316,lemon jack,  jack herer ,  lemon kush  
1317,lemon jeffery,  golden goat ,  lemon skunk  
1318,lemon kush headband,  super bud ,  headband  
1319,lemon larry lavender,  larry og ,  lavender  
1320,lemon marmalade,deadhead og,
1321,lemon meringue,  lemon skunk ,  cookies and cream  
1322,lemon og haze,  lemon og kush ,  haze  
1323,lemon jack,  jack herer ,  lemon kush  
1324,lemon jeffery,  golden goat ,  lemon skunk  
1325,lemon kush headband,  super bud ,  headband  
1326,lemon larry lavender,  larry og ,  lavender  
1327,lemon marmalade,deadhead og,
1328,lemon meringue,  lemon skunk ,  cookies and cream  
1329,lemon og haze,  lemon og kush ,  haze  
1330,lemon og kush,  lemon skunk ,  og #18  
1331,lemon skunk,skunk no. 1,
1332,lemon sorbet #3,  lemon og kush ,  sherbert  
1333,lemon tangie,  sfv og ,  tangie  
1334,lemon thai kush,  haze ,  white widow  
1335,lemon tree,  lemon skunk ,  sour diesel  
1336,lemon wreck,  sour diesel ,  trainwreck  
1337,lemonberry,lemon thai,
1338,lemonchello 28,  cherry pie ,  the original lemonnade  
1339,lemongrass,  lemon kush ,  gelato  
1340,lemonhead og,  og kush ,  c4  
1341,lennon,  jack herer ,  haze  
1342,lifestar,  lifesaver ,  sensi star  
1343,lifter,suver haze,
1344,light of jah,  jack herer ,  afghani  
1345,lil sebastian,  casper og ,  fpog  
1346,lime green skunk,  super skunk ,  northern lights  
1347,lime skunk,  lemon skunk ,  green ribbon  
1348,lime sorbet,  katsu bubba kush ,  lime skunk  
1349,limon,  sour diesel ,  strawberry diesel  
1350,lion’s milk,  pure kush ,  appalachia  
1351,locktite,  original glue ,  mt. rainier  
1352,locomotion,  blue diesel ,  timewreck  
1353,logic diesel,nyc diesel,
1354,longbottom leaf," ""jack s cleaner""",  sfv og  
1355,loopy fruit," ""willy s wonder""",  blackberry kush  
1356,lost coast ghost,  lost coast og ,  ghost og  
1357,locktite,  original glue ,  mt. rainier  
1358,locomotion,  blue diesel ,  timewreck  
1359,logic diesel,nyc diesel,
1360,longbottom leaf," ""jack s cleaner""",  sfv og  
1361,loopy fruit," ""willy s wonder""",  blackberry kush  
1362,lost coast ghost,  lost coast og ,  ghost og  
1363,lost sierra night nurse,  romulan ,  shishkaberry  
1364,lotus larry,snow lotus,
1365,loud dream,blue dream,
1366,loud lemonade,lemon skunk,
1367,loud scout,  girl scout cookies ,  platinum og  
1368,love boat,  triangle kush ,  snow lotus  
1369,love potion #1,  g13 ,  colombian gold  
1370,love triangle,  triangle kush ,  snow lotus  
1371,lowryder,  northern lights ," ""willy s wonder"" "
1372,luca brasi,  corleone kush ,  pre-98 bubba kush  
1373,luca brasi x sour diesel,sour diesel,
1374,lucid dream,  amnesia haze ,  blue dream  
1375,lucifer og," ""hell s og""",  sfv og kush  
1376,lucy,la confidential,
1377,m 39,  northern lights #5 ,  skunk #1  
1378,m1 56,super silver haze,
1379,mc1,  og kush ,  sour diesel  
1380,milf,  white widow ,  trainwreck  
1381,mk ultra,  og kush ,  g13  
1382,mad dawg,  lemon alien dawg ,  starfighter  
1383,mad scientist,  herijuana ,  white widow  
1384,madcow,  durban poison ,  purple cow  
1385,madman og,  la confidential ,  og kush  
1386,madzilla,  king louis xiii ,  fire og  
1387,mag 91,  mag landrace ,  chemdog 91  
1388,magellan,  oca’s cloud 9 ,  gg4  
1389,magic melon,mango sherbert,
1390,mai tai cookies,acdc,
1391,malakoff," ""arjan s strawberry haze""",  white widow  
1392,malawi,african,
1393,mai tai cookies,acdc,
1394,malakoff," ""arjan s strawberry haze""",  white widow  
1395,malawi,african,
1396,mammoth,  snowcap ,  la confidential  
1397,mandala #1,african,
1398,mandarin sunset,  herijuana ,  orange skunk  
1399,mandarin zkittlez,mandarin sunset,
1400,mango,  afghani ,  kc 33  
1401,mango dream,  mango ,  blue dream  
1402,mango habanero,sfv og,
1403,mango habanero,sfv og,
1404,mango kush,  mango ,  hindu kush  
1405,mango sherbert,  mango kush ,  sunset sherbet  
1406,mango tango,  true og ,  tangie  
1407,mangolicious,  big bud ,  white widow  
1408,manitoba poison,african,
1409,maple leaf indica,afghani,
1410,marcosus marshmellow,girl scout cookies,
1411,margaret cho g,og kush,
1412,marionberry kush,  raspberry kush ,  space queen  
1413,marley's collie,  jamaican ,  maple leaf indica  
1414,martian candy,og kush,
1415,martian mean green,  sharksbreath ,  g13 haze  
1416,martian muffins,  gsc ,  romulan  
1417,master bubba,  master kush ,  bubba kush  
1418,master jedi,  master kush ,  jedi kush  
1419,master kush,hindu kush,
1420,master og,master kush,
1421,master skunk,  master kush ,  skunk #1  
1422,master yoda,  og kush ,  master kush  
1423,mau mau,  blockhead ,  killer queen  
1424,maui,hawaiian,
1425,maui citrus punch,tangelo kush,
1426,maui haole,  romulan ,  maui wowie  
1427,maui mango diesel,  brooklyn mango ,  maui wowie  
1428,maui mango diesel,  brooklyn mango ,  maui wowie  
1429,maui wowie,hawaiian,
1430,maui,hawaiian,
1431,maui citrus punch,tangelo kush,
1432,maui haole,  romulan ,  maui wowie  
1433,maui mango diesel,  brooklyn mango ,  maui wowie  
1434,maui mango diesel,  brooklyn mango ,  maui wowie  
1435,maui wowie,hawaiian,
1436,maui wowie,hawaiian,
1437,mazar i sharif,afghani,
1438,mazar kush,  mazar i sharif ,  afghani  
1439,mazar x blueberry,  blueberry ,  mazar i sharif  
1440,mazar x blueberry,  blueberry ,  mazar i sharif  
1441,mazari,  mazar i sharif ,  skunk no. 1  
1442,mean misty,  secret recipe ,  blue dream  
1443,medihaze," ""neville s haze""",  super silver haze  
1444,melon gum,  lavender ,  bubble gum  
1445,member berry,skunkberry,
1446,memory loss,  amnesia haze ,  face off og  
1447,mendo afgoo,afghani,
1448,mendo breath,  ogkb ,  mendo montage  
1449,mendo montage,mendocino purps,
1450,mendo queen,mendocino purps,
1451,mendo supremo,  mendo queen ,  mendo montage  
1452,mendocino purps,north american indica,
1453,mexican kush,  afghan kush ,  mexican sativa  
1454,mexican sativa,  mexican ,  durban poison  
1455,michael phelps og,og kush,
1456,mickey kush,jack the ripper,
1457,middlefork,dutch treat,
1458,middlefork x pineapple express,  middlefork ,  pineapple express  
1459,mighty glue,sour bubble,
1460,mighty quin,  harlequin ,  city of god  
1461,mike larry,  gelato ,  larry og  
1462,mimosa,  clementine ,  purple punch  
1463,mint chocolate chip,  sinmint cookies ,  green ribbon  
1464,mission kush,  silver surfer ,  haze  
1465,mike larry,  gelato ,  larry og  
1466,mimosa,  clementine ,  purple punch  
1467,mint chocolate chip,  sinmint cookies ,  green ribbon  
1468,mission kush,  silver surfer ,  haze  
1469,moby dick,  white widow ,  haze  
1470,mochi,  sunset sherbet ,  thin mint girl scout cookies  
1471,monkey bread #1,  grease monkey ,  gsc  
1472,monkey thunder,tropic thunder,
1473,monster cookies,  girl scout cookies ,  granddaddy purple  
1474,monster og,  og kush ,  sfv og  
1475,montana silvertip,  super silver haze ,  granddaddy purple  
1476,moon cookies,girl scout cookies,
1477,moon drops,  purple urkle ,  do-si-dos  
1478,moon walk,purple cow,
1479,moondance,  super silver haze ," ""neville s haze"" "
1480,moonshine haze," ""nevil s wreck""",  amnesia haze  
1481,more cowbell,  gsc ,  hash plant  
1482,mossad,  conspiracy kush ,  kosher kush  
1483,motavation,  sensi star ,  warlock  
1484,mother tongue,afgooey,
1485,mother of all cherries,  mother of berries ,  cherry pie  
1486,mother of berries,blueberry,
1487,mother's milk,appalachia,
1488,mothertongue,jesus og,
1489,mother’s finest,jack herer,
1490,mother’s helper,  chocolope ,  northern lights #5  
1491,motorbreath,  chemdog ,  sfv og  
1492,mountain girl x grape ape,  mountain girl ,  grape ape  
1493,mountain temple,appalachia,
1494,mountain thunder,sour bubble,
1495,mr. nice,  g13 ,  hash plant  
1496,ms. universe,space queen,
1497,mt. hood magic,  northern lights #5 ,  durban poison  
1498,mt. rainier,  northern lights #5 ,  white lotus  
1499,mountain thunder,sour bubble,
1500,mr. nice,  g13 ,  hash plant  
1501,ms. universe,space queen,
1502,mt. hood magic,  northern lights #5 ,  durban poison  
1503,mt. rainier,  northern lights #5 ,  white lotus  
1504,murkle,  m-39 ,  purple urkle  
1505,mystery 98,pre-98 bubba kush,
1506,ny cheese,  cheese ,  nyc diesel  
1507,ny 47,  nyc diesel ,  ak-47  
1508,nyc diesel,  afghani ,  mexican  
1509,nypd,  aurora indica ,  mexican  
1510,nana’s fix,grandma’s sugar cookies,
1511,narnia,  jack herer ,  trainwreck  
1512,nchoosha y,thai,
1513,nebula ii cbd,nebula,
1514,negra 44,african,
1515,neil haze,  northern lights #5 ,  haze  
1516,nepalese jam,  nepalese ,  jamaican  
1517,nevil's wreck,  trainwreck ," ""neville s haze"" "
1518,neville's haze,  northern lights #5 ,  haze  
1519,newberry,blueberry,
1520,nice cherry,mr. nice,
1521,nicole kush,kosher kush,
1522,night terror og,  blue dream ,  rare darkness  
1523,night train,trainwreck,
1524,nightfire og,  white fire og ,  white nightmare  
1525,nightmare cookies,  white nightmare ,  girl scout cookies  
1526,nina limone,  super lemon haze ,  rebel god smoke  
1527,ninja fruit,  grapefruit haze ,  grape ape  
1528,nor cal purps,  granddaddy purple ,  grape ape  
1529,nordle,  afghani ,  skunk no. 1  
1530,northern berry,  northern lights #5 ,  blueberry  
1531,northern cross,  chernobyl ,  permafrost  
1532,northern lights,  afghani ,  thai  
1533,northern lights #5,afghani,
1534,northern lights #5 x haze,  northern lights #5 ,  haze  
1535,northern skunk,  northern lights ,  super skunk  
1536,northern berry,  northern lights #5 ,  blueberry  
1537,northern cross,  chernobyl ,  permafrost  
1538,northern lights,  afghani ,  thai  
1539,northern lights #5,afghani,
1540,northern lights #5 x haze,  northern lights #5 ,  haze  
1541,northern skunk,  northern lights ,  super skunk  
1542,northern wreck,  northern lights ,  trainwreck  
1543,northwest pineapple,  oregon pineapple ,  northern lights  
1544,nova,  jack the ripper ,  harlequin  
1545,nuclear cookies,  chernobyl ,  girl scout cookies  
1546,nuken,  shishkaberry ,  god bud  
1547,nurse jackie,jack the ripper,
1548,oca gold,  afghani ,  hindu kush  
1549,og #18,og kush,
1550,og cheese,afghani,
1551,og chem,  chemdawg ,  og kush  
1552,og glue sniffer,gorilla glue #4,
1553,og kush,hindu kush,
1554,og la affie,afghani,
1555,og lime killer,lemon og haze,
1556,og los angeles kush,king louis xiii,
1557,og poison,og kush,
1558,og skunk,  og #18 ,  skunk no. 1  
1559,og sour diesel,  sour og ,  east coast sour diesel  
1560,og strawberry,  og kush ,  afghani  
1561,og strawberry star killer,strawberry diesel,
1562,og wreck,  og kush ,  trainwreck  
1563,ogkb,gsc,
1564,ogkz,  zkittlez ,  ogkb  
1565,ogiesel,sfv og kush,
1566,obama kush,  afghani ,  og kush  
1567,ogre,sensi star,
1568,ogre berry,  ogre ,  afghani  
1569,old dirty biker,  biker kush ,  exodus cheese  
1570,ogre berry,  ogre ,  afghani  
1571,old dirty biker,  biker kush ,  exodus cheese  
1572,omega dawg,  chemdawg ,  space queen  
1573,one to one,amnesia haze,
1574,orange afghani,lashkar gah,
1575,orange blossom,  orange bud ,  og kush  
1576,orange bud,skunk #1,
1577,orange bud,skunk #1,
1578,orange cream,cookies and cream,
1579,orange creamsicle,  orange crush ,  juicy fruit  
1580,orange crush,  california orange ,  blueberry  
1581,orange diesel,  sour diesel ,  agent orange  
1582,orange dream,  orange crush ,  blue dream  
1583,orange durban,durban poison,
1584,orange fanta,agent orange,
1585,orange harambe,mandarin sunset,
1586,orange haze,  orange bud ,  haze  
1587,orange hill special,  orange bud ,  california orange  
1588,orange juice,  og kush ,  california orange  
1589,orange kush,  og kush ,  orange bud  
1590,orange kush breath,orange juice,
1591,orange poison,durban poison,
1592,orange romulan,  orange kush ,  romulan  
1593,orange skunk,  california orange ,  skunk no. 1  
1594,orange snow cone,agent orange,
1595,orange velvet,skunk no. 1,
1596,oregon diesel,  nyc diesel ,  blackberry  
1597,oregon pineapple,  pineapple ,  master kush  
1598,oregon pinot noir,  hawaiian purple kush ,  pitbull  
1599,orient express,china yunnan,
1600,ortega,northern lights,
1601,outer space,  island sweet skunk ,  trinity  
1602,outlaw,  haze ,  amnesia  
1603,p 51,  tahoe og kush ,  blackberry  
1604,p 91,northern lights,
1605,pacific blue,  pre-98 bubba kush ,  dj short blueberry  
1606,outlaw,  haze ,  amnesia  
1607,p 51,  tahoe og kush ,  blackberry  
1608,p 91,northern lights,
1609,pacific blue,  pre-98 bubba kush ,  dj short blueberry  
1610,pacific frost,frosty,
1611,pagoda,  apollo 11 ,  appalachia  
1612,pamelina,girl scout cookies,
1613,pan jam,  panama red ," ""lamb s bread"" "
1614,panama punch,neville s haze,
1615,panama red,central american,
1616,panda og,og chem,
1617,pandora's box,  jack the ripper ,  space queen  
1618,panzer kush,  glass slipper ,  purple pantera  
1619,papa's og,  skywalker og ,  og kush  
1620,papa's og,  skywalker og ,  og kush  
1621,paris og,  headband ,  lemon og kush  
1622,peach cobbler,  strawberry banana ,  dream queen  
1623,peach crescendo f 1,  i-95 ,  mandarin cookies  
1624,peach puree,  sweet diesel ,  california orange  
1625,peaches and cream,skunk no. 1,
1626,peachy mack,  golden pineapple ,  peaches and cream  
1627,pearl scout cookies,girl scout cookies,
1628,pele's fire og,fire og,
1629,pennywise,  jack the ripper ,  harlequin  
1630,peppermint cookies,girl scout cookies,
1631,permafrost,  trainwreck ,  white widow  
1632,pestilence,abusive og,
1633,petrolia headstash,afghani,
1634,peyote cookies,cookies kush,
1635,peyton manning,  sfv og ,  chemdawg 91  
1636,pez,afghani,
1637,phantom arrow,  purple arrow ,  pink champagne  
1638,phantom cookies,  granddaddy purple ,  cherry pie  
1639,phantom og,og kush,
1640,pheno 51,  star killer ,  skywalker og  
1641,phishhead kush,afghani,
1642,pie face og,  cherry pie ,  face off og  
1643,pie hoe,tahoe og kush,
1644,pine cone,cinex,
1645,pine queen dream,blue dream,
1646,pineapple,ed rosenthal super bud,
1647,pineapple calyx,  pineapple og ,  pineapple cookies  
1648,pineapple calyx,  pineapple og ,  pineapple cookies  
