,category,strain
923,hybrid,daywalker
924,hybrid,dedutch
925,hybrid,deadhead og
926,hybrid,deadlights
927,indica,deadwood
928,indica,death bubba
929,hybrid,death by cake og
930,indica,death star
931,indica,deathstar og
932,hybrid,dedoverde haze
933,hybrid,deep breath
934,hybrid,deep cheese
935,indica,deep chunk
936,indica,deep purple
937,indica,deep sleep
938,sativa,delahaze
939,indica,denver maple
940,hybrid,destar bx
941,hybrid,desert diesel
942,hybrid,desert star
943,hybrid,designer og
944,sativa,destroyer
945,indica,devil fruit
946,sativa,devils tit
947,hybrid,diabla
948,indica,diablo
949,indica,diamond og
950,hybrid,diamond socks
951,hybrid,diamond valley kush
952,hybrid,diesel dough
953,hybrid,diesel duff
954,hybrid,diesel glue
955,hybrid,diabla
956,indica,diablo
957,indica,diamond og
958,hybrid,diamond socks
959,hybrid,diamond valley kush
960,hybrid,diesel dough
961,hybrid,diesel duff
962,hybrid,diesel glue
963,hybrid,dieseltonic
964,indica,digweed
965,hybrid,dinachem
966,hybrid,dirt nap
967,sativa,dirty girl
968,indica,dirty old bastard
969,hybrid,dirty widow
970,hybrid,disney blue
971,hybrid,divina obscura
972,hybrid,dizzy og
973,sativa,django
974,hybrid,do over og
975,indica,do si dos
976,hybrid,doc holliday
977,sativa,doctor doctor
978,hybrid,doctor jamaica
979,hybrid,dog face
980,hybrid,dog shit
981,hybrid,dogwalker og
982,indica,dolla sign og kush
983,indica,domino
984,hybrid,don carlos
985,hybrid,don shula
986,hybrid,dons ghost
987,hybrid,donegal
988,indica,donkey butter
989,hybrid,donna og
990,hybrid,doobiebird daydream
991,hybrid,doox 9e52aaec47524b6088792c10b9d341d0
992,sativa,doox
993,hybrid,dopium
994,indica,dorit
995,hybrid,dosi woah r1
996,hybrid,double barrel og
997,sativa,double diesel
998,hybrid,double dream
999,hybrid,double dutch
1000,hybrid,double lemon pie
1001,indica,double mint
1002,indica,double og
1003,indica,double purple doja
1004,hybrid,double tangie banana
1005,indica,double tap
1006,sativa,dougs varin
1007,hybrid,dr bubbles
1008,hybrid,dr clemenstein
1009,hybrid,dr feelgood
1010,indica,dr funk
1011,indica,double purple doja
1012,hybrid,double tangie banana
1013,indica,double tap
1014,sativa,dougs varin
1015,hybrid,dr bubbles
1016,hybrid,dr clemenstein
1017,hybrid,dr feelgood
1018,indica,dr funk
1019,hybrid,dr greenthumbs em dog
1020,sativa,dr grinspoon
1021,hybrid,dr quantum
1022,hybrid,dr who
1023,hybrid,dragon fruit
1024,hybrid,dragon og
1025,hybrid,dragon punch 70d5bf53968c4346905edb7cf4323ec8
1026,hybrid,dragon punch
1027,hybrid,dragons breath
1028,hybrid,dreadlock
1029,sativa,dream beaver
1030,indica,dream berry
1031,hybrid,dream girl
1032,hybrid,dream lotus
1033,hybrid,dream machine
1034,hybrid,dream police
1035,hybrid,dream queen
1036,hybrid,dream star
1037,hybrid,dreamcatcher
1038,hybrid,dreamers glass
1039,sativa,drizella
1040,hybrid,duct tape
1041,hybrid,duke nukem
1042,hybrid,durban berry
1043,hybrid,durban cheese
1044,sativa,durban cookies
1045,sativa,durban poison
1046,sativa,durban princess
1047,indica,durga mata
1048,hybrid,dutch 47
1049,hybrid,dutch crunch
1050,sativa,dutch dragon
1051,hybrid,dutch dynasty
1052,hybrid,dutch hawaiian f26d85d8964844c0a3e447bceefefa9f
1053,sativa,dutch hawaiian
1054,sativa,dutch haze
1055,indica,dutch kush
1056,hybrid,dutch queen
1057,hybrid,dutch thunder fuck
1058,hybrid,dutch treat
1059,hybrid,dutch treat haze
1060,hybrid,dutchberry
1061,indica,dynamite
1062,hybrid,eagle bill
1063,indica,early girl
1064,hybrid,early glue rbx1
1065,hybrid,early miss
1066,sativa,early pearl
1067,hybrid,dutch treat haze
1068,hybrid,dutchberry
1069,indica,dynamite
1070,hybrid,eagle bill
1071,indica,early girl
1072,hybrid,early glue rbx1
1073,hybrid,early miss
1074,sativa,early pearl
1075,hybrid,early skunk
1076,hybrid,earth og
1077,hybrid,earthquake
1078,hybrid,earthshaker og
1079,sativa,east coast alien
1080,sativa,east coast sour diesel
1081,indica,eastern european
1082,hybrid,easy bud
1083,hybrid,easy peezy
1084,hybrid,ebola 7
1085,hybrid,ecto cooler
1086,hybrid,ed rosenthal super bud
1087,indica,edelweiss
1088,hybrid,egyptian musk
1089,indica,egyptian royalty 1
1090,hybrid,el chapo
1091,indica,el chapo og
1092,indica,el jeffe
1093,hybrid,el nino
1094,hybrid,el perro
1095,hybrid,el na
1096,hybrid,elderberry kush
1097,indica,electric black mamba
1098,hybrid,electric kool aid
1099,sativa,electric lemon g
1100,sativa,electric lemonade
1101,hybrid,elektra
1102,sativa,elephant
1103,hybrid,elevated og
1104,hybrid,elmers glue
1105,sativa,elphinstone
1106,hybrid,elvis
1107,sativa,emerald jack
1108,indica,emerald og
1109,hybrid,emperor cookie dough
1110,indica,endless sky
1111,indica,enemy of the state
1112,indica,enigma
1113,indica,eran almog
1114,indica,erdpurt
1115,indica,erez
1116,indica,ether
1117,sativa,ethiopian
1118,hybrid,ethos apex
1119,hybrid,ethos hash plant bx1
1120,sativa,euphoria
1121,hybrid,eugene cream
1122,hybrid,euphoria cookies
1123,indica,erez
1124,indica,ether
1125,sativa,ethiopian
1126,hybrid,ethos apex
1127,hybrid,ethos hash plant bx1
1128,sativa,euphoria
1129,hybrid,eugene cream
1130,hybrid,euphoria cookies
1131,indica,everlast
1132,hybrid,exodus cheese
1133,indica,extreme cream
1134,indica,extreme og
1135,hybrid,f 13
1136,sativa,f 13 throwback
1137,indica,fn louzer
1138,hybrid,f cut og
1139,hybrid,fpog
1140,hybrid,face off bx2
1141,indica,face off og
1142,hybrid,face on fire
1143,sativa,faded glory
1144,hybrid,fall 97
1145,indica,fallen angel
1146,hybrid,false teeth
1147,hybrid,fast eddy
1148,hybrid,fat axl
1149,hybrid,fat nelson
1150,indica,fat purple
1151,hybrid,fauxsido
1152,indica,faygo red pop
1153,sativa,fighting buddha
1154,hybrid,fire alien kush
1155,hybrid,fire alien master
1156,hybrid,fire alien romulan
1157,hybrid,fire alien strawberry
1158,hybrid,fire alien urkle
1159,sativa,fire haze
1160,hybrid,fire og
1161,sativa,firewalker og
1162,hybrid,first 48
1163,hybrid,first light
1164,indica,flaming cookies
1165,hybrid,flo
1166,sativa,flo limone
1167,indica,flo og
1168,hybrid,flo walker
1169,hybrid,florida og
1170,indica,flowerbomb kush
1171,hybrid,flowers for algernon
1172,indica,focaccia
1173,indica,forbidden fruit
1174,hybrid,forbidden zkittlez
1175,hybrid,formula one
1176,hybrid,fortune cookies
1177,hybrid,forum cut cookies s1
1178,indica,foul mouth
1179,hybrid,flowers for algernon
1180,indica,focaccia
1181,indica,forbidden fruit
1182,hybrid,forbidden zkittlez
1183,hybrid,formula one
1184,hybrid,fortune cookies
1185,hybrid,forum cut cookies s1
1186,indica,foul mouth
1187,hybrid,four cups
1188,hybrid,four star general
1189,indica,four way
1190,hybrid,franks gift
1191,indica,frankenstein
1192,indica,fred flipn stoned
1193,indica,freezeland
1194,indica,french bread
1195,indica,frida
1196,hybrid,frisian dew
1197,hybrid,frisian duck
1198,sativa,frostbite
1199,hybrid,frosted cherry cookies
1200,hybrid,frosted freak
1201,indica,frosty
1202,hybrid,frosty jesus
1203,hybrid,frozen tangerines
1204,hybrid,fruit crusher
1205,hybrid,fruit loop og
1206,hybrid,fruit loops
1207,sativa,fruit punch
1208,hybrid,fruit spirit
1209,indica,fruity chronic juice
1210,hybrid,fruity juice
1211,hybrid,fruity widow
1212,indica,fruitylicious
1213,indica,fucking incredible
1214,sativa,full moon
1215,hybrid,funfetti
1216,indica,funky monkey
1217,hybrid,future
1218,hybrid,fuzzy navel
1219,hybrid,g cut
1220,indica,g force
1221,indica,g1000
1222,hybrid,goat
1223,indica,g 13
1224,hybrid,g13 diesel
1225,hybrid,g13 haze
1226,hybrid,g13 widow
1227,hybrid,gdp electric
1228,hybrid,gi 001
1229,indica,gmo cookies
1230,hybrid,griz kush
1231,hybrid,gsc
1232,hybrid,gto
1233,hybrid,gabriel sherbet
1234,sativa,galactic jack
1235,hybrid,gdp electric
1236,hybrid,gi 001
1237,indica,gmo cookies
1238,hybrid,griz kush
1239,hybrid,gsc
1240,hybrid,gto
1241,hybrid,gabriel sherbet
1242,sativa,galactic jack
1243,indica,galactica og
1244,hybrid,game changer
1245,hybrid,gammaberry
1246,indica,gandalf og
1247,hybrid,ganesh berry
1248,indica,garlic bud
1249,indica,gas mask
1250,hybrid,gaswerx
1251,hybrid,gatekeeper og
1252,hybrid,gelato
1253,hybrid,gelato 33
1254,hybrid,gemstone
1255,hybrid,georgia pine
1256,hybrid,ghetto bird
1257,hybrid,ghost bubba
1258,hybrid,ghost cookies
1259,hybrid,ghost og
1260,indica,ghost og moonshine
1261,indica,ghost rider og
1262,indica,ghost ship
1263,hybrid,ghost tange haze
1264,sativa,ghost train haze
1265,hybrid,ghostbreath
1266,indica,gigabud
1267,hybrid,gilz nilz
1268,hybrid,ginger ale
1269,hybrid,ginger punch
1270,hybrid,glad max
1271,hybrid,glass apple
1272,hybrid,glass slipper
1273,hybrid,glue tech
1274,hybrid,gluechee
1275,hybrid,gnome walker
1276,hybrid,go time
1277,hybrid,goat head
1278,indica,gobbilygoo
1279,indica,gobbstopper
1280,indica,god bud
1281,indica,gods gift
1282,hybrid,gods green crack
1283,indica,godberry
1284,indica,godfather og
1285,indica,godfather purple kush
1286,indica,godzilla
1287,hybrid,godzilla blood
1288,hybrid,godzilla glue
1289,indica,gods bubba
1290,indica,gods treat
1291,indica,godberry
1292,indica,godfather og
1293,indica,godfather purple kush
1294,indica,godzilla
1295,hybrid,godzilla blood
1296,hybrid,godzilla glue
1297,indica,gods bubba
1298,indica,gods treat
1299,indica,gog magog
1300,hybrid,goji diesel
1301,hybrid,goji og
1302,sativa,gold kings thai
1303,hybrid,gold star
1304,indica,goldberry
1305,sativa,golden calyx
1306,hybrid,golden gage
1307,hybrid,golden goat
1308,hybrid,golden lemon
1309,hybrid,golden nugget
1310,hybrid,golden panda
1311,hybrid,golden pineapple
1312,hybrid,golden soda
1313,indica,golden state banana
1314,sativa,golden tangie
1315,hybrid,golden ticket
1316,sativa,golden tiger
1317,sativa,goldwing
1318,indica,goo
1319,indica,gooberry
1320,hybrid,good medicine
1321,indica,gorilla biscuit
1322,hybrid,gorilla breath
1323,hybrid,gorilla cookies
1324,hybrid,gorilla girl
1325,indica,gorilla grips
1326,hybrid,gorilla snacks
1327,sativa,gorkle
1328,indica,government mule
1329,indica,grand doggy purps
1330,indica,grand hindu
1331,hybrid,grand hustle
1332,indica,granddaddy purple
1333,hybrid,granddaddy wonder
1334,hybrid,grandma andersons cookies
1335,hybrid,grandmas batch
1336,indica,grandmas sugar cookies
1337,indica,grandpa larry og
1338,indica,grandpas breath
1339,hybrid,grandpas stash
1340,hybrid,granola funk
1341,indica,grape ape
1342,hybrid,grape bubba
1343,hybrid,grape cake
1344,hybrid,grape calyx
1345,hybrid,grape candy
1346,indica,grape cookies
1347,hybrid,grandpas stash
1348,hybrid,granola funk
1349,indica,grape ape
1350,hybrid,grape bubba
1351,hybrid,grape cake
1352,hybrid,grape calyx
1353,hybrid,grape candy
1354,indica,grape cookies
1355,hybrid,grape dawg
1356,indica,grape drink
1357,hybrid,grape god
1358,hybrid,grape god bud
1359,indica,grape inferno
1360,hybrid,grape jelly
1361,indica,grape krush
1362,hybrid,grape krush throwback
1363,hybrid,grape kush
1364,indica,grape ox
1365,indica,grape skunk
1366,hybrid,grape smuggler
1367,hybrid,grape soda
1368,hybrid,sour grapes
1369,indica,grape valley kush
1370,hybrid,grape vine
1371,sativa,grapefruit
1372,hybrid,grapefruit diesel
1373,sativa,grapefruit haze
1374,hybrid,grapefruit kush
1375,indica,gravity
1376,hybrid,grease monkey
1377,sativa,white shark
1378,hybrid,green avenger
1379,sativa,green candy
