,strain,flavor_1,flavor_2,flavor_3
170,argyle, 1. spicy/herbal, 2. earthy, 3. woody 
171,arjans strawberry haze, 1. strawberry, 2. sweet, 3. berry 
172,arjans ultra haze 1, 1. mint, 2. pepper, 3. earthy 
173,armageddon, 1. citrus, 2. earthy, 3. woody 
174,armagnac, 1. earthy, 2. flowery, 3. skunk 
175,ash, 1. pungent, 2. skunk, 3. spicy/herbal 
176,asian fantasy, 1. flowery, 2. vanilla, 3. earthy 
177,aspen og, 1. spicy/herbal, 2. blueberry, 3. earthy 
178,astral works, 1. earthy, 2. flowery, 3. spicy/herbal 
179,astroboy, 1. citrus, 2. flowery, 3. sweet 
180,athabasca, 1. earthy, 2. mint, 3. apricot 
181,atmosphere, 1. flowery, 2. pungent, 3. woody 
182,atomic, 1. earthy, 2. sweet, 3. woody 
183,atomic goat, 1. spicy/herbal, 2. nutty, 3. sage 
184,atomic northern lights, 1. sweet, 2. earthy, 3. pine 
185,atomical haze, 1. pungent, 2. skunk, 3. earthy 
186,aurora borealis, 1. earthy, 2. woody, 3. flowery 
187,aurora indica, 1. earthy, 2. woody, 3. spicy/herbal 
188,avalon, 1. blueberry, 2. earthy, 3. nutty 
189,avi, 1. earthy, 2. pungent ,
190,avi dekel, 1. earthy, 2. pine, 3. sweet 
191,ayahuasca purple, 1. earthy, 2. woody, 3. nutty 
192,azure haze, 1. sweet, 2. blueberry, 3. berry 
193,b 52, 1. earthy, 2. sweet, 3. berry 
194,b witched, 1. spicy/herbal, 2. earthy, 3. berry 
195,b witched, 1. spicy/herbal, 2. earthy, 3. berry 
196,bb king, 1. berry, 2. lemon, 3. citrus 
197,b4, 1. citrus, 2. lime, 3. lemon 
198,bc big bud, 1. earthy, 2. sweet, 3. pungent 
199,bc roadkill, 1. citrus, 2. tropical, 3. pungent 
200,bc sweet tooth, 1. sweet, 2. flowery, 3. grape 
201,bog bubble, 1. flowery, 2. berry, 3. blueberry 
202,bsc, 1. sweet, 2. vanilla, 3. earthy 
203,bakerstreet, 1. earthy, 2. woody, 3. diesel 
204,balmoral, 1. earthy, 2. cheese, 3. pungent 
205,banana bread, 1. earthy, 2. chemical, 3. coffee 
206,banana candy, 1. sweet, 2. tropical, 3. mango 
207,bog bubble, 1. flowery, 2. berry, 3. blueberry 
208,bsc, 1. sweet, 2. vanilla, 3. earthy 
209,bakerstreet, 1. earthy, 2. woody, 3. diesel 
210,balmoral, 1. earthy, 2. cheese, 3. pungent 
211,banana bread, 1. earthy, 2. chemical, 3. coffee 
212,banana candy, 1. sweet, 2. tropical, 3. mango 
213,banana cream og, 1. pine, 2. citrus, 3. sweet 
214,banana diesel, 1. diesel, 2. tropical, 3. berry 
215,banana hammock r1, 1. sweet, 2. tree fruit, 3. citrus 
216,banana kush, 1. sweet, 2. tropical, 3. tree fruit 
217,banana og, 1. earthy, 2. sweet, 3. tree fruit 
218,banana peel, 1. sweet, 2. tree fruit, 3. diesel 
219,banana split, 1. citrus, 2. tropical, 3. sweet 
220,bananas, 1. tropical, 2. sweet, 3. tree fruit 
221,bandana, 1. sweet, 2. earthy, 3. pungent 
222,bangi haze, 1. berry, 2. skunk, 3. pungent 
223,bango, 1. pungent, 2. chemical, 3. citrus 
224,banjo, 1. diesel, 2. pungent, 3. cheese 
225,barbara bud, 1. sweet, 2. citrus, 3. earthy 
226,batman og, 1. skunk, 2. pungent, 3. pine 
227,bay 11, 1. earthy, 2. sweet, 3. pine 
228,bay dream, 1. flowery, 2. sweet, 3. citrus 
229,bazooka joe g, 1. berry, 2. flowery, 3. sweet 
230,bear dance, 1. sweet, 2. pungent, 3. citrus 
231,beast mode 20, 1. woody, 2. pine, 3. lemon 
232,beast mode og, 1. earthy, 2. flowery, 3. pine 
233,beckwourth bud, 1. nutty, 2. spicy/herbal, 3. coffee 
234,bedford glue, 1. woody, 2. earthy, 3. ammonia 
235,bedica, 1. woody, 2. chemical, 3. citrus 
236,bediol, 1. citrus, 2. earthy, 3. lemon 
237,bell ringer, 1. citrus, 2. pungent, 3. pine 
238,belladonna, 1. earthy, 2. nutty, 3. tar 
239,berkeley, 1. citrus, 2. pungent, 3. sweet 
240,bermuda sour, 1. citrus, 2. diesel, 3. sweet 
241,berries  crme, 1. blueberry ,,
242,berry bomb, 1. berry, 2. blueberry, 3. pine 
243,berry larry, 1. berry, 2. earthy, 3. pine 
244,berry noir, 1. berry, 2. earthy, 3. flowery 
245,berry og, 1. berry, 2. sweet, 3. flowery 
246,berry white, 1. berry, 2. blueberry, 3. earthy 
247,bertberry cheesecake, 1. cheese, 2. berry, 3. citrus 
248,bettie page, 1. cheese, 2. berry, 3. blueberry 
249,bianca, 1. woody, 2. earthy, 3. spicy/herbal 
250,biddy early, 1. sweet, 2. flowery, 3. lavender 
251,big band, 1. sweet, 2. tropical, 3. woody 
252,big bang, 1. sweet, 2. berry, 3. lemon 
253,bertberry cheesecake, 1. cheese, 2. berry, 3. citrus 
254,bettie page, 1. cheese, 2. berry, 3. blueberry 
255,bianca, 1. woody, 2. earthy, 3. spicy/herbal 
256,biddy early, 1. sweet, 2. flowery, 3. lavender 
257,big band, 1. sweet, 2. tropical, 3. woody 
258,big bang, 1. sweet, 2. berry, 3. lemon 
259,big bud, 1. woody, 2. pine, 3. earthy 
260,big budda cheese, 1. cheese, 2. diesel, 3. skunk 
261,big bull, 1. earthy, 2. woody, 3. nutty 
262,big holy nina, 1. lime, 2. earthy, 3. honey 
263,big kush, 1. lemon, 2. citrus, 3. pine 
264,big mac, 1. berry, 2. blueberry, 3. citrus 
265,big skunk korean, 1. flowery, 2. skunk ,
