,strain,flavor_1,flavor_2,flavor_3
947,early girl, 1. sweet, 2. citrus, 3. pungent 
948,early glue rbx1, 1. diesel, 2. pepper, 3. pungent 
949,early miss, 1. pepper, 2. ammonia, 3. chemical 
950,early pearl, 1. tea, 2. sweet, 3. earthy 
951,dutch treat haze, 1. earthy, 2. skunk, 3. sweet 
952,dutchberry, 1. berry, 2. blueberry, 3. earthy 
953,dynamite, 1. grapefruit, 2. pungent, 3. sweet 
954,early girl, 1. sweet, 2. citrus, 3. pungent 
955,early glue rbx1, 1. diesel, 2. pepper, 3. pungent 
956,early miss, 1. pepper, 2. ammonia, 3. chemical 
957,early pearl, 1. tea, 2. sweet, 3. earthy 
958,early skunk, 1. flowery, 2. earthy, 3. woody 
959,earth og, 1. earthy, 2. woody, 3. pepper 
960,earthquake, 1. earthy, 2. woody, 3. coffee 
961,earthshaker og, 1. earthy, 2. cheese, 3. flowery 
962,east coast alien, 1. diesel, 2. earthy, 3. mint 
963,east coast sour diesel, 1. diesel, 2. earthy, 3. citrus 
964,eastern european, 1. earthy, 2. pine, 3. woody 
965,easy bud, 1. pine, 2. sweet, 3. woody 
966,easy peezy, 1. lemon, 2. earthy, 3. spicy/herbal 
967,ebola 7, 1. sweet, 2. pine, 3. spicy/herbal 
968,ecto cooler, 1. orange, 2. diesel, 3. pine 
969,ed rosenthal super bud, 1. spicy/herbal, 2. nutty, 3. earthy 
970,edelweiss, 1. mint, 2. flowery, 3. sweet 
971,el chapo, 1. sweet, 2. chemical, 3. diesel 
972,el chapo og, 1. earthy, 2. pine, 3. pungent 
973,el jeffe, 1. earthy, 2. spicy/herbal, 3. grape 
974,el nino, 1. sweet, 2. flowery, 3. tree fruit 
975,el perro, 1. earthy, 2. diesel, 3. flowery 
976,el na, 1. earthy, 2. pine, 3. pungent 
977,elderberry kush, 1. sweet, 2. citrus, 3. berry 
978,electric black mamba, 1. nutty, 2. woody, 3. sweet 
979,electric kool aid, 1. berry, 2. sweet, 3. grape 
980,electric lemon g, 1. lemon, 2. citrus, 3. lime 
981,electric lemonade, 1. lemon, 2. citrus, 3. sweet 
982,elektra, 1. earthy, 2. chemical, 3. citrus 
983,elephant, 1. earthy, 2. sweet, 3. tropical 
984,elmers glue, 1. earthy, 2. pungent, 3. pine 
985,elphinstone, 1. citrus, 2. pine, 3. skunk 
986,elvis, 1. skunk, 2. sweet, 3. earthy 
987,emerald jack, 1. sweet, 2. woody, 3. spicy/herbal 
988,emerald og, 1. earthy, 2. citrus, 3. sweet 
989,emperor cookie dough, 1. citrus, 2. earthy, 3. pine 
990,endless sky, 1. berry, 2. sweet, 3. butter 
991,enemy of the state, 1. earthy, 2. woody, 3. nutty 
992,enigma, 1. citrus, 2. pungent, 3. earthy 
993,eran almog, 1. woody, 2. earthy, 3. citrus 
994,erez, 1. spicy/herbal, 2. berry, 3. blueberry 
995,ethiopian, 1. citrus, 2. coffee, 3. pepper 
996,euphoria, 1. woody, 2. sweet, 3. earthy 
997,eugene cream, 1. earthy, 2. sweet, 3. berry 
998,euphoria cookies, 1. coffee, 2. sweet, 3. citrus 
999,erez, 1. spicy/herbal, 2. berry, 3. blueberry 
1000,ethiopian, 1. citrus, 2. coffee, 3. pepper 
1001,euphoria, 1. woody, 2. sweet, 3. earthy 
1002,eugene cream, 1. earthy, 2. sweet, 3. berry 
1003,euphoria cookies, 1. coffee, 2. sweet, 3. citrus 
1004,everlast, 1. flowery, 2. earthy, 3. spicy/herbal 
1005,exodus cheese, 1. cheese, 2. pungent, 3. blueberry 
1006,extreme cream, 1. butter, 2. earthy, 3. sweet 
1007,extreme og, 1. earthy, 2. lime, 3. pine 
1008,f 13, 1. berry, 2. earthy, 3. pungent 
1009,fn louzer, 1. diesel, 2. chemical, 3. earthy 
1010,fpog, 1. sweet, 2. berry, 3. tropical 
1011,face off bx2, 1. diesel, 2. earthy, 3. flowery 
1012,face off og, 1. sweet, 2. diesel, 3. pine 
1013,face on fire, 1. lavender, 2. pine, 3. pungent 
1014,faded glory, 1. berry, 2. cheese, 3. skunk 
1015,fallen angel, 1. earthy, 2. pungent, 3. woody 
1016,false teeth, 1. earthy, 2. sweet, 3. grape 
1017,fast eddy, 1. pine, 2. earthy, 3. citrus 
1018,fat axl, 1. earthy, 2. pine, 3. woody 
1019,fat nelson, 1. pungent, 2. citrus, 3. diesel 
1020,fat purple, 1. grape, 2. berry, 3. sweet 
1021,fauxsido, 1. diesel, 2. pungent, 3. sage 
1022,faygo red pop, 1. strawberry, 2. sweet, 3. berry 
1023,fire alien kush, 1. lime, 2. earthy, 3. woody 
1024,fire alien strawberry, 1. sweet, 2. spicy/herbal, 3. earthy 
1025,fire haze, 1. earthy, 2. spicy/herbal, 3. woody 
1026,fire og, 1. earthy, 2. lemon, 3. woody 
1027,firewalker og, 1. citrus, 2. spicy/herbal, 3. pine 
1028,first 48, 1. earthy, 2. pungent, 3. woody 
1029,first light, 1. blueberry, 2. citrus ,
1030,flaming cookies, 1. spicy/herbal, 2. earthy, 3. pungent 
1031,flo, 1. earthy, 2. sweet, 3. pine 
1032,flo limone, 1. lemon, 2. sweet, 3. citrus 
1033,flo og, 1. earthy, 2. sweet, 3. pungent 
1034,flo walker, 1. mango, 2. citrus, 3. earthy 
1035,flowerbomb kush, 1. spicy/herbal, 2. flowery, 3. sweet 
1036,flowers for algernon, 1. diesel, 2. citrus, 3. lemon 
1037,forbidden fruit, 1. citrus, 2. grapefruit, 3. tropical 
1038,formula one, 1. citrus, 2. diesel, 3. flowery 
1039,fortune cookies, 1. honey, 2. flowery, 3. skunk 
1040,forum cut cookies s1, 1. sweet, 2. pungent, 3. pine 
1041,foul mouth, 1. earthy, 2. woody, 3. citrus 
1042,flowers for algernon, 1. diesel, 2. citrus, 3. lemon 
1043,forbidden fruit, 1. citrus, 2. grapefruit, 3. tropical 
1044,formula one, 1. citrus, 2. diesel, 3. flowery 
1045,fortune cookies, 1. honey, 2. flowery, 3. skunk 
1046,forum cut cookies s1, 1. sweet, 2. pungent, 3. pine 
1047,foul mouth, 1. earthy, 2. woody, 3. citrus 
1048,four cups, 1. earthy, 2. diesel, 3. pungent 
1049,four star general, 1. diesel, 2. earthy, 3. flowery 
1050,four way, 1. pepper, 2. earthy, 3. tree fruit 
1051,franks gift, 1. earthy, 2. woody, 3. sweet 
1052,frankenstein, 1. earthy, 2. citrus, 3. sweet 
1053,fred flipn stoned, 1. chestnut, 2. earthy, 3. pine 
1054,freezeland, 1. sweet, 2. woody, 3. pine 
1055,french bread, 1. pine, 2. chestnut, 3. coffee 
1056,frida, 1. lemon, 2. citrus, 3. earthy 
1057,frisian dew, 1. woody, 2. citrus, 3. earthy 
1058,frisian duck, 1. pine, 2. woody, 3. sweet 
1059,frostbite, 1. earthy, 2. tea, 3. pine 
1060,frosted cherry cookies, 1. berry, 2. blueberry, 3. flowery 
1061,frosted freak, 1. mint, 2. citrus, 3. orange 
1062,frosty, 1. pungent, 2. earthy, 3. sweet 
1063,frosty jesus, 1. diesel, 2. earthy, 3. pungent 
1064,fruit crusher, 1. cheese, 2. citrus, 3. earthy 
1065,fruit loop og, 1. berry, 2. sage, 3. sweet 
1066,fruit loops, 1. sweet, 2. berry, 3. grapefruit 
1067,fruit punch, 1. berry, 2. sweet, 3. tropical 
1068,fruit spirit, 1. spicy/herbal, 2. earthy, 3. berry 
1069,fruity chronic juice, 1. citrus, 2. flowery, 3. tropical 
1070,fruity widow, 1. blueberry, 2. sweet ,
1071,fruitylicious, 1. sweet, 2. blueberry, 3. earthy 
1072,fucking incredible, 1. sweet, 2. pungent, 3. skunk 
1073,full moon, 1. earthy, 2. pungent, 3. pine 
1074,funfetti, 1. sweet, 2. flowery, 3. berry 
1075,funky monkey, 1. berry, 2. sweet, 3. grape 
1076,future, 1. sweet, 2. skunk, 3. earthy 
1077,goat, 1. earthy, 2. lemon, 3. pungent 
1078,g 13, 1. earthy, 2. pine, 3. woody 
1079,g13 diesel, 1. sweet, 2. diesel, 3. earthy 
1080,g13 haze, 1. lemon, 2. woody, 3. sweet 
1081,g13 widow, 1. earthy, 2. flowery, 3. lime 
1082,gdp electric, 1. lavender, 2. berry, 3. tropical 
1083,gi 001, 1. lime, 2. lemon, 3. citrus 
1084,gmo cookies, 1. earthy, 2. pungent, 3. chemical 
1085,griz kush, 1. skunk, 2. woody, 3. lemon 
1086,gsc, 1. sweet, 2. earthy, 3. flowery 
1087,gto, 1. blueberry ,,
1088,gabriel sherbet, 1. sweet, 2. blueberry, 3. mint 
1089,galactic jack, 1. lemon, 2. sweet, 3. grapefruit 
1090,gdp electric, 1. lavender, 2. berry, 3. tropical 
1091,gi 001, 1. lime, 2. lemon, 3. citrus 
1092,gmo cookies, 1. earthy, 2. pungent, 3. chemical 
1093,griz kush, 1. skunk, 2. woody, 3. lemon 
1094,gsc, 1. sweet, 2. earthy, 3. flowery 
1095,gto, 1. blueberry ,,
1096,gabriel sherbet, 1. sweet, 2. blueberry, 3. mint 
1097,galactic jack, 1. lemon, 2. sweet, 3. grapefruit 
1098,galactica og, 1. skunk, 2. citrus, 3. earthy 
1099,game changer, 1. flowery, 2. lemon, 3. woody 
1100,gandalf og, 1. sweet, 2. berry, 3. citrus 
1101,ganesh berry, 1. flowery, 2. berry, 3. sweet 
1102,garlic bud, 1. earthy, 2. woody, 3. pungent 
1103,gas mask, 1. pungent, 2. vanilla, 3. lemon 
1104,gatekeeper og, 1. earthy, 2. flowery, 3. pine 
1105,gelato, 1. sweet, 2. citrus, 3. earthy 
1106,gelato 33, 1. earthy, 2. citrus, 3. pungent 
1107,gemstone, 1. flowery, 2. earthy, 3. tree fruit 
1108,georgia pine, 1. sweet, 2. pine, 3. earthy 
1109,ghost bubba, 1. earthy, 2. tea, 3. sweet 
1110,ghost cookies, 1. woody, 2. earthy, 3. sweet 
1111,ghost og, 1. earthy, 2. citrus, 3. pine 
1112,ghost og moonshine, 1. woody, 2. earthy, 3. sweet 
1113,ghost rider og, 1. pine, 2. earthy, 3. woody 
1114,ghost ship, 1. skunk, 2. earthy, 3. pungent 
1115,ghost train haze, 1. citrus, 2. earthy, 3. lemon 
1116,ghostbreath, 1. earthy, 2. lime, 3. spicy/herbal 
1117,gigabud, 1. earthy, 2. woody, 3. apricot 
1118,gilz nilz, 1. earthy, 2. sweet, 3. pungent 
1119,ginger ale, 1. earthy, 2. berry, 3. pear 
1120,ginger punch, 1. earthy, 2. strawberry, 3. sweet 
1121,glad max, 1. earthy, 2. flowery, 3. sweet 
1122,glass apple, 1. apple, 2. flowery, 3. sweet 
1123,glass slipper, 1. sweet, 2. pineapple, 3. earthy 
1124,glue tech, 1. pungent, 2. skunk, 3. earthy 
1125,gluechee, 1. blue cheese, 2. cheese, 3. diesel 
1126,gnome walker, 1. citrus, 2. grapefruit, 3. sweet 
1127,go time, 1. citrus, 2. earthy, 3. lemon 
1128,goat head, 1. pineapple ,,
1129,gobbilygoo, 1. berry, 2. grape, 3. lavender 
1130,gobbstopper, 1. sweet, 2. berry, 3. woody 
1131,god bud, 1. earthy, 2. pungent, 3. woody 
1132,gods green crack, 1. earthy, 2. pungent, 3. spicy/herbal 
1133,godberry, 1. berry, 2. sweet, 3. flowery 
1134,godfather og, 1. earthy, 2. woody, 3. pungent 
1135,godfather purple kush, 1. berry, 2. earthy, 3. grape 
1136,godzilla, 1. berry, 2. sweet, 3. grape 
1137,godzilla glue, 1. earthy, 2. pungent, 3. sweet 
1138,gods bubba, 1. spicy/herbal, 2. berry, 3. lemon 
1139,gods treat, 1. blueberry, 2. berry, 3. earthy 
1140,godberry, 1. berry, 2. sweet, 3. flowery 
1141,godfather og, 1. earthy, 2. woody, 3. pungent 
1142,godfather purple kush, 1. berry, 2. earthy, 3. grape 
1143,godzilla, 1. berry, 2. sweet, 3. grape 
1144,godzilla glue, 1. earthy, 2. pungent, 3. sweet 
1145,gods bubba, 1. spicy/herbal, 2. berry, 3. lemon 
1146,gods treat, 1. blueberry, 2. berry, 3. earthy 
1147,gog magog, 1. pungent, 2. sweet, 3. flowery 
1148,goji diesel, 1. diesel ,,
1149,goji og, 1. berry, 2. pungent, 3. sweet 
1150,gold kings thai, 1. earthy, 2. citrus, 3. lime 
1151,goldberry, 1. blueberry, 2. mint, 3. ammonia 
1152,golden calyx, 1. citrus, 2. lavender, 3. pineapple 
1153,golden gage, 1. pepper, 2. citrus, 3. lemon 
1154,golden goat, 1. citrus, 2. sweet, 3. tropical 
1155,golden lemon, 1. citrus, 2. lemon, 3. pungent 
1156,golden nugget, 1. citrus, 2. skunk, 3. woody 
1157,golden panda, 1. sweet, 2. pungent, 3. earthy 
1158,golden pineapple, 1. pineapple, 2. tropical, 3. sweet 
1159,golden state banana, 1. tropical, 2. skunk, 3. vanilla 
1160,golden tangie, 1. orange, 2. citrus, 3. butter 
1161,golden ticket, 1. lemon, 2. citrus, 3. earthy 
1162,golden tiger, 1. spicy/herbal, 2. woody, 3. pine 
1163,goo, 1. blueberry, 2. earthy, 3. sweet 
1164,gooberry, 1. berry, 2. sweet, 3. blueberry 
1165,good medicine, 1. earthy, 2. spicy/herbal, 3. citrus 
1166,gorilla biscuit, 1. coffee, 2. pungent, 3. pine 
1167,gorilla breath, 1. pine, 2. pungent, 3. earthy 
1168,gorilla cookies, 1. earthy, 2. mint, 3. pungent 
1169,gorilla girl, 1. woody, 2. earthy, 3. sweet 
1170,gorilla grips, 1. berry, 2. diesel, 3. blueberry 
1171,gorilla snacks, 1. pine, 2. flowery, 3. lavender 
1172,gorkle, 1. sweet ,,
1173,government mule, 1. flowery, 2. lemon, 3. earthy 
1174,grand doggy purps, 1. grape, 2. berry, 3. earthy 
1175,grand hindu, 1. grape, 2. earthy, 3. flowery 
1176,grand hustle, 1. earthy, 2. citrus, 3. honey 
1177,granddaddy purple, 1. grape, 2. berry, 3. sweet 
1178,grandma andersons cookies, 1. earthy, 2. vanilla, 3. citrus 
1179,grandmas batch, 1. butter, 2. earthy, 3. flowery 
1180,grandmas sugar cookies, 1. earthy, 2. sweet, 3. pungent 
1181,grandpa larry og, 1. sweet, 2. sage, 3. grapefruit 
1182,grandpas breath, 1. pungent, 2. diesel, 3. grape 
1183,grandpas stash, 1. citrus, 2. earthy, 3. pungent 
1184,granola funk, 1. flowery, 2. diesel, 3. earthy 
1185,grape ape, 1. grape, 2. sweet, 3. berry 
1186,grape calyx, 1. grape, 2. earthy, 3. flowery 
1187,grape cookies, 1. grape, 2. woody, 3. berry 
1188,grandpas stash, 1. citrus, 2. earthy, 3. pungent 
1189,granola funk, 1. flowery, 2. diesel, 3. earthy 
1190,grape ape, 1. grape, 2. sweet, 3. berry 
1191,grape calyx, 1. grape, 2. earthy, 3. flowery 
1192,grape cookies, 1. grape, 2. woody, 3. berry 
1193,grape dawg, 1. grape, 2. citrus, 3. earthy 
1194,grape drink, 1. grape, 2. flowery, 3. sweet 
1195,grape god, 1. grape, 2. berry, 3. grapefruit 
1196,grape inferno, 1. grape, 2. berry, 3. tropical 
1197,grape jelly, 1. grape, 2. sweet, 3. flowery 
1198,grape krush, 1. grape, 2. earthy, 3. ammonia 
1199,grape kush, 1. grape, 2. cheese, 3. lemon 
1200,grape ox, 1. grape, 2. pine, 3. lavender 
1201,grape skunk, 1. grape, 2. earthy, 3. blueberry 
1202,grape soda, 1. grape, 2. citrus, 3. berry 
1203,sour grapes, 1. grape, 2. sweet, 3. diesel 
1204,grape valley kush, 1. chestnut, 2. grape, 3. berry 
1205,grape vine, 1. earthy, 2. grape, 3. pungent 
1206,grapefruit, 1. grapefruit, 2. citrus, 3. sweet 
1207,grapefruit diesel, 1. grapefruit, 2. diesel, 3. earthy 
1208,grapefruit haze, 1. grapefruit, 2. sweet, 3. citrus 
1209,grapefruit kush, 1. grapefruit, 2. citrus, 3. pine 
1210,gravity, 1. sweet, 2. violet, 3. earthy 
1211,grease monkey, 1. earthy, 2. pungent, 3. sweet 
1212,white shark, 1. earthy, 2. sweet, 3. citrus 
1213,green avenger, 1. flowery, 2. pungent, 3. honey 
1214,green candy, 1. sweet, 2. spicy/herbal, 3. earthy 
1215,green cheese, 1. cheese, 2. chemical, 3. earthy 
1216,green crack, 1. earthy, 2. citrus, 3. sweet 
1217,green crack extreme, 1. sweet, 2. earthy, 3. pungent 
1218,green door kush, 1. citrus, 2. lemon, 3. spicy/herbal 
1219,green dragon, 1. earthy, 2. mint, 3. pine 
1220,green dream, 1. earthy, 2. citrus, 3. sweet 
1221,green goblin, 1. sweet, 2. pungent, 3. pine 
1222,green goddess, 1. flowery, 2. citrus, 3. diesel 
1223,green haze, 1. woody, 2. flowery, 3. rose 
1224,green hornet, 1. citrus, 2. earthy, 3. lime 
1225,green kush, 1. citrus, 2. sweet, 3. earthy 
1226,green lantern, 1. pungent, 2. earthy, 3. pine 
1227,green line og, 1. lime, 2. sweet, 3. citrus 
1228,green love potion, 1. sweet, 2. flowery, 3. pungent 
1229,green magic, 1. flowery, 2. apple, 3. berry 
1230,green mango, 1. citrus, 2. earthy, 3. woody 
1231,green monster, 1. earthy, 2. sweet, 3. flowery 
1232,green poison, 1. pungent, 2. earthy, 3. sweet 
1233,green python, 1. woody, 2. earthy, 3. sweet 
1234,green queen, 1. sweet, 2. earthy, 3. pungent 
1235,green ribbon, 1. lemon, 2. tree fruit, 3. lime 
1236,gremlin, 1. sweet, 2. pungent, 3. chestnut 
1237,green magic, 1. flowery, 2. apple, 3. berry 
1238,green mango, 1. citrus, 2. earthy, 3. woody 
1239,green monster, 1. earthy, 2. sweet, 3. flowery 
1240,green poison, 1. pungent, 2. earthy, 3. sweet 
1241,green python, 1. woody, 2. earthy, 3. sweet 
1242,green queen, 1. sweet, 2. earthy, 3. pungent 
1243,green ribbon, 1. lemon, 2. tree fruit, 3. lime 
1244,gremlin, 1. sweet, 2. pungent, 3. chestnut 
1245,grilled cheese, 1. cheese, 2. earthy, 3. pepper 
1246,grimace, 1. sweet, 2. pungent, 3. earthy 
1247,grimace og, 1. grape, 2. pungent, 3. diesel 
1248,grimmdica, 1. earthy, 2. woody, 3. butter 
1249,guard dawg, 1. earthy, 2. sweet, 3. woody 
1250,guava cake, 1. sweet, 2. citrus, 3. lemon 
1251,guava chem, 1. sweet, 2. citrus, 3. chemical 
1252,guava gelato, 1. sweet, 2. grapefruit, 3. tropical 
1253,guava kush, 1. tropical, 2. citrus, 3. sweet 
1254,gucci og, 1. spicy/herbal, 2. pine, 3. sweet 
1255,gumbo, 1. pine, 2. woody, 3. spicy/herbal 
1256,gummo, 1. citrus, 2. earthy, 3. flowery 
1257,gummy bears, 1. woody, 2. pepper, 3. chemical 
1258,gupta haze, 1. earthy, 2. flowery, 3. pungent 
1259,gupta kush, 1. earthy, 2. woody, 3. flowery 
1260,guptilla, 1. earthy, 2. citrus, 3. tropical 
1261,gutbuster, 1. flowery, 2. cheese, 3. citrus 
1262,hades haze, 1. earthy, 2. citrus, 3. mint 
1263,hades og, 1. citrus, 2. lemon, 3. sweet 
1264,haleighs hope, 1. earthy, 2. pine, 3. woody 
1265,hammerhead, 1. earthy, 2. spicy/herbal, 3. woody 
1266,hannibal nectar, 1. earthy, 2. strawberry, 3. vanilla 
1267,haole, 1. earthy, 2. woody, 3. sweet 
1268,haoma, 1. berry, 2. citrus, 3. earthy 
1269,haoma mist, 1. flowery, 2. sweet, 3. citrus 
1270,happy rancher, 1. pepper, 2. skunk, 3. lemon 
1271,hardcore og, 1. earthy, 2. sweet, 3. lemon 
1272,harle tsu, 1. earthy, 2. woody, 3. spicy/herbal 
1273,harlequin, 1. earthy, 2. woody, 3. flowery 
1274,harlequin gdp, 1. pine, 2. chemical, 3. earthy 
1275,harley storm, 1. nutty, 2. pungent, 3. spicy/herbal 
1276,harley twin, 1. sweet ,,
1277,harmonia, 1. earthy, 2. woody, 3. sweet 
1278,harmony, 1. earthy, 2. flowery, 3. rose 
1279,harry potter, 1. citrus, 2. sweet, 3. earthy 
1280,hash plant, 1. earthy, 2. flowery, 3. spicy/herbal 
1281,hashbar og, 1. sweet, 2. earthy, 3. skunk 
1282,hashberry, 1. berry, 2. sweet, 3. earthy 
1283,hashplant haze, 1. blueberry, 2. pepper, 3. sweet 
1284,hawaiian, 1. tropical, 2. sweet, 3. citrus 
1285,hawaiian cookies, 1. flowery, 2. sweet, 3. earthy 
1286,hawaiian delight, 1. earthy, 2. diesel, 3. flowery 
1287,hawaiian diesel, 1. tropical, 2. sweet, 3. pungent 
1288,hashbar og, 1. sweet, 2. earthy, 3. skunk 
1289,hashberry, 1. berry, 2. sweet, 3. earthy 
1290,hashplant haze, 1. blueberry, 2. pepper, 3. sweet 
1291,hawaiian, 1. tropical, 2. sweet, 3. citrus 
1292,hawaiian cookies, 1. flowery, 2. sweet, 3. earthy 
1293,hawaiian delight, 1. earthy, 2. diesel, 3. flowery 
1294,hawaiian diesel, 1. tropical, 2. sweet, 3. pungent 
1295,hawaiian dream, 1. sweet, 2. tropical, 3. pineapple 
1296,hawaiian duckfoot, 1. lavender, 2. berry, 3. flowery 
1297,hawaiian fire, 1. tropical, 2. sweet, 3. grapefruit 
1298,hawaiian haze, 1. earthy, 2. flowery, 3. tropical 
1299,hawaiian mayan gold, 1. citrus, 2. sweet, 3. tropical 
1300,hawaiian punch, 1. sweet, 2. tropical, 3. pineapple 
1301,hawaiian purple kush, 1. tropical, 2. earthy, 3. pineapple 
1302,hawaiian sativa, 1. citrus, 2. tropical, 3. sweet 
1303,hawaiian skunk, 1. earthy, 2. skunk, 3. citrus 
1304,hawaiian snow, 1. tropical, 2. pineapple, 3. lime 
1305,hawaiian sunrise, 1. citrus, 2. lemon, 3. flowery 
1306,hawaiian thunder fuck, 1. sweet, 2. tropical, 3. pineapple 
1307,hawaiian trinity, 1. pungent, 2. tropical, 3. woody 
1308,hawaii 78, 1. flowery, 2. pineapple, 3. sweet 
1309,hayleys haze, 1. sweet, 2. honey, 3. lemon 
1310,haze, 1. earthy, 2. sweet, 3. citrus 
1311,haze berry, 1. berry, 2. flowery, 3. earthy 
1312,haze heaven, 1. pungent, 2. spicy/herbal, 3. blueberry 
1313,haze wreck, 1. woody, 2. sage, 3. sweet 
1314,hazmat og, 1. sweet, 2. berry, 3. earthy 
1315,head cheese, 1. pungent, 2. cheese, 3. skunk 
1316,head trip, 1. earthy, 2. coffee, 3. pine 
1317,headband, 1. diesel, 2. earthy, 3. lemon 
1318,headbanger, 1. earthy, 2. citrus, 3. diesel 
1319,heatwave, 1. diesel, 2. citrus, 3. earthy 
1320,heaven scent, 1. flowery, 2. mint, 3. pungent 
1321,heavenly og, 1. earthy, 2. pine, 3. woody 
1322,heavy duty fruity, 1. pepper, 2. sweet, 3. citrus 
1323,heisenberg kush, 1. grape, 2. berry, 3. sweet 
1324,hell raiser og, 1. pine, 2. citrus, 3. woody 
1325,hells og, 1. earthy, 2. pungent, 3. pine 
1326,hellfire og, 1. earthy, 2. lemon, 3. citrus 
1327,hemlock, 1. citrus, 2. orange, 3. sage 
1328,hempstar, 1. citrus, 2. pepper, 3. earthy 
1329,hercules, 1. earthy, 2. citrus, 3. honey 
1330,herojuana, 1. spicy/herbal, 2. woody, 3. pine 
1331,hibiscus sunrise, 1. flowery, 2. lavender, 3. earthy 
1332,high school sweetheart, 1. blueberry, 2. sweet, 3. earthy 
1333,higher power, 1. grape, 2. flowery, 3. grapefruit 
1334,highwayman, 1. flowery, 2. earthy, 3. coffee 
1335,himalayan blackberry, 1. berry, 2. earthy, 3. pine 
1336,himalayan gold, 1. earthy, 2. berry, 3. spicy/herbal 
1337,hindu kush, 1. earthy, 2. woody, 3. pungent 
1338,hindu skunk, 1. skunk, 2. orange, 3. earthy 
1339,high school sweetheart, 1. blueberry, 2. sweet, 3. earthy 
1340,higher power, 1. grape, 2. flowery, 3. grapefruit 
1341,highwayman, 1. flowery, 2. earthy, 3. coffee 
1342,himalayan blackberry, 1. berry, 2. earthy, 3. pine 
1343,himalayan gold, 1. earthy, 2. berry, 3. spicy/herbal 
1344,hindu kush, 1. earthy, 2. woody, 3. pungent 
1345,hindu skunk, 1. skunk, 2. orange, 3. earthy 
1346,hindu sour, 1. diesel, 2. pine, 3. tobacco 
1347,hippie chicken, 1. sweet, 2. tree fruit, 3. earthy 
1348,hippie crippler, 1. earthy, 2. sweet, 3. woody 
1349,hoarfrost, 1. spicy/herbal, 2. vanilla, 3. woody 
1350,hogs breath, 1. earthy, 2. spicy/herbal, 3. nutty 
1351,hollands hope, 1. citrus, 2. pine, 3. lemon 
1352,hollyweed, 1. earthy, 2. woody ,
1353,hollywood og, 1. tree fruit, 2. blue cheese, 3. earthy 
1354,holy ghost, 1. pine, 2. spicy/herbal, 3. diesel 
1355,holy grail kush, 1. earthy, 2. pine, 3. woody 
1356,holy roller, 1. citrus, 2. earthy ,
1357,honey bananas, 1. honey, 2. sweet, 3. flowery 
1358,honey boo boo, 1. honey, 2. earthy, 3. sweet 
1359,honey lemon cheese, 1. honey, 2. earthy, 3. lemon 
1360,honey rock, 1. honey ,,
1361,hong kong, 1. earthy, 2. spicy/herbal, 3. flowery 
1362,hoodwreck, 1. sweet, 2. earthy, 3. flowery 
1363,horace, 1. sweet, 2. tree fruit, 3. tropical 
1364,huckleberries, 1. berry, 2. grape, 3. honey 
1365,huckleberry, 1. sweet, 2. berry, 3. earthy 
1366,huckleberry cough, 1. berry, 2. menthol, 3. blueberry 
1367,huckleberry diesel, 1. berry, 2. earthy, 3. diesel 
1368,huckleberry hound, 1. berry, 2. earthy, 3. flowery 
1369,hulkamania, 1. earthy, 2. ammonia, 3. berry 
1370,humboldt, 1. earthy, 2. skunk, 3. spicy/herbal 
1371,humboldt dream, 1. diesel, 2. lemon, 3. tropical 
1372,humboldt hawaiian, 1. berry, 2. pine, 3. plum 
1373,humboldt headband, 1. berry, 2. grape, 3. sweet 
1374,humdinger og, 1. apple, 2. sweet, 3. woody 
1375,hurkle, 1. earthy, 2. coffee, 3. woody 
1376,hurricane, 1. sweet, 2. orange, 3. vanilla 
1377,hustler kush, 1. sweet, 2. earthy, 3. pine 
1378,i 95, 1. diesel, 2. earthy, 3. pungent 
1379,iced grapefruit, 1. grapefruit, 2. citrus, 3. sweet 
1380,ig kush, 1. sweet, 2. earthy, 3. orange 
1381,ice, 1. woody, 2. chemical, 3. earthy 
1382,ice cream, 1. vanilla, 2. sweet, 3. earthy 
1383,ice cream cake, 1. sweet, 2. vanilla, 3. pungent 
1384,ice princess, 1. menthol, 2. nutty, 3. tropical 
1385,ice queen, 1. sweet, 2. pepper, 3. earthy 
1386,ice wreck, 1. earthy, 2. chemical, 3. menthol 
1387,ig kush, 1. sweet, 2. earthy, 3. orange 
1388,ice, 1. woody, 2. chemical, 3. earthy 
1389,ice cream, 1. vanilla, 2. sweet, 3. earthy 
1390,ice cream cake, 1. sweet, 2. vanilla, 3. pungent 
1391,ice princess, 1. menthol, 2. nutty, 3. tropical 
1392,ice queen, 1. sweet, 2. pepper, 3. earthy 
1393,ice wreck, 1. earthy, 2. chemical, 3. menthol 
1394,iced widow, 1. sweet, 2. berry, 3. earthy 
1395,ill og, 1. earthy, 2. pine, 3. lemon 
1396,illuminati og, 1. earthy, 2. pungent, 3. sweet 
1397,in the pines, 1. pine, 2. earthy, 3. tropical 
1398,incredible bulk, 1. flowery, 2. woody, 3. citrus 
1399,incredible hulk, 1. earthy, 2. nutty, 3. pineapple 
1400,industrial plant, 1. tropical, 2. lemon, 3. pine 
1401,ingrid, 1. cheese, 2. earthy, 3. flowery 
1402,intergalactic, 1. pine, 2. diesel, 3. sweet 
1403,inzane in the membrane, 1. lemon, 2. pungent, 3. pine 
1404,irene kush, 1. earthy, 2. lemon, 3. pungent 
1405,irish cream, 1. earthy, 2. nutty, 3. vanilla 
